Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
TerraPay,https://www.crunchbase.com/organization/terrapay,161500000,USD,161500000,Private,Series B,251-500,"Financial Services, FinTech, Mobile Payments","London, England, United Kingdom","TerraPay is a mobile-first payments service that allows anyone, anywhere, to send money to a mobile number instantly.",,,"Akbar Hussain, Ambar Sur, Ani Sane, Ram Sundaram",https://terrapay.com,For Profit,hr@terrapay.com,https://www.linkedin.com/company/terrapay,"TerraPay, a mobile-first international payment network, has been founded with the vision to send money to any mobile. TerraPay interconnects financial services providers -- mobile wallet service providers, money transfer operators, banks, and payment platforms -- to create ""one network"" for secure and seamless transnational movement of funds. The network facilitates a broad set of transactions, including interpersonal transfers, e-payments, and government disbursements. TerraPay is platform-agnostic and supports standard open APIs for integration with any mobile wallet provider. Through a single connection, partners gain access to a global payment network, enabling service up-scaling while minimizing Opex and Capex investments. As a fully regulated financial intermediary services network, TerraPay offers services beyond its principal core transaction, routing, and processing functions and assumes end-to-end responsibility for regulatory compliance, foreign exchange management, and fund settlement.",,2014-01-01,year,100000000,USD,100000000,"Financial Services, Mobile, Payments, Software",Active,2023-04-04,,,,,
Stability AI,https://www.crunchbase.com/organization/stability-ai,89000000,GBP,98797885,Private,Seed,51-100,"Artificial Intelligence, Image Recognition, Information Technology, Software","London, England, United Kingdom",AI-driven visual art startup that designs and implements an open AI tools.,,,Emad Mostaque,https://stability.ai/,For Profit,info@stability.ai,https://www.linkedin.com/company/stability-ai,"Stability AI is an AI-driven visual art startup that designs and implements an open AI tool to create images based on text input given. This tool executes text commands into images and other forms of media using collective intelligence and augmented technology to help clients develop cutting-edge open AI models for image, language, audio, video, 3D, and biology. The company was founded in 2019 and is headquartered in London, England.",,2019-01-01,year,89000000,GBP,98797885,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Active,2022-10-12,,,,,
Arloid Automation,https://www.crunchbase.com/organization/arloid-automation,14918000,USD,14918000,Private,Pre-Seed,51-100,"Artificial Intelligence, Energy Efficiency, Energy Management, Information Technology, Machine Learning, Smart Building, Software","London, England, United Kingdom",The ultimate AI solution for energy efficiency,,,"Max Zubov, Sergey Shalunov, Vladimir Pushmin",https://arloid.com,For Profit,info@arloid.com,https://www.linkedin.com/company/arloid,"We resolve energy inefficiency in real estate.  Arloid Automation is a global leader in AI-based solutions designed to simplify MEP (mechanical, electrical and plumbing engineering) systems management for a broad portfolio of real estate.  Our unique algorithm combines the power of Deep Reinforced Learning and Digital Twin technologies enabling real estate management companies to meet their financial and sustainability objectives.  Simple to deploy and intuitive to manage, arloid.ai solution, in real-time, intelligently and precisely adjusts HVAC systems settings resulting in up to 40% reduction in utility consumption bills and carbon footprint. With zero CAPEX and no additional hardware installation, our risk-free and proven technology delivers measurable results in under 60 days.  Headquartered in London, UK, Arloid Automation has representative offices in Dubai and Singapore as well as a developed international partner network.",,2019-11-04,day,8018000,USD,8018000,"Artificial Intelligence, Data and Analytics, Energy, Information Technology, Real Estate, Science and Engineering, Software, Sustainability",Active,2022-01-01,,,,,
Octopus Energy,https://www.crunchbase.com/organization/octopus-energy,2079000000,USD,2079000000,Private,Private Equity,1001-5000,"Energy, Energy Efficiency, GreenTech, Renewable Energy","London, England, United Kingdom",Octopus Energy builds technology that reduces the cost of energy to improve the customer experience.,,,"Greg Jackson, James Eddison, Stuart Jackson",https://octopus.energy/,For Profit,hello@octopus.energy,https://www.linkedin.com/company/octopus-energy,"Octopus Energy builds technology that reduces the cost of energy, improves customer experience, and paves the way to a cheaper, greener, smarter grid. The company provides an easy, affordable energy option for Great Britain's businesses. Octopus Energy was established in 2015 as a subsidiary of Octopus Group, a British asset management company.",,2015-10-01,day,550000000,USD,550000000,"Energy, Sustainability",Active,2022-07-26,,,,,
Fetch.AI,https://www.crunchbase.com/organization/fetch-ai,65782061,USD,65782061,Private,Venture - Series Unknown,11-50,"Artificial Intelligence, Blockchain, Internet, Machine Learning, Software","Cambridge, Cambridgeshire, United Kingdom","Fetch.AI develops a decentralized network for digital representatives to find, communicate, and trade with each other.",,,"Humayun Sheikh, Thomas Hain, Toby Simpson",https://fetch.ai/,For Profit,info@fetch.ai,https://www.linkedin.com/company/fetch-ai/,"Fetch.AI is delivering an economic Internet where representatives of the component parts of the economy can work friction-free, autonomously, and free of human-interaction to deliver solutions to complex problems. It acts as a disintermediation agent: seamlessly introducing those that have to those that want, with self-service trust in an environment that restructures itself semantically in real-time to present the most optimal working environment to each of its users.",,2017-01-01,year,36690000,EUR,39782060,"Artificial Intelligence, Data and Analytics, Internet Services, Other, Science and Engineering, Software",Active,2023-03-29,,,,,
Emperia,https://www.crunchbase.com/organization/emperia,10703105,USD,10703105,Private,Series A,11-50,"E-Commerce, Marketing, Retail, Software, Virtual Reality, Web Design","London, England, United Kingdom",Powering the creation and management of immersive virtual experiences for retailers,,,"Olga Dogadkina, Simonas Holcmann",https://emperiavr.com,For Profit,contact@emperiavr.com,https://www.linkedin.com/company/emperialondon,"The Emperia platform powers the creation and management of immersive virtual experiences for brands across multiple retail sectors. The platform marries the reach and accessibility of e-commerce with the impact of physical customer service shopping experience, while leveraging the unique traits of the virtual space; adding a layer of customer engagement, personalization, data monitoring and omnichannel cohesion. London and New York-based, the Emperia team consists of  3D environment engineers and technical artists joined by  fashion and art industry veterans and branding experts. Hailed a virtual reality pioneer by Forbes Magazine, Emperia is working with some of the world’s leading names in art, fashion and retail including Dior, Burberry, Bloomingdale's, Tommy Hilfiger,  Harrods, Giorgio Armani, Lacoste, Dom Pérignon, Christie’s, Getty Images and more. Emperia has been named one of the most promising advertising and marketing tech startups of 2022 by BusinessInsider, is a proud British Fashion Council Patron and the winner of the Plug & Play Brand & Retail Europe Start-Up Award.",,2019-05-20,day,10000000,USD,10000000,"Commerce and Shopping, Design, Hardware, Sales and Marketing, Software",Active,2023-01-25,,,,,
Griffin,https://www.crunchbase.com/organization/griffin-3,22140000,GBP,27726276,Private,Series A,51-100,"Banking, Finance, Financial Services, FinTech","London, England, United Kingdom",Griffin is a banking-as-a-service provider that helps companies build and launch financial services products.,,,"Allen Rohner, David Jarvis",https://griffin.sh,For Profit,hello@griffin.sh,https://www.linkedin.com/company/griffinplatform/,"Griffin is a banking-as-a-service provider that helps companies build and launch financial services products. Its platform is an OS for embedded finance, an all-in-one solution that will break down barriers to entry for fintech by reducing cost, time to market, and the hassles of securing a banking partner. The platform also enables global brands with complex payment needs to enhance the customer experience with embedded finance.",,2016-01-01,year,,,,"Financial Services, Lending and Investments",Active,2023-03-27,,,,,
Push Security,https://www.crunchbase.com/organization/push-security,19000000,USD,19000000,Private,Series A,11-50,"Cloud Security, Cyber Security","London, England, United Kingdom",Push Security is a developer of a security automation platform.,,,"Adam Bateman, Jacques Louw, Tyrone Erasmus",https://pushsecurity.com,For Profit,,https://www.linkedin.com/company/push-security,Push Security is a developer of cybersecurity software to help employees join the fight against attackers and improve their own security. Its security automation platform provides step-by-step guidance on implementing important security controls and automation. The platform also helps cybersecurity to make defending organizations quicker and easier.,,2020-01-01,day,15000000,USD,15000000,"Information Technology, Privacy and Security",Active,2023-03-28,,,,,
Paytrix,https://www.crunchbase.com/organization/paytrix,23971300,USD,23971300,Private,Series A,11-50,"Banking, Finance, Financial Services, Payments","London, England, United Kingdom",Paytrix provides payment and banking infrastructure for software companies.,,,"Aran Brown, Ed Addario, Eddie Harrison",https://paytrix.io,For Profit,smoothscaling@paytrix.io,https://www.linkedin.com/company/paytrix,"Paytrix provides payment and banking infrastructure for software companies. Paytrix builds a regulated curation layer into their network, integrating financial infrastructure to allow companies to immediately grow their payments operations internationally.",,2022-01-01,year,18300000,USD,18300000,"Financial Services, Lending and Investments, Payments",Active,2023-03-29,,,,,
Abound,https://www.crunchbase.com/organization/getabound,540000000,GBP,656199489,Private,Venture - Series Unknown,11-50,"Consumer Lending, Financial Services, Lending, Personal Finance","London, England, United Kingdom",Abound is a consumer lending financial firm that provides personal loans.,,,"Dr Michelle He, Gerald Chappell",https://www.getabound.com,For Profit,contact@getabound.com,https://www.linkedin.com/company/getabound,"Abound is a consumer lending financial firm that provides personal loans. The company was established with the goal of providing low-cost, ethical, and adaptable lending solutions that serve the needs of borrowers and their long-term financial stability. By offering an improved approach to personal lending, the Abound team is committed to assisting customers in improving their financial lives.",,2020-02-01,month,500000000,GBP,601264338,"Financial Services, Lending and Investments",Active,2023-03-06,,,,,
Hadean,https://www.crunchbase.com/organization/hadean,70571612,USD,70571612,Private,Series A,101-250,"Cloud Computing, Developer Tools, Operating Systems","London, England, United Kingdom","Hadean are a venture backed startup, reimagining distributed, spatial and scalable computing for web 3.0 and the metaverse.",,,"Aidan Hobson Sayers, Alec Mocatta, Craig Beddis, Jason Hardjosoekatmo, Rashid Mansoor",https://www.hadean.com,For Profit,info@hadean.com,https://www.linkedin.com/company/hadean/,"Hadean are a venture backed startup, reimagining distributed, spatial and scalable computing for web 3.0 and the metaverse. The distributed cloud platform provides the foundations of web 3.0 applications for the metaverse and enterprise organisations alike. Bridging physical and virtual worlds, their technology enables unprecedented scale and fidelity in the digital realm to enhance and improve the physical one. Customers include CAE, Microsoft, Minecraft, the Francis Crick Institute, PixelMax and GamesCoin and BAE Systems. Visit: www.hadean.com",,2015-10-03,day,4000000,GBP,4912399,"Internet Services, Platforms, Software",Active,2023-03-23,,,,,
Pismo,https://www.crunchbase.com/organization/pismo,118000000,USD,118000000,Private,Series B,101-250,"Banking, Cloud Computing, FinTech, PaaS, Payments, Software","Bristol, Bristol, City of, United Kingdom",Next-gen banking and payments at hyperscale.,,,"Daniela Binatti, Juliana Motta, Marcelo Parise, Ricardo Josua",https://pismo.io,For Profit,marketing@pismo.io,https://www.linkedin.com/company/pismo-tecnologia,"Pismo is a technology company providing an all-in-one processing platform for banking, payments, and financial markets infrastructure. Large banks, marketplaces, and fintech already use our cloud-native microservices platform. Pismo clients are launching next-generation solutions while migrating their legacy systems onto the most advanced platform in the market. Pismo cloud-based platform empowers teams to build fast and companies to launch rapidly, scaling as they grow to have a broader audience while keeping high security and availability standards.",,2016-12-01,day,108000000,USD,108000000,"Financial Services, Internet Services, Lending and Investments, Payments, Software",Active,2021-10-19,,,,,
