"index","propertyName1","propertyName10","propertyName10_link","propertyName11","propertyName11_link","propertyName12","propertyName13","propertyName14","propertyName15","propertyName15_link","propertyName16","propertyName17","propertyName17_link","propertyName18","propertyName18_link","propertyName19","propertyName1_link","propertyName2","propertyName20","propertyName20_link","propertyName2_link","propertyName3","propertyName4","propertyName4_link","propertyName5","propertyName5_link","propertyName6","propertyName6_link","propertyName7","propertyName7_link","propertyName8","propertyName9","propertyName9_link","timestamp","timestampString","uid","url","url_uid"
1,"1.  Octopus Energy","Greg Jackson, James Eddison, Stuart Jackson","https://www.crunchbase.com/person/greg-jackson","octopus.energy/","https://octopus.energy/","For Profit","hello@octopus.energy","Octopus Energy builds technology that reduces the cost of energy, improves customer experience, and paves the way to a cheaper, greener, smarter grid. The company provides an easy, affordable energy option for Great Britain's businesses.        Octopus Energy was established in 2015 as a subsidiary of Octopus Group, a British asset management company.","—",,"Oct 1, 2015","$550,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/octopus-energy","Energy, Sustainability","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/energy-2b83","Active","https://www.crunchbase.com/organization/octopus-energy","$2,079,000,000","Jul 26, 2022","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/octopus-energy","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/octopus-energy","Private","Private Equity","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/octopus-energy","1001-5000","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/octopus-energy","Energy, Energy Efficiency, GreenTech, Renewable Energy","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/energy-0ff0","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Octopus Energy builds technology that reduces the cost of energy to improve the customer experience.","—",,1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","BiI78w6dEqd8T2fWN1Fw","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
2,"2.  Hadean","Aidan Hobson Sayers, Alec Mocatta, Craig Beddis, Jason Hardjosoekatmo, Rashid Mansoor","https://www.crunchbase.com/person/aidan-hobson-sayers","www.hadean.com","https://www.hadean.com","For Profit","info@hadean.com","Hadean are a venture backed startup, reimagining distributed, spatial and scalable computing for web 3.0 and the metaverse. The distributed cloud platform provides the foundations of web 3.0 applications for the metaverse and enterprise organisations alike. Bridging physical and virtual worlds, their technology enables unprecedented scale and fidelity in the digital realm to enhance and improve the physical one.        Customers include CAE, Microsoft, Minecraft, the Francis Crick Institute, PixelMax and GamesCoin and BAE Systems. Visit: www.hadean.com","—",,"Oct 3, 2015","£4,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/hadean","Internet Services, Platforms, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services","Active","https://www.crunchbase.com/organization/hadean","$70,571,612","Mar 23, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/hadean","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/hadean","Private","Series A","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/hadean","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/hadean","Cloud Computing, Developer Tools, Operating Systems","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/cloud-computing","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Hadean are a venture backed startup, reimagining distributed, spatial and scalable computing for web 3.0 and the metaverse.","—",,1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","SOkKJCjcUdWvdjpke70Z","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
3,"3.  Adludio","Andy Williams, Ben Hoyle, Howard Kingston, Jacques Kotze","https://www.crunchbase.com/person/andy-williams-2","adludio.com/","https://adludio.com/","For Profit","info@adludio.com","Adludio is the AI-powered platform that delivers interactive mobile advertising.        By using data to design your ad creative, and algorithms to optimize your campaigns, Adludio makes sure you win the battle for brand attention        We create, deliver and optimize advertising campaigns at scale, using mobile-first creative technology, data and algorithms to deliver amazing creative and engage with audiences on their first screen.        Adludio is a recognized leader in mobile brand advertising, and our clients include the world's biggest brands, including Nike, Microsoft, Chanel and LVMH, as well as some of the newer DTC challengers.        We embrace diversity and a global outlook. Our offices are in New York, Los Angeles, London, Atlanta, Detroit, Chicago, Hong Kong, Taipei and Singapore, but we also have remote workforce operating from 17 countries. We maintain a start-up culture as we grow, where every employee believes in our vision and everyone has the opportunity to pitch in with their ideas.        Adludio won 'Best Mobile Campaign' at The Drum APAC Awards in 2018. Recently, Adludio has been listed in The Sunday Times Tech Track 100 'Ones to Watch', and ranked in the Deloitte Fast 50 for the second year running, making it one of the fastest-growing Ad Tech companies in the UK.            Adludio are creators of Sensory Ad Science,  mobile-first technique that is changing advertising for the better. They take the best of learning science and combine it with data science to deliver brand experiences that are compelling, effective and memorable.","—",,"2015","£2,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/future-ad-labs","Advertising, Sales and Marketing","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/advertising-f0bd","Active","https://www.crunchbase.com/organization/future-ad-labs","$24,168,162","Apr 4, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/future-ad-labs","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/future-ad-labs","Private","Series A","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/future-ad-labs","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/future-ad-labs","Advertising, Advertising Platforms, Mobile Advertising","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/advertising-6cb6","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Adludio is the AI-powered platform that delivers interactive mobile advertising.","—",,1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","GjvdCAcwGsXlEPwTFUW9","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
4,"4.  Wefarm","Kenny Ewan","https://www.crunchbase.com/person/kenny-ewan","wefarm.com","https://wefarm.com","For Profit","—","Wefarm is a farmer-to-farmer digital network that enables farmers to share information via SMS. The company allows small-scale farmers to connect with one another to solve problems, share ideas, and spread innovation. Utilizing the latest machine learning technology, Wefarm’s service works both online and over SMS.        Since its founding in 2015, Wefarm has been named one of Africa’s Most Innovative Companies by FastCompany and has won Google’s Impact Challenge Award, TechCrunch’s Europas-Tech for Good Award, and the European Union Commission’s Ideas from Europe prize, among others. The company is headquartered in London with a field presence in Nairobi, Kampala, and Dar-es-Salaam.","Less than $1M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00000000","Jan 29, 2015","$11,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/we-farm","Agriculture and Farming, Artificial Intelligence, Data and Analytics, Internet Services, Messaging and Telecommunications, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/agriculture-and-farming","Active","https://www.crunchbase.com/organization/we-farm","$32,014,650","Mar 9, 2021","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/we-farm","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/we-farm","Private","Series A","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/we-farm","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/we-farm","AgTech, Farming, Internet, Machine Learning, SMS","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/agtech","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Wefarm is a farmer-to-farmer digital network that enables users to share information via SMS.","—",,1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","ykC9jg9bFAYLPfZoRSML","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
5,"5.  Cognism","James Isilay, Stjepan Buljat","https://www.crunchbase.com/person/james-isilay","cognism.com","https://cognism.com","For Profit","—","Cognism is an end-to-end sales-acceleration solution that provides sales organizations with a more efficient way to prospect. Delivered as a software service (SaaS),  with its unique data asset and compliance engine, Cognism is helping to enrich CRM records, stream leads into the funnel and is using artificial intelligence to surface opportunities and identify customer trends. The company is a pure AI sales technology company that generates prospect data at scale, cleaning and enriching it, helping sales teams to grow and scale across all levels of the sales process.          Cognism using patented AI technology, to provide B2B sales teams with a blend of real-time company, people and event data to streamline prospecting, find and deliver new revenue. It integrates seamlessly with all major CRM and Email Service systems. They use it to manage their database and provide high-quality, real-time B2B data to their clients.        Cognism was founded in 2015 and is headquartered in London, England, UK, with offices in USA, Macedonia and Croatia.","$10M to $50M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000","Jan 16, 2015","£64,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/cognism","Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551","Active","https://www.crunchbase.com/organization/cognism","$126,655,294","Jan 13, 2022","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/cognism","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/cognism","Private","Series C","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/cognism","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/cognism","Analytics, Artificial Intelligence, Lead Generation, Lead Management, Machine Learning, Marketing Automation, SaaS, Sales Automation, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/analytics","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Cognism is a B2B sales acceleration software company that provides a marketing and sales acceleration solution.","—",,1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","Xxa0Gx4e3grHqlNLbG1W","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
6,"6.  Sensate","Anna Gudmundson","https://www.crunchbase.com/person/anna-gudmundson","www.getsensate.com/","https://www.getsensate.com/","For Profit","info@getsensate.com","Sensate provides on-the-spot profound relaxation in as few as 10 minutes. It is a new wearable device proven to calm nerves. It is palm-sized, sits on the chest, and syncs with an app. The device and app were designed by a leader in integrated medicine to empower and to manage stress, improve sleep and concentration, as well as achieve many of the other beneficial results associated with meditation.         Sensate is a product of BioSelf Technology. It is headquartered in London, England.","$1M to $10M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","2015","$3,200,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/sensate","Apps, Health Care, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/apps-2683","Active","https://www.crunchbase.com/organization/sensate","$4,300,000","Mar 7, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/sensate","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/sensate","Private","Seed","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/sensate","1-10","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/sensate","Apps, Health Care, Medical, Wellness","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/apps","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Sensate provides on-the-spot profound relaxation in as few as 10 minutes.","—",,1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","oJzP4Xj54XvTHghIaBhE","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
7,"7.  Splyt","Andrius Skerla, Philipp Mintchin, Stephen Mason, Yulia Dankova","https://www.crunchbase.com/person/andrius-skerla","splyt.com","http://splyt.com","For Profit","hello@splyt.com","Splyt is a B2B mobility marketplace that connects institutional supply and demand for ground-based transport. It makes mobility inventory available through its single API, without the users of its demand-side partners needing to download or register with additional suppliers.        The company was founded in 2015 and is headquartered in London, England.","—",,"May 2015","$19,500,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/splyt-2","Commerce and Shopping, Transportation, Travel and Tourism","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping","Active","https://www.crunchbase.com/organization/splyt-2","$34,000,000","Jun 17, 2020","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/splyt-2","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/splyt-2","Private","Series B","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/splyt-2","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/splyt-2","E-Commerce, Marketplace, Ride Sharing, Transportation, Travel","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/e-commerce-275d","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Splyt is a B2B mobility marketplace that connects institutional supply and demand for ground-based transport.","Splyt acquired by Kakao Mobility","https://www.crunchbase.com/acquisition/kakao-mobility-acquires-splyt-2--fd79b0bf",1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","Ci3NOUCDK7LazWpjcN1S","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
8,"8.  Modulr","Martin Threakall, Myles Stephenson, Ritesh Tendulkar","https://www.crunchbase.com/person/martin-threakall","www.modulrfinance.com","https://www.modulrfinance.com","For Profit","info@modulrfinance.com","Modulr is a fintech company that provides Payments as a Service API for digital businesses. It enables users to automate payment flows, embed payments into the platform, and build new payment products and services themselves from a single API. Modulr has direct access to the Bank of England and claims to facilitate a fast experience that digital customers demand.        The company was founded in 2015 and is headquartered in London, England.","—",,"Dec 1, 2015","£83,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/modulrfinance","Financial Services, Mobile, Payments, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/modulrfinance","£145,400,000","May 18, 2022","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/modulrfinance","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/modulrfinance","Private","Series C","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/modulrfinance","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/modulrfinance","Financial Services, FinTech, Mobile Payments, Payments","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/financial-services","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Modulr is a fintech company that provides a payments as a service API for digital businesses.","—",,1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","r7Bm17QnEmTtewuQX7Be","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
9,"9.  InstaDeep","Karim Beguir","https://www.crunchbase.com/person/karim-beguir","www.instadeep.com","http://www.instadeep.com","For Profit","hello@instadeep.com","InstaDeep is a creator of a platform for making decisions that will guarantee talent retention and offer training.        The company's platform provides a variety of AI programs, such as enhanced pattern recognition, insights accelerated by GPUs, self-learning decision-making systems, machine learning, and predictive analytics to optimize decisions. This enables businesses to increase return on investments by enhancing manufacturing, logistics, mobility, and energy efficiency.        InstaDeep was established on October 8, 2015 by Zohra Slim and Karim Beguir in London, England.","—",,"Oct 8, 2015","$100,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/instadeep","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551","Active","https://www.crunchbase.com/organization/instadeep","$107,000,000","Jan 25, 2022","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/instadeep","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/instadeep","Private","Series B","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/instadeep","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/instadeep","Artificial Intelligence, Information Technology","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","InstaDeep delivers AI-powered decision-making systems for the Enterprise, to solve complex industrial problems.","InstaDeep acquired by BioNTech","https://www.crunchbase.com/acquisition/biontech-ag-acquires-instadeep--2a28c16c",1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","aN1xaTBAZJDFQD65gAqm","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
10,"10.  OLIO","Saasha Celestial-One, Tessa Clarke","https://www.crunchbase.com/person/saasha-celestial-one","olioex.com","https://olioex.com","For Profit","hello@olioex.com","OLIO is a free app connecting neighbors so surplus food and other items can be shared, not binned. Its location-based app and website allows people to list and post a photo of unwanted food items to be shared with other people in the same neighborhood.        OLIO was founded in 2015 and is based in London.","—",,"2015","$43,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/olio","Apps, Community and Lifestyle, Food and Beverage, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/apps-2683","Active","https://www.crunchbase.com/organization/olio","$53,123,240","Sep 6, 2021","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/olio","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/olio","Private","Series B","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/olio","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/olio","Apps, Communities, Food and Beverage","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/apps","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","OLIO is a global food sharing app connecting neighbors, volunteers, and businesses.","—",,1681292640504,"Wed, 12 Apr 2023 09:44:00 GMT","RhojmAH9e9GDffSsh2XR","https://www.crunchbase.com/search/organization.companies/14260cdad6a834e1ebb6ac845be87a04","1"
