Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
Deep Render,https://www.crunchbase.com/organization/deep-render,10979801,USD,10979801,Private,Series A,11-50,"Artificial Intelligence, Information Technology, Machine Learning","London, England, United Kingdom",Deep Render is developing the next generation of media compression algorithms.,,,"Arsalan Zafar, Christian Besenbruch",https://www.deeprender.ai,For Profit,contact@deeprender.ai,https://www.linkedin.com/company/deeprenderltd,"Deep Render Ltd. is a spin-out from the Department of Computing at Imperial College London. We are a London based AI start-up that is developing the next generation of media compression algorithms. Our proprietary and patented technology is at the forefront of machine learning research. Furthermore, our Biological Image Compression results are  state-of-the-art, providing at least a 50% efficiency gain over the previous standards",$1M to $10M,2017-10-17,day,6300000,USD,6300000,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Active,2023-03-29,,,,,
LandVault,https://www.crunchbase.com/organization/advir,38532479,USD,38532479,Private,Series B,101-250,"Advertising, Internet, Marketing, Social Media Advertising, Virtual Reality","London, England, United Kingdom",LandVault is a programmatic monetization platform for in-game advertising.,,,"Joe Bachle-Morris, Mohammed Alisrawi, Samuel Huber",https://landvault.io,For Profit,,https://www.linkedin.com/company/thelandvault,"Admix is a monetisation platform for game developers that enables non-intrusive, programmatic product placements within their content. Admix is a programmatic platform for everything from immersive technologies to mobile games, selling their inventory to popular demand-side platforms and giving millions of advertisers the ability to buy game media in a couple of clicks.",$1M to $10M,2017-01-01,year,3000000,USD,3000000,"Advertising, Hardware, Internet Services, Sales and Marketing, Software",Active,2023-03-23,,,,,
PolyAI,https://www.crunchbase.com/organization/poly-ai,66000000,USD,66000000,Private,Series B,101-250,"Artificial Intelligence, Call Center, Customer Service, Enterprise Software, Machine Learning, Software","London, England, United Kingdom",PolyAI develops a machine learning platform for conversational artificial intelligence.,,,"Nikola Mrkšić, Pei-Hao Su, Tsung-Hsien Wen",https://www.polyai.com,For Profit,contact@poly-ai.com,https://www.linkedin.com/company/polyai/,"PolyAI develops a machine learning platform for conversational artificial intelligence. PolyAI builds enterprise voice assistants that carry on natural conversations with customers to solve their problems. PolyAI's voice assistants understand customers, regardless of what they say or how they say it. Founded in 2017, the company has its headquarters in London, England, United Kingdom, and New York, United States of America.",$1M to $10M,2017-01-01,year,40000000,USD,40000000,"Administrative Services, Artificial Intelligence, Data and Analytics, Other, Professional Services, Science and Engineering, Software",Active,2022-09-07,,,,,
Hack The Box,https://www.crunchbase.com/organization/hack-the-box,69500000,USD,69500000,Private,Series B,101-250,"Cyber Security, Information Technology, Penetration Testing, Skill Assessment, Training","Folkestone, Kent, United Kingdom","Hack The Box is a leading gamified cybersecurity upskilling, certification, and talent assessment software platform.",,,"Aris Zikopoulos, Haris Pylarinos, James Hooker",https://www.hackthebox.com,For Profit,info@hackthebox.eu,https://www.linkedin.com/company/hackthebox,"Hack The Box is a leading gamified cybersecurity upskilling, certification, and talent assessment platform enabling individuals, businesses, government institutions, and universities to sharpen their offensive and defensive security expertise. Launched in 2017, Hack The Box brings together the largest global cybersecurity community of more than 1.7m platform members and is on a mission to create and connect cyber-ready humans and organizations through highly engaging hacking experiences that cultivate out-of-the-box thinking. Offering a fully guided and exploratory skills development environment, Hack The Box is the ideal solution for cybersecurity professionals and organizations to continuously enhance their cyber-attack readiness by improving their red, blue, and purple team capabilities. Rapidly growing its international footprint and reach, Hack The Box is headquartered in the UK, with additional offices in Greece and the US.",,2017-06-20,day,55000000,USD,55000000,"Education, Information Technology, Privacy and Security",Active,2023-01-11,,,,,
Allica Bank,https://www.crunchbase.com/organization/allica-bank,321000000,GBP,404383763,Private,Series C,251-500,"Banking, Finance, Financial Services, FinTech","London, England, United Kingdom",Allica Bank is a fintech company that delivers digital banking services for small and medium-sized businesses.,,,Jason Scott,https://www.allica.bank/,For Profit,,https://www.linkedin.com/company/allicabank/,"Allica Bank is a fintech company that delivers digital banking services for small and medium-sized businesses. The company combines modern technology with local relationships in the community to provide banking for businesses in Britain.   The company was founded by Jason Scott and is headquartered in London, England.",,2017-01-01,year,100000000,GBP,121927577,"Financial Services, Lending and Investments",Active,2022-12-05,,,,,
CyberSmart,https://www.crunchbase.com/organization/cybersmart-2,26940092,USD,26940092,Private,Series B,11-50,"B2B, Compliance, Cyber Security, InsurTech, Network Security, Risk Management, SaaS","London, England, United Kingdom",CyberSmart is an automated end-to-end cyber security compliance platform that helps SMBs.,,,"Jamie Akhtar, Mariella Thanner",https://cybersmart.co.uk,For Profit,hello@cybersmart.co.uk,https://www.linkedin.com/company/be-cybersmart/,"CyberSmart is an automated compliance platform that helps you identify, fix, certify, and protect against security incidents that affect your business. They provide a cybersecurity platform that enables small-to medium-sized businesses (SMBs) to combat the constant threat of cyber-attacks and increasing regulation in an ever-evolving technological landscape and increasingly connected digital operating space.",,2016-12-05,day,12750000,GBP,15321664,"Financial Services, Information Technology, Other, Privacy and Security, Professional Services, Software",Active,2023-02-23,,,,,
ESG Book,https://www.crunchbase.com/organization/arabesque-s-ray,54968377,USD,54968377,Private,Series B,101-250,"Big Data, Consulting, Data Visualization, Database, Financial Services, FinTech, Information Services, Information Technology, Software, Sustainability","London, England, United Kingdom","ESG Book is a global leader in sustainability data and technology, trusted by many of the world's largest financial organisations.",,,,https://www.esgbook.com/,For Profit,info@esgbook.com,https://www.linkedin.com/company/esgbook ,"ESG Book is a global leader in sustainability data and technology. Incubated by Arabesque in 2018, ESG Book combines cutting-edge technology and proprietary research. ESG Book’s wide range of cloud-based sustainability products and solutions are used by many of the world’s leading financial organisations.  The company’s cloud-based platform makes ESG data accessible, consistent, and transparent, enabling financial markets to allocate capital towards more sustainable and higher-impact assets. Covering over 25,000 companies globally, ESG Book enables companies to be custodians of their own data, provides framework-neutral sustainability information in real-time, and promotes transparency. The company has offices in London, Frankfurt, Boston, Singapore, Delhi and Tokyo and serves clients worldwide from offices in Asia, Europe and North America.",$1M to $10M,2017-04-01,month,28540000,GBP,34968376,"Data and Analytics, Design, Financial Services, Information Technology, Professional Services, Software, Sustainability",Active,2022-06-22,,,,,
Rossum,https://www.crunchbase.com/organization/rossum,108816783,USD,108816783,Private,Series A,101-250,"Artificial Intelligence, Document Management, Machine Learning, SaaS, Software","London, England, United Kingdom",Rossum is an AI-based cloud document gateway for automated business communication.,,,"Petr Baudis, Tomas Gogar, Tomas Tunys",http://rossum.ai/,For Profit,rossum@rossum.ai,https://www.linkedin.com/company/rossum,"Rossum solves four key steps in document-based processes at once: receiving documents across multiple channels, automated understanding, two-way communication to resolve exceptions, and acting on the data using in-depth integrations. Whether you receive invoices, purchase orders, claims, any other documents, Rossum automates your business communication.",,2017-01-16,day,72000000,GBP,99316783,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Active,2021-10-19,,,,,
Tripledot Studios,https://www.crunchbase.com/organization/tripledot-studios,252000000,USD,252000000,Private,Series B,51-100,"Apps, Casual Games, Mobile, PC Games","London, England, United Kingdom",Tripledot Studios is a mobile games studio that develops casual mobile games such as solitaire app and several puzzle games.,,,"Akin Babayigit, Eyal Chameides, Lior Shiff",https://www.tripledotstudios.com,For Profit,info@tripledotstudios.com,https://www.linkedin.com/company/tripledot-studios,"Tripledot Studios is a mobile games studio that develops casual mobile games such as solitaire apps and several puzzle games. Tripledot was created in 2017 when three friends decided to join forces to create a new kind of games studio. Bringing together their collective experience in company-building and game creation, their goal was to bring together a team to create fun, successful games for everyday gamers.",$50M to $100M,2017-01-01,year,116000000,USD,116000000,"Apps, Gaming, Mobile, Software",Active,2022-02-14,,,,,
Shufti Pro,https://www.crunchbase.com/organization/shufti-pro,20000000,USD,20000000,Private,Series A,11-50,"Artificial Intelligence, Compliance, FinTech, Information Technology, SaaS, Software","London, England, United Kingdom","Shufti Pro Ltd. provides global AI-based KYC and AML solutions for customer onboarding, fraud prevention, & effective regulatory compliance",,,Shahid Hanif,http://www.shuftipro.com,For Profit,sales@shuftipro.com,https://www.linkedin.com/company/shufti-pro/,"Shufti Pro is a SaaS company providing fully automated KYC and AML solutions like KYC to verify the end-users of a business, KYB to verify business, AML to perform background checks but this all can be achieved using one single API so our solution is easy enough for any business to integrate with their existing system using a simple to implement RESTful API. The company offers a multi-layered risk cover against digital identity fraud, money laundering and terrorist financing.   Know Your Customer (KYC) Services include face verification, document verification, Video-interview KYCm, address verification, 2-factor authentication, consent verification, and Biometric Sign-in through facial recognition. All the verifications are performed in less than 30 seconds and the services are available in 230+ countries and territories supporting 150+ languages. Moreover, Shufti Pro performs AML screening of individuals and businesses against 1700+ watchlists leaving no room for fin crime. Shufti Pro offers hybrid solution as well that uses a combination of artificial intelligence and human intelligence to enable automated identity verification in a seamless manner. It deployed 900+ business models to develop enhanced AI for highly efficient identity verification results achieving the accuracy of 98.67% Shufti Pro is the only one in this space who not only provides SaaS solutions but also an on-premises solution to some large enterprises in the world including payment gateways and banks, where their data is stored only on their own servers and no data is sent to the internet or any other party whatsoever.",,2017-10-31,day,20000000,USD,20000000,"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software",Active,2022-03-15,,,,,
