search URL:,https://patents.google.com/?assignee=Univ+Birmingham&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9879985-B2,Simultaneous multiple view surface geometry acquisition using structured light and mirrors ,The University Of Birmingham Edgbaston,"Hector Richard Abraham Basevi, James Andrew Guggenheim, Hamid Dehghani, Iain Bruce Styles",2012-12-12,2013-12-09,2018-01-30,2018-01-30,https://patents.google.com/patent/US9879985B2/en,https://patentimages.storage.googleapis.com/27/db/74/90a5d8130a4f1e/US09879985-20180130-D00000.png
AU-2020202434-A1,Target peptides for immunotherapy and diagnostics ,"The University Of Birmingham, University Of Virginia Patent Foundation","Mark Cobbold, Kara L. Cummings, Victor H. Engelhard, Doland F. Hunt, Stacey A. Malaker, Rebecca C. Obeng, Jeffrey Shabanowitz, Angela Zarling",2012-08-31,2020-04-07,2020-04-30,,https://patents.google.com/patent/AU2020202434A1/en,
US-10829817-B2,Therapeutic targets for Alzheimer's disease ,The University Of Birmingham,Zsuzsanna Nagy,2012-07-11,2018-03-15,2020-11-10,2020-11-10,https://patents.google.com/patent/US10829817B2/en,https://patentimages.storage.googleapis.com/8c/6c/98/f225d2ba24560e/US10829817-20201110-D00001.png
US-2019270779-A1,Re-Directed Immunotherapy ,The University Of Birmingham,"Mark Cobbold, David Millar",2011-03-17,2019-03-27,2019-09-05,,https://patents.google.com/patent/US20190270779A1/en,https://patentimages.storage.googleapis.com/a3/98/81/2a0c6c349cfe81/US20190270779A1-20190905-D00001.png
EP-2646584-B1,Magnet recycling ,The University of Birmingham,"Ivor Rex Harris, John Speight, Allan Walton",2010-12-02,2011-12-02,2018-09-26,2018-09-26,https://patents.google.com/patent/EP2646584B1/en,https://patentimages.storage.googleapis.com/a9/df/ee/477a20de1c0c7b/imgf0001.png
US-2018105599-A1,Immunotherapeutic molecules and uses ,The University Of Birmingham,"Mark Cobbold, David Millar",2012-02-28,2017-09-19,2018-04-19,,https://patents.google.com/patent/US20180105599A1/en,https://patentimages.storage.googleapis.com/5d/cf/8b/23c4823686f752/US20180105599A1-20180419-D00000.png
US-9492532-B2,Nucleic acids encoding mosaic HIV-1 gag proteins ,"Duke University, U. Of Alabama At Birmingham Research Foundation, Beth Israel Deaconess Medical Center, Los Alamos National Security, Llc","Bette T. Korber, Simon Perkins, Tanmoy Bhattacharya, William M. Fischer, James Theiler, Norman Letvin, Barton F. Haynes, Beatrice H. Hahn, Karina Yusim, Carla Kuiken",2005-08-23,2015-04-17,2016-11-15,2016-11-15,https://patents.google.com/patent/US9492532B2/en,https://patentimages.storage.googleapis.com/28/cd/24/4e867d3e686fe1/US09492532-20161115-D00001.png
US-2021060101-A1,Tropic cell based virotherapy for the treatment of cancer ,"City Of Hope, University Of Chicago, University Of Alabama At Birmingham","Karen S. Aboody, Alexander J. ANNALA, David CURIEL, Maciej LESNIAK",2013-03-13,2020-07-13,2021-03-04,,https://patents.google.com/patent/US20210060101A1/en,https://patentimages.storage.googleapis.com/48/23/d0/0ad7769cf67322/US20210060101A1-20210304-D00001.png
US-9844589-B2,Modified human immunodeficiency virus type 1 (HIV-1) group M consensus envelope glycoproteins capable of inducing broadly reactive T- and B-cell responses ,"Duke University, The University Of Alabama Birmingham Research Foundation, Los Alamos National Security, Llc","Barton F. Haynes, Feng Gao, Bette T. Korber, Beatrice H. Hahn, George M. Shaw, Denise Kothe, Ying Ying Li, Julie Decker, Hua-Xin Liao",2003-09-17,2011-08-23,2017-12-19,2017-12-19,https://patents.google.com/patent/US9844589B2/en,https://patentimages.storage.googleapis.com/88/ef/cf/532a48404852e4/US09844589-20171219-D00000.png
US-11165330-B2,Elimination of commutation failure of LCC HVDC system ,The University Of Birmingham,"Xiao-Ping Zhang, Ying Xue",2017-07-13,2018-07-05,2021-11-02,2021-11-02,https://patents.google.com/patent/US11165330B2/en,https://patentimages.storage.googleapis.com/bc/35/12/42f76e269c6d6a/US11165330-20211102-D00000.png
