search URL:,https://patents.google.com/?assignee=Univ+Bristol&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-3646457-B1,Electrostatic actuator ,The University of Bristol,"Majid TAGHAVI, Tim HELPS, Jonathan ROSSITER",2017-06-29,2018-06-28,2022-01-26,2022-01-26,https://patents.google.com/patent/EP3646457B1/en,https://patentimages.storage.googleapis.com/76/26/ad/e2d793e45cb0f8/imgf0001.png
US-11617512-B2,Probe with a removable tip ,"The University Of Bristol, Gloucestershire Hospitals Nhs Foundation Trust","John Charles Clifford Day, Nicholas Stone",2011-10-31,2019-11-15,2023-04-04,2023-04-04,https://patents.google.com/patent/US11617512B2/en,https://patentimages.storage.googleapis.com/US11617512B2/US11617512-20230404-D00000.png
US-10057057-B2,"Homomorphic evaluation including key switching, modulus switching, and dynamic noise management ",International Business Machines Corporation,"Craig B. Gentry, Shai Halevi, Nigel P. Smart",2012-02-17,2016-10-17,2018-08-21,2018-08-21,https://patents.google.com/patent/US10057057B2/en,https://patentimages.storage.googleapis.com/a4/d7/ee/34f0807261d444/US10057057-20180821-D00000.png
US-9235101-B2,Optical source ,The University Of Bristol,"Joshua Wimbridge Silverstone, Damien Bonneau, Mark Gerard Thompson, Jeremy Lloyd O'Brien",2013-02-19,2014-02-18,2016-01-12,2016-01-12,https://patents.google.com/patent/US9235101B2/en,https://patentimages.storage.googleapis.com/10/ad/4e/0b58ef51113140/US09235101-20160112-D00000.png
US-10541809-B2,Chip-based quantum key distribution ,The University Of Bristol,"Mark Godfrey, Mark Thompson, Philip Sibson",2015-03-10,2016-03-08,2020-01-21,2020-01-21,https://patents.google.com/patent/US10541809B2/en,https://patentimages.storage.googleapis.com/5a/ce/0f/4ca548c6cf4563/US10541809-20200121-D00000.png
US-9952482-B2,Optical apparatus and method for outputting one or more photons ,The University Of Bristol,"Terence Rudolph, Mark Thompson, Jonathan Matthews, Damien Bonneau",2015-09-11,2016-09-09,2018-04-24,2018-04-24,https://patents.google.com/patent/US9952482B2/en,https://patentimages.storage.googleapis.com/c9/89/7f/3b0840654a33cd/US09952482-20180424-D00000.png
EP-2972499-B1,Radiation detection device and method ,The University of Bristol,"Thomas Scott, James Macfarlane",2013-03-11,2014-03-07,2020-02-26,2020-02-26,https://patents.google.com/patent/EP2972499B1/en,https://patentimages.storage.googleapis.com/61/d9/31/b34f4e319ad42a/imgf0001.png
AU-2012244303-B2,Novel plant acyltransferases specific for long-chain polyunsaturated fatty acids ,University Of Bristol,"Amine Abbadi, Jorg Bauer, Thomas Fraser, Margit Frentzen, Ernest Heinz, Stobart Keith, Colin M. Lazarus, Baoxiu Qi, Andreas Renz, Nursen Sozer",2003-03-31,2012-11-02,2016-03-03,2016-03-03,https://patents.google.com/patent/AU2012244303B2/en,
US-8933211-B2,Growth factor isoform ,University Of Bristol,"David O. Bates, Steven J. Harper",2001-08-01,2013-02-01,2015-01-13,2015-01-13,https://patents.google.com/patent/US8933211B2/en,https://patentimages.storage.googleapis.com/0a/e7/fa/b3ad135cd67fa0/US08933211-20150113-D00001.png
US-8962507-B2,Product and process ,"University Of The West Of England, Bristol","David Huson, Stephen Hoskins",2010-06-07,2011-06-07,2015-02-24,2015-02-24,https://patents.google.com/patent/US8962507B2/en,
EP-2654895-B1,Monitoring of a therapeutic x-ray beam using an active pixel sensor detector ,"The University of Bristol, Swansea University, University Hospitals Bristol Nhs Foundation Trust","Jaap VELTIUS, Richard Peter HUGTENBURG, Catherine Hall, Ryan PAGE, Paul Stevens",2010-12-22,2011-12-21,2018-04-04,2018-04-04,https://patents.google.com/patent/EP2654895B1/en,https://patentimages.storage.googleapis.com/c2/8b/d0/ed6dcf7aed48ac/imgf0001.png
US-11092580-B2,Diagnostic apparatus ,"University Of The West Of England, Bristol, The University Of Bristol","Norman Ratcliffe, Benjamin Paul Costello, Richard Ewen, Christopher Probert",2009-11-20,2020-02-28,2021-08-17,2021-08-17,https://patents.google.com/patent/US11092580B2/en,https://patentimages.storage.googleapis.com/7f/27/83/0fdc84b1406f1c/US11092580-20210817-D00000.png
US-9103975-B2,Orbital angular momentum ,The University Of Bristol,"Siyuan Yu, Mark Thompson, Xinlun Cai",2012-06-01,2013-05-29,2015-08-11,2015-08-11,https://patents.google.com/patent/US9103975B2/en,https://patentimages.storage.googleapis.com/93/92/47/7b16aabaa38e14/US09103975-20150811-D00000.png
EP-2888096-B1,Method and apparatus for manufacturing composite articles ,The University of Bristol,"David Williams, Renato Ricci, Alex STONEMAN, David Groves, Andrew DRANE",2012-08-22,2013-08-08,2017-12-27,2017-12-27,https://patents.google.com/patent/EP2888096B1/en,https://patentimages.storage.googleapis.com/72/bb/ad/015fdbf77e833c/imgf0001.png
US-9372667-B2,Ontology driven requirements engineering system and method ,"Airbus Operations Limited, University Of The West Of England Bristol","Mario KOSSMANN, Mohammed ODEH",2012-02-02,2012-02-02,2016-06-21,2016-06-21,https://patents.google.com/patent/US9372667B2/en,https://patentimages.storage.googleapis.com/0f/86/d3/ce6f9cd9459cc4/US09372667-20160621-D00000.png
US-10867780-B2,Multi detector mass spectrometer and spectrometry method filter ,"Thermo Fisher Scientific (Bremen) Gmbh, The University Of Bristol","Johannes Schwieters, Timothy Richard Elliott, Christopher David Coath",2015-08-14,2016-08-11,2020-12-15,2020-12-15,https://patents.google.com/patent/US10867780B2/en,https://patentimages.storage.googleapis.com/7f/a0/c0/1b0eb81b1e5571/US10867780-20201215-D00000.png
US-10031398-B2,Spectroscopy apparatus and method ,The University Of Bristol,"Jonathan C. F. Matthews, Damien Bonneau, Mark Gerard Thompson",2014-08-07,2015-07-01,2018-07-24,2018-07-24,https://patents.google.com/patent/US10031398B2/en,https://patentimages.storage.googleapis.com/46/7f/19/d442fdd420e5f5/US10031398-20180724-D00000.png
