search URL:,https://patents.google.com/?assignee=Univ+Cambridge&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8432030-B2,Power electronic package having two substrates with multiple semiconductor chips and electronic components ,"Denso Corporation, University Of Cambridge, The University Of Sheffield","Rajesh Kumar Malhan, C Mark JOHNSON, Cyril Buttay, Jeremy Rashid, Florin Udrea",2006-08-29,2011-06-29,2013-04-30,2013-04-30,https://patents.google.com/patent/US8432030B2/en,https://patentimages.storage.googleapis.com/8e/52/84/628545dba833be/US08432030-20130430-D00000.png
US-8420157-B2,Electroluminescent device ,Cambridge University Technical Services Limited,"Gitti Frey, Kieran John Reynolds",2001-05-18,2011-09-23,2013-04-16,2013-04-16,https://patents.google.com/patent/US8420157B2/en,https://patentimages.storage.googleapis.com/51/22/4e/4fca4f3992e11c/US08420157-20130416-D00001.png
US-8541257-B2,Aligned polymers for an organic TFT ,Cambridge University Technical Services Limited,"Henning Sirringhaus, Richard Henry Friend, Richard John Wilson",1999-06-21,2010-09-22,2013-09-24,2013-09-24,https://patents.google.com/patent/US8541257B2/en,https://patentimages.storage.googleapis.com/c1/79/a1/f51527ec415df9/US08541257-20130924-D00000.png
JP-2020063314-A,Compounds and methods for enhanced degradation of targeted proteins and other polypeptides by e3 ubiquitin ligase ,"イエール ユニバーシティ, Yale Univ, イエール  ユニバーシティ, グラクソスミスクライン、インテレクチュアル、プロパティー、ディベロップメント、リミテッドＧｌａｘｏｓｍｉｔｈｋｌｉｎｅ Ｉｎｔｅｌｌｅｃｔｕａｌ Ｐｒｏｐｅｒｔｙ Ｄｅｖｅｌｏｐｍｅｎｔ Ｌｉｍｉｔｅｄ, Glaxosmithkline Intellectual Property Development Ltd, グラクソスミスクライン、インテレクチュアル、プロパティー、ディベロップメント、リミテッド, ケンブリッジ エンタープライズ リミテッド ユニバーシティー オブ ケンブリッジ, Cambridge Entpr Ltd University Of Cambridge, ケンブリッジ  エンタープライズ  リミテッド  ユニバーシティー  オブ  ケンブリッジ","クレイグ エム． クルース, M Crews Craig, クレイグ  エム． クルース, デニス バックリー, Buckley Dennis, デニス バックリー, アレッシオ チュッリ, Ciulli Alessio, アレッシオ チュッリ, ウィリアム イエルゲンセン, Jorgensen William, ウィリアム イエルゲンセン, ピーター シー． ギャレイス, C Gareiss Peter, ピーター  シー． ギャレイス, モール インゲ バン, Van Molle Inge, モール  インゲ バン, ジェフリー ガスタフソン, Gustafson Jeffrey, ジェフリー ガスタフソン, ヒュン‐ソプ テ, Hyun-Seop Tae, ヒュン‐ソプ テ, ジュリアン マイケル, Michel Julien, ジュリアン マイケル, デンティン ウェード ホイヤー, Wade Hoyer Dentin, デンティン  ウェード ホイヤー, アンケ ジー． ロス, G Roth Anke, アンケ  ジー． ロス, ジョン デビッド ハーリング, David Harling John, ジョン  デビッド ハーリング, イアン エドワード デビッド スミス, Edward David Smith Ian, イアン  エドワード  デビッド スミス, アフジャル フセイン ミア, Hussain Miah Afjal, アフジャル  フセイン ミア, セバスチアン アンドレ カンポス, Andre Campos Sebastien, セバスチアン  アンドレ カンポス, ジョエル レ, Le Joelle, ジョエル レ",2012-01-12,2020-02-03,2020-04-23,,https://patents.google.com/patent/JP2020063314A/en,https://patentimages.storage.googleapis.com/9c/ea/b9/b2f3193b58b966/2020063314-1080.png
US-10783880-B2,Speech processing system and method ,"The Chancellor, Masters, And Scholars Of The University Of Cambridge","Thomas William John ASH, Anthony John Robinson",2015-11-04,2016-11-04,2020-09-22,2020-09-22,https://patents.google.com/patent/US10783880B2/en,https://patentimages.storage.googleapis.com/6c/44/07/faf4023b1be07c/US10783880-20200922-D00000.png
US-9679256-B2,Automated assessment of examination scripts ,"The Chancellor, Masters And Scholars Of The University Of Cambridge","Ted Briscoe, Ben Medlock, Oeistein Andersen",2010-10-06,2010-10-06,2017-06-13,2017-06-13,https://patents.google.com/patent/US9679256B2/en,https://patentimages.storage.googleapis.com/ce/57/c4/d3d3286f9a56a8/US09679256-20170613-D00000.png
US-2015221896-A1,"Ambipolar, light-emitting field-effect transistors ",Cambridge University Technical Services Limited,"Jana Zaumseil, Henning Sirringhaus, Lay-Lay Chua, Peter Kian-Hoon Ho, Richard Henry Friend",2004-01-16,2015-02-09,2015-08-06,,https://patents.google.com/patent/US20150221896A1/en,https://patentimages.storage.googleapis.com/6e/c8/7f/6879dd24c1f65b/US20150221896A1-20150806-D00000.png
US-2016131918-A1,"Stereoscopic imaging apparatus and method, and display ","Huawei Technologies Co.,Ltd., University Of Cambridge","Daping Chu, Brian Robertson, Jiong Zhou, Jun Yao",2013-07-19,2016-01-18,2016-05-12,,https://patents.google.com/patent/US20160131918A1/en,https://patentimages.storage.googleapis.com/a5/29/28/805bacafd71d19/US20160131918A1-20160512-D00000.png
US-2010247431-A1,Polypeptides including modified constant regions ,Cambridge University Technical Services Limited,"Kathryn Lesley Armour, Michael Ronald Clark",2003-10-17,2010-02-08,2010-09-30,,https://patents.google.com/patent/US20100247431A1/en,https://patentimages.storage.googleapis.com/b1/a1/1b/f38cc44ab74cb5/US20100247431A1-20100930-D00001.png
US-2015354010-A1,Markers for breast cancer ,"Perlegen Sciences, Inc., University Of Cambridge","David Cox, Dennis Ballinger, Bruce Ponder, Doug Easton",2005-11-29,2015-06-12,2015-12-10,,https://patents.google.com/patent/US20150354010A1/en,https://patentimages.storage.googleapis.com/f9/90/16/6206d77c93344a/US20150354010A1-20151210-D00001.png
US-2013107344-A1,Optoelectronic device employing a microcavity including a two-dimensional carbon lattice structure ,"International Business Machines Corporation, University Of Cambridge, Karlsruher Institut Fuer Technologie","Phaedon Avouris, Mathias B. Steiner, Michael Engel, Ralph Krupke, Andrea C. Ferrari, Antonio Lombardo",2011-10-31,2011-10-31,2013-05-02,,https://patents.google.com/patent/US20130107344A1/en,https://patentimages.storage.googleapis.com/69/f2/ed/bfaf92b5b7b4d8/US20130107344A1-20130502-D00000.png
CA-2867529-C,Treatment for peanut allergy ,"Cambridge Enterprise Limited, Andrew Clark, Pamela EWAN, Cambridge University Hospitals Nhs Foundation Trust","Andrew Clark, Pamela EWAN",2011-03-17,2012-03-16,2022-08-23,2022-08-23,https://patents.google.com/patent/CA2867529C/en,
US-8155888-B2,Method and apparatus for assessing polypeptide aggregation ,Cambridge University Technical Services Ltd.,"Christopher Dobson, Fabrizio Chiti, Jesus Zurdo, Kateri Hayashi DuBay, Michele Vendruscolo",2003-11-05,2010-03-08,2012-04-10,2012-04-10,https://patents.google.com/patent/US8155888B2/en,https://patentimages.storage.googleapis.com/09/9b/0f/041ddf09b7d0f8/US08155888-20120410-D00001.png
US-2017067222-A1,Method of monitoring subsurface concrete structures ,"Cementation Skanska Limited, The Chancellor, Masters And Scholars Of The Univer Sity Of Cambridge, Arup Group Limited","Andrew Bell, Yue Ouyang, Kenichi Soga, Duncan Nicholson",2014-02-05,2015-02-05,2017-03-09,,https://patents.google.com/patent/US20170067222A1/en,https://patentimages.storage.googleapis.com/f1/0e/bf/aba31dd8fb1c7e/US20170067222A1-20170309-D00000.png
CN-115188903-A,Light emitting device ,"剑桥企业有限公司, 阿卜杜拉阿齐兹国王科技城","理查德·亨利·弗兰德, 李广如, 狄大卫, 礼萨·萨贝里·穆加达姆, 陈致匡",2015-06-30,2016-06-30,2022-10-14,,https://patents.google.com/patent/CN115188903A/en,https://patentimages.storage.googleapis.com/3b/53/b4/3d9fb964d4e0fc/RE-HDA0003837721070000011.png
US-10909006-B2,Main processor error detection using checker processors ,"Arm Limited, The Chancellor, Masters And Scholars Of The University Of Cambridge","Sam AINSWORTH, Thomas Christopher Grocutt, Timothy Martin JONES",2016-11-04,2017-10-20,2021-02-02,2021-02-02,https://patents.google.com/patent/US10909006B2/en,https://patentimages.storage.googleapis.com/5f/58/fc/ad4f2c7611d2c4/US10909006-20210202-D00000.png
US-2013334505-A1,"Polymers, Their Preparation and Uses ","Cambridge University Technical Services Limited, Cambridge Display Technology Limited","Carl R. Towns, Chris Mak, Khai Leok Chan, Andrew Bruce Holmes",2003-11-10,2013-05-07,2013-12-19,,https://patents.google.com/patent/US20130334505A1/en,https://patentimages.storage.googleapis.com/dd/24/c2/3267db3d6be4fe/US20130334505A1-20131219-D00001.png
