search URL:,https://patents.google.com/?assignee=glasgow+univ&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2018008542-A1,Pharmaceutical composition ,"University Of Strathclyde, University Court Of The University Of Glasgow","Barry Douglas Moore, Marie Claire Parker, Johann Partridge, Jan Vos, Michaela Maria Kreiner, Howard Norman Ernest Stevens, Maria Victoria Flores, Alistair Ross",2003-01-09,2017-06-02,2018-01-11,,https://patents.google.com/patent/US20180008542A1/en,https://patentimages.storage.googleapis.com/94/0d/a5/57713cdbbef38f/US20180008542A1-20180111-D00001.png
US-8692192-B2,Methods and systems for mass spectrometry ,University Of Washington Through Its Center For Commercialization,"David R. Goodlett, Scott R. Heron, Jon Cooper",2009-11-13,2013-04-08,2014-04-08,2014-04-08,https://patents.google.com/patent/US8692192B2/en,https://patentimages.storage.googleapis.com/d6/6a/ce/b49695f99ec4ef/US08692192-20140408-D00000.png
CA-2854715-C,Apparatus and methods for the electrochemical generation of oxygen and/or hydrogen ,"The University Court Of The University Of Glasgow, Leroy Cronin, Mark SYMES","Leroy Cronin, Mark SYMES",2011-11-08,2012-11-08,2021-04-27,2021-04-27,https://patents.google.com/patent/CA2854715C/en,
CA-2931654-C,Fluidics apparatus and fluidics substrate ,"The University Court Of The University Of Glasgow, Rab Wilson, Jonathan M. Cooper, Julien Reboud","Rab Wilson, Jonathan M. Cooper, Julien Reboud",2009-08-24,2010-08-24,2018-11-27,2018-11-27,https://patents.google.com/patent/CA2931654C/en,
US-9962677-B2,Methods of evolutionary synthesis including embodied chemical syntheses ,The University Court Of The University Of Glasgow,Leroy Cronin,2012-05-25,2017-08-04,2018-05-08,2018-05-08,https://patents.google.com/patent/US9962677B2/en,https://patentimages.storage.googleapis.com/42/bc/ca/5b61e498543195/US09962677-20180508-D00000.png
US-9513171-B2,"Terahertz radiation detector, focal plane array incorporating terahertz detector, multispectral metamaterial absorber, and combined optical filter and terahertz absorber ",The University Court Of The University Of Glasgow,"David Robert Sime Cumming, James Paul Grant, Iain James Hugh McCrindle",2012-11-27,2013-11-26,2016-12-06,2016-12-06,https://patents.google.com/patent/US9513171B2/en,https://patentimages.storage.googleapis.com/c7/3e/31/1ec7c4685e18e2/US09513171-20161206-D00000.png
US-2018338997-A1,Therapeutic uses of microvesicles and related micrornas ,The University Court Of The University Of Glasgow,"Paul Shiels, Wayne Davies",2010-08-13,2017-12-01,2018-11-29,,https://patents.google.com/patent/US20180338997A1/en,https://patentimages.storage.googleapis.com/f1/c3/13/28b07a8b76b5d4/US20180338997A1-20181129-D00001.png
CA-2827825-C,"Fluidics apparatus for surface acoustic wave manipulation of fluid samples, use of fluidics apparatus and process for the manufacture of fluidics apparatus ","The University Court Of The University Of Glasgow, Rab Wilson, Jonathan M. Cooper, Julien Reboud","Rab Wilson, Jonathan M. Cooper, Julien Reboud",2011-02-24,2012-02-24,2019-09-03,2019-09-03,https://patents.google.com/patent/CA2827825C/en,
JP-2018148921-A,Production of erythrocytes ,"ザ コモン サーヴィシス エージェンシー, Common Services Agency:The, ザ  コモン  サーヴィシス  エージェンシー, ユニバーシティ コート オブ ザ ユニバーシティ オブ グラスゴー, Univ Court Of The Univ Of Glasgow, ユニバーシティ  コート  オブ  ザ  ユニバーシティ  オブ  グラスゴー","マウントフォード，ジョアンヌ, Mountford Joanne, オリバー，エマニュエル, Oliver Emmanuel",2012-07-20,2018-06-04,2018-09-27,,https://patents.google.com/patent/JP2018148921A/en,https://patentimages.storage.googleapis.com/5c/04/08/ab4aa2fd1f6aef/2018148921-5.png
JP-2019059733-A,Phosphodiesterase 4d7 as prostate cancer marker ,"コーニンクレッカ フィリップス エヌ ヴェＫｏｎｉｎｋｌｉｊｋｅ Ｐｈｉｌｉｐｓ Ｎ．Ｖ．, Koninklijke Philips Nv, コーニンクレッカ  フィリップス  エヌ  ヴェ, ザ ユニバーシティー コート オブ ザ ユニバーシティー オブ グラスゴー, Univ Court Of The Univ Of Glasgow, ザ  ユニバーシティー  コート  オブ  ザ  ユニバーシティー  オブ  グラスゴー","ホフマン，ラルフ, Hoffmann Ralf, デー ハウスライ，ミレス, D Houslay Miles, デー ハウスライ，ミレス, イェー ペー ヘンデルソン，ダーフィト, j p henderson David, イェー  ペー ヘンデルソン，ダーフィト",2009-05-12,2018-10-31,2019-04-18,,https://patents.google.com/patent/JP2019059733A/en,https://patentimages.storage.googleapis.com/21/7a/c7/1e23ccf9cd7a60/2019059733-4.png
US-8980190-B2,Plasma generation and use of plasma generation apparatus ,The University Court Of The University Of Glasgow,"Declan Andrew Diver, Hugh Potts",2009-11-03,2010-11-03,2015-03-17,2015-03-17,https://patents.google.com/patent/US8980190B2/en,https://patentimages.storage.googleapis.com/01/af/ed/db55930fe4a6ef/US08980190-20150317-D00000.png
EP-3054832-B1,Endoscopy capsule with spad array for detecting fluorescence emitted by biological tissue ,The University Court Of The University Of Glasgow,"David Robert Sime Cumming, Mohammed AL-RAWHANI",2013-10-10,2014-10-09,2018-08-01,2018-08-01,https://patents.google.com/patent/EP3054832B1/en,https://patentimages.storage.googleapis.com/7e/66/04/13bc7b582a2fd8/imgf0001.png
US-2016326237-A1,Methods of treatment for guillain-barre syndrome ,"Annexon, Inc., The University Of Glasgow","Arnon Rosenthal, Michael Leviten, Hugh J. Willison, Rhona McGonigal",2013-05-15,2015-11-12,2016-11-10,,https://patents.google.com/patent/US20160326237A1/en,https://patentimages.storage.googleapis.com/b5/df/91/e6373f77c67bca/US20160326237A1-20161110-D00001.png
EP-2814611-B1,Apparatus and methods for the preparation of reaction vessels with a 3d-printer ,The University Court Of The University Of Glasgow,Leroy Cronin,2012-02-17,2013-02-18,2020-06-17,2020-06-17,https://patents.google.com/patent/EP2814611B1/en,https://patentimages.storage.googleapis.com/00/ca/8b/ff0096a56ab54d/imgf0001.png
US-2017297913-A1,Hydrogen Generation ,The University Court Of The University Of Glasgow,"Leroy Cronin, Mark Symes, Greig Chisholm, Benjamin Rausch",2014-09-11,2015-09-11,2017-10-19,,https://patents.google.com/patent/US20170297913A1/en,https://patentimages.storage.googleapis.com/1a/e4/30/bfb7023978815a/US20170297913A1-20171019-D00001.png
EP-3025099-B1,Control device and method for buildings ,University Court of Glasgow Caledonian University,"Hadi LARIJANI, Ali AHMADINIA, Rohinton EMMANUEL, Abbas JAVED",2013-07-24,2014-07-17,2018-12-26,2018-12-26,https://patents.google.com/patent/EP3025099B1/en,https://patentimages.storage.googleapis.com/12/33/1a/21950da8034400/imgf0001.png
US-11050219-B2,Laser device and method for its operation ,The University Court Of The University Of Glasgow,"Richard Hogg, David Childs, Richard Taylor",2016-05-06,2017-05-05,2021-06-29,2021-06-29,https://patents.google.com/patent/US11050219B2/en,https://patentimages.storage.googleapis.com/f3/01/47/deaf3fd361717f/US11050219-20210629-D00000.png
JP-2022184996-A,Engineered parasites for delivering protein to central nervous system (cns) ,"ラモット・アット・テル・アビブ・ユニバーシテイ・リミテッド, Ramot At Tel Aviv University Ltd, ザ ユニヴァーシティー コート オブ ザ ユニヴァーシティー オブ グラスゴー, Univ Court Of The Univ Of Glasgow :The","オーデッド レチャヴィ, Rechavi Oded, シャハール ブラチャ, Bracha Shahar, リラチ シャイナー, Sheiner Lilach",2016-06-29,2022-09-22,2022-12-13,,https://patents.google.com/patent/JP2022184996A/en,https://patentimages.storage.googleapis.com/7b/e9/37/515c6eb2a3c0aa/2022184996000210.png
JP-2019205431-A,Phosphodiesterase 4d7 as marker for malignant hormone-sensitive prostate cancer ,"コーニンクレッカ フィリップス エヌ ヴェＫｏｎｉｎｋｌｉｊｋｅ Ｐｈｉｌｉｐｓ Ｎ．Ｖ．, Koninklijke Philips Nv, コーニンクレッカ  フィリップス  エヌ  ヴェ, ザ ユニバーシティー コート オブ ザ ユニバーシティー オブ グラスゴー, Univ Court Of The Univ Of Glasgow, ザ  ユニバーシティー  コート  オブ  ザ  ユニバーシティー  オブ  グラスゴー","ラルフ ホフマン, Hoffmann Ralf, ラルフ ホフマン, マイルズ デー ホウスレイ, D Houslay Miles, マイルズ  デー ホウスレイ, デービッド ジェイ ピー ヘンダーソン, j p henderson David, デービッド  ジェイ  ピー ヘンダーソン",2009-05-12,2019-06-04,2019-12-05,,https://patents.google.com/patent/JP2019205431A/en,https://patentimages.storage.googleapis.com/01/14/b5/931554deb9db9d/2019205431-7.png
JP-2020073480-A,Materials and methods for modulation of tendon healing ,"ザ ユニバーシティー コート オブ ザ ユニバーシティー オブ グラスゴー, Univ Court Of The Univ Of Glasgow, ザ  ユニバーシティー  コート  オブ  ザ  ユニバーシティー  オブ  グラスゴー","スチュアート ギルクリスト，デリク, Stewart Gilchrist Derek, スチュアート ギルクリスト，デリク, リンジー ミラー，ニール, Lindsay Millar Neal, リンジー ミラー，ニール",2014-01-14,2019-10-17,2020-05-14,,https://patents.google.com/patent/JP2020073480A/en,https://patentimages.storage.googleapis.com/c9/34/31/f650b536d3b466/2020073480-5.png
JP-2012187120-A,Material and method relating to cell-based therapy ,"Univ Court Of The Univ Of Glasgow, ザ・ユニヴァーシティ・コート・オブ・ザ・ユニヴァーシティ・オブ・グラスゴー","Paul G Shiels, ポール・ジー・シールズ, R Wayne Davies, アール・ウェイン・デイヴィース",2005-05-13,2012-06-20,2012-10-04,,https://patents.google.com/patent/JP2012187120A/en,
GB-201814688-D0,Single photon avaalanche detector method for use therof and method for it's manufacture ,"Univ Court Univ Of Glasgow, Univ Heriot Watt",,2018-09-10,2018-09-10,2018-10-24,,https://patents.google.com/patent/GB201814688D0/en,
CN-110945015-A,MECP 2-based therapies ,"爱丁堡大学董事会, 格拉斯哥大学理事会","艾德里安·伯德, 丽贝卡·蒂洛森, 斯图亚特·罗伯特·科布, 拉尔夫·大卫·赫克特",2017-03-24,2018-03-23,2020-03-31,,https://patents.google.com/patent/CN110945015A/en,https://patentimages.storage.googleapis.com/8f/c5/fd/884de948bf2bbf/HDA0002284620610000021.png
US-2013047728-A1,Apparatus and method for the manipulation of objects using ultrasound ,"University Of Dundee, University Of Southampton, University Of Glasgow, University Of Bristol","Sandy Cochran, Bruce Drinkwater, Martyn Hill, David CUMMING",2009-09-21,2010-09-21,2013-02-28,,https://patents.google.com/patent/US20130047728A1/en,https://patentimages.storage.googleapis.com/21/ea/6e/ef5f91d35e0922/US20130047728A1-20130228-D00000.png
GB-201320636-D0,Compounds ,"Medical Res Council, Univ Otago, Univ Glasgow",,2013-11-22,2013-11-22,2014-01-08,,https://patents.google.com/patent/GB201320636D0/en,
GB-201810944-D0,Machine learning ,Univ Court Univ Of Glasgow,,2018-07-04,2018-07-04,2018-08-15,,https://patents.google.com/patent/GB201810944D0/en,
GB-201702724-D0,Sensor and devices incorporating sensors ,Univ Court Univ Of Glasgow,,2017-02-20,2017-02-20,2017-04-05,,https://patents.google.com/patent/GB201702724D0/en,
CA-3090334-A1,Method and system for nonlinear optical process optimization via temporal pulse splitting ,"The University Of Sussex, The University Court Of The University Of Glasgow, Institut National De La Recherche Scientifique, Benjamin WETZEL, Michael Kues, Christian REIMER, Robin HELSTEN, Piotr ROZTOCKI, Yoann JESTIN, Roberto Morandotti","Benjamin WETZEL, Michael Kues, Christian REIMER, Robin HELSTEN, Piotr ROZTOCKI, Yoann JESTIN, Roberto Morandotti",2018-02-05,2019-02-05,2019-08-08,,https://patents.google.com/patent/CA3090334A1/en,
GB-201819928-D0,Method for generating persulfate ,Univ Court Univ Of Glasgow,,2018-12-06,2018-12-06,2019-01-23,,https://patents.google.com/patent/GB201819928D0/en,
EP-2440890-A2,Measurement of mass flow ,University Court of Glasgow Caledonian University,"John R. Pugh, Donald Mcglinchey, Elizabeth A. Knight, Paul Mckenna, Yingna Zheng, Qiang Liu",2009-06-11,2010-06-11,2012-04-18,,https://patents.google.com/patent/EP2440890A2/en,
EP-2723409-A2,Polymeric materials ,"Invibio Limited, The University Court Of The University Of Glasgow","Nuno Sereno, Vaughn WILLIAMS, Marcus Jarman-Smith, Nikolaj Gadegaard",2011-06-24,2012-06-21,2014-04-30,,https://patents.google.com/patent/EP2723409A2/en,
AU-2016235036-A1,Reassortant btv and ahsv vaccines ,"Merial, Inc., The University Court Of The University Of Glasgow","Jean-Christophe Audonnet, Pascal HUDELET, Sandro Filipe Nunes, Massimo Palmarini",2012-06-13,2016-10-03,2016-10-27,,https://patents.google.com/patent/AU2016235036A1/en,
US-2013280219-A1,Materials and methods relating to cell based therapies ,The University Court Of The University Of Glasgow,Paul Shiels,2008-05-09,2013-05-21,2013-10-24,,https://patents.google.com/patent/US20130280219A1/en,https://patentimages.storage.googleapis.com/8b/5e/c2/2ce8e27a01ebc9/US20130280219A1-20131024-D00001.png
US-2022184067-A1,Microvascular angina ,"The University Court Of The University Of Glasgow, Cambridge Enterprise Limited","Colin Berry, Thomas J. Ford, DAVENPORT Anthony P",2019-02-12,2020-02-12,2022-06-16,,https://patents.google.com/patent/US20220184067A1/en,https://patentimages.storage.googleapis.com/ad/a0/d9/dead7e6fac7228/US20220184067A1-20220616-D00000.png
US-10258987-B2,Fluid infection using acoustic waves ,"President And Fellows Of Harvard College, The University Court Of The University Of Glasgow","David A. Weitz, Thomas Franke",2014-06-26,2015-06-25,2019-04-16,2019-04-16,https://patents.google.com/patent/US10258987B2/en,https://patentimages.storage.googleapis.com/81/64/69/73b51ad9b3256a/US10258987-20190416-D00000.png
CA-2959203-A1,Measurement of acceleration ,"The University Court Of The University Of Glasgow, Paul CAMPSIE, Giles Dominic HAMMOND, Richard Paul MIDDLEMISS, Douglas John PAUL, Antonio SAMARELLI","Paul CAMPSIE, Giles Dominic HAMMOND, Richard Paul MIDDLEMISS, Douglas John PAUL, Antonio SAMARELLI",2014-08-26,2015-08-26,2016-03-03,,https://patents.google.com/patent/CA2959203A1/en,
AU-2015345130-B2,Nebulisation of liquids ,The University Court Of The University Of Glasgow,"Jonathan Cooper, Julien Reboud, Robert Wilson",2014-11-11,2015-11-11,2020-03-05,2020-03-05,https://patents.google.com/patent/AU2015345130B2/en,
EP-2712465-A2,Sample nebulization ,The University Court Of The University Of Glasgow,"Julien Reboud, Robert Wilson, Jonathan Cooper",2011-05-19,2012-05-18,2014-04-02,,https://patents.google.com/patent/EP2712465A2/en,
ES-2647413-T3,Colicins to treat bacterial infections ,The University Court Of The University Of Glasgow,"Daniel Walker, Karen Smith",2012-07-13,2013-07-12,2017-12-21,2017-12-21,https://patents.google.com/patent/ES2647413T3/en,
US-11556831-B2,Method and system for generation and control of high-dimensional multi-partite quantum states ,"Institut National De La Recherche Scientifique, The University Court Of The University Of Glasgow","Michael Kues, Christian Reimer, Stefania Sciara, Piotr Roztocki, Luis ROMERO CORTES, José AZAÑA, Yoann JESTIN, Roberto Morandotti",2017-11-29,2018-11-28,2023-01-17,2023-01-17,https://patents.google.com/patent/US11556831B2/en,https://patentimages.storage.googleapis.com/26/7d/bf/2b1db9ce723dd6/US11556831-20230117-D00000.png
US-2019390250-A1,Fragmentation of chains of nucleic acids ,The University Court Of The University Of Glasgow,"Robert Wilson, Jonathan M. Cooper, Julien Reboud",2016-10-10,2017-10-10,2019-12-26,,https://patents.google.com/patent/US20190390250A1/en,https://patentimages.storage.googleapis.com/83/ed/ee/50127b1a94db81/US20190390250A1-20191226-D00000.png
US-10768175-B2,"Plasmonic device, method of manufacturing a plasmonic device and method of analysis using a plasmonic device ",The Univ. Court Of The Univ. Of Glasgow,"Nikolaj Holledig GADEGAARD, Affar Shahid KARIMULLAH, Malcolm KADODWALA",2016-06-23,2017-06-22,2020-09-08,2020-09-08,https://patents.google.com/patent/US10768175B2/en,https://patentimages.storage.googleapis.com/76/e0/6f/2986b589da0cc2/US10768175-20200908-D00000.png
DK-201770576-A1,Method for determining pathological tissue damage and diagnosing infectious disease in fish ,"Biomar Group As, Marine Harvest (Scotland) Ltd, Univ Glasgow Court","Peter David Eckersall, Mark James Thomas Braceland, David John Cockerill, John William Tinsley, Ralph Anthony Bickerdike",2014-12-22,2017-07-17,2017-07-24,,https://patents.google.com/patent/DK201770576A1/en,
WO-2016001686-A1,SUCCINATE DEHYDROGENASE INHIBITORS (SDHi's) ,"Medical Research Council, The University Court Of The University Of Glasgow","Edward CHOUCHANI, Thomas Krieg, Kourosh SAEB-PARSY, Michael Patrick Murphy, Lorraine WORK, Christian Frezza",2014-07-03,2015-07-03,2016-01-07,,https://patents.google.com/patent/WO2016001686A1/en,
CO-6870004-A2,Methods of modulating a microarn in the treatment of pulmonary arterial hypertension ,"Univ Court Of The University Os Glasgow, Cambridge Entpr Ltd","Andrew Baker, Margaret Maclean, Nicholas Morrell",2011-05-09,2013-11-14,2014-02-20,,https://patents.google.com/patent/CO6870004A2/en,
IL-203479-A,Isolated nucleic acid sequence which is complementary to a nucleic acid sequence encoding a mutant pneumolysim (ply) protein ,"Univ Glasgow, Lea Ann Kirkham, Timothy John Mitchell",,2004-05-07,2010-01-24,2013-04-30,,https://patents.google.com/patent/IL203479A/en,
US-9922713-B2,Memory device ,The University Court Of The University Of Glasgow,"Leroy Cronin, Asen Asenov",2013-10-31,2014-10-30,2018-03-20,2018-03-20,https://patents.google.com/patent/US9922713B2/en,https://patentimages.storage.googleapis.com/47/4f/f5/4ec43dcd641a4b/US09922713-20180320-D00000.png
US-10128095-B2,Methods and systems of treating a particle beam and performing mass spectroscopy ,University Court Of University Of Glasgow,"Stewart Freeman, Richard Shanks",2014-06-26,2015-06-26,2018-11-13,2018-11-13,https://patents.google.com/patent/US10128095B2/en,https://patentimages.storage.googleapis.com/43/8d/cb/4830856acb546b/US10128095-20181113-D00000.png
US-2018037903-A1,Methods and means for increasing stress tolerance and biomass in plants ,"The University Court Of The University Of Glasgow, Bayer Cropscience Lp","Anna AMTMANN, Matthew Hannah, Veronique Gossele, Manuel LOPEZ-VERNAZA, Giorgio PERRELLA, Christoph VERDUYN",2013-01-29,2017-10-20,2018-02-08,,https://patents.google.com/patent/US20180037903A1/en,https://patentimages.storage.googleapis.com/fc/f4/e9/e88f8fd83e9d23/US20180037903A1-20180208-D00001.png
GB-2502007-A,Assay assembly and method ,"Univ Glasgow, Univ Edinburgh","Ekaterina Olegovna Mckenna, Yifan Li, Andrew Robert Pitt, Anthony John Walton, William Parkes",2010-12-03,2011-12-02,2013-11-13,,https://patents.google.com/patent/GB2502007A/en,
WO-2015025180-A1,Cholesterol modulation ,Glasgow Caledonian University,Annette GRAHAM,2013-08-23,2014-08-22,2015-02-26,,https://patents.google.com/patent/WO2015025180A1/en,
