search URL:,https://patents.google.com/?assignee=Univ+Leeds&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10009175-B2,Secure communication ,The University Of Leeds,"Benjamin Thomas Hornsby Varcoe, Matthew Christopher John Everitt",2012-05-23,2013-05-23,2018-06-26,2018-06-26,https://patents.google.com/patent/US10009175B2/en,https://patentimages.storage.googleapis.com/14/aa/a7/7ed79b3f825cd4/US10009175-20180626-D00000.png
AU-2016219702-B2,Composite bone implants ,University Of Leeds,"Hazel FERMOR, John Fisher, Jahid Hasan, Eileen Ingham, Gemma JONES",2012-09-04,2016-08-26,2017-03-09,2017-03-09,https://patents.google.com/patent/AU2016219702B2/en,
ES-2900616-T3,Data center networks based on passive optics ,Univ Leeds Innovations Ltd,"Jaafar Elmirghani, Taisir El-Gorashi, Ali Hammadi",2014-11-26,2015-11-26,2022-03-17,2022-03-17,https://patents.google.com/patent/ES2900616T3/en,
US-10732017-B2,"Tomography apparatus, multi-phase flow monitoring system, and corresponding methods ",University Of Leeds,"Mi Wang, Jiabin Jia, Yousef FARAJ, Qiang Wang",2014-09-15,2015-09-15,2020-08-04,2020-08-04,https://patents.google.com/patent/US10732017B2/en,https://patentimages.storage.googleapis.com/c4/92/19/f9a047baefe6fc/US10732017-20200804-D00000.png
US-10468009-B2,Ultrasound generation ,The University Of Leeds,"Steven Freear, David Matthew Joseph Cowell, Peter Raymond Smith",2012-12-19,2013-12-13,2019-11-05,2019-11-05,https://patents.google.com/patent/US10468009B2/en,https://patentimages.storage.googleapis.com/05/a2/70/0a0b16ab2577fc/US10468009-20191105-D00000.png
EP-2448545-B1,Catalysed dye systems ,The University Of Leeds,"Richard Simon Blackburn, Patrick Columba Mcgowan, Christopher Martin Pask, Christopher Mark Rayner",2009-07-02,2010-06-30,2016-09-07,2016-09-07,https://patents.google.com/patent/EP2448545B1/en,
US-9207198-B2,Electrical tomography apparatus and method and current driver ,The University Of Leeds,"Mi Wang, Jiabin Jia",2009-06-22,2010-06-22,2015-12-08,2015-12-08,https://patents.google.com/patent/US9207198B2/en,https://patentimages.storage.googleapis.com/0b/42/e7/6d421d7ec99a87/US09207198-20151208-D00000.png
AU-2017206237-B2,Scaffold Proteins Derived From Plant Cystatins ,University Of Leeds,"Michael Mcpherson, Darren TOMLINSON",2013-02-14,2017-07-20,2019-09-12,2019-09-12,https://patents.google.com/patent/AU2017206237B2/en,
EP-2477597-B1,Natural hair dyes ,University Of Leeds,"Richard Simon Blackburn, Paul Martin Rose, Christopher Mark Rayner",2009-05-15,2010-05-14,2018-10-03,2018-10-03,https://patents.google.com/patent/EP2477597B1/en,
US-9560986-B2,Magnetometer for medical use ,University Of Leeds,Benjamin Thomas Hornsby Varcoe,2012-07-02,2013-07-01,2017-02-07,2017-02-07,https://patents.google.com/patent/US9560986B2/en,https://patentimages.storage.googleapis.com/5d/40/c0/81b9bc5d7e71bf/US09560986-20170207-D00000.png
