search URL:,https://patents.google.com/?assignee=Univ+Liverpool&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9180010-B2,Surface modified unit cell lattice structures for optimized secure freeform fabrication ,"Howmedica Osteonics Corp., The University Of Liverpool","Nicholas Nai Guang Dong, Matthew P. Poggie, Robert W. Klein, Eric Jones, Christopher J. Sutcliffe, Joe Robinson, Dan Jones, Lewis Mullen, Robin Stamp",2012-04-06,2012-09-14,2015-11-10,2015-11-10,https://patents.google.com/patent/US9180010B2/en,https://patentimages.storage.googleapis.com/e7/a5/85/da8384e6f64bcc/US09180010-20151110-D00000.png
US-9981243-B2,Metal-organic frameworks ,The University Of Liverpool,"Matthew J. Rosseinsky, Catherine G. Perkins, John Edward Warren, Kim Elizabeth Jelfs, Paul Boldrin",2012-09-03,2017-08-02,2018-05-29,2018-05-29,https://patents.google.com/patent/US9981243B2/en,https://patentimages.storage.googleapis.com/0f/69/87/7118657c4b3783/US09981243-20180529-D00001.png
US-9309364-B2,"Microporous polymers, methods for the preparation thereof, and uses thereof ",The University Of Liverpool,"Andrew Cooper, Jiaxing Jiang, Neil Campbell, Fabing Su, Abbie Trewin",2007-08-15,2014-03-07,2016-04-12,2016-04-12,https://patents.google.com/patent/US9309364B2/en,https://patentimages.storage.googleapis.com/a2/eb/8d/925f72d0b3c297/US09309364-20160412-D00001.png
US-10561609-B2,Antiviral compositions ,The University Of Liverpool,"Alison J. Foster, James Long, Steven P. Rannard, Dong Wang, David J. Duncalf, Andrew Owen",2010-04-12,2017-10-10,2020-02-18,2020-02-18,https://patents.google.com/patent/US10561609B2/en,https://patentimages.storage.googleapis.com/34/32/67/cad295829dfe40/US10561609-20200218-D00001.png
US-2020306048-A1,Laser-Produced Porous Surface ,"Howmedica Osteonics Corp., The University Of Liverpool","Eric Jones, Christopher J. Sutcliffe, Robin Stamp",2005-12-06,2020-06-12,2020-10-01,,https://patents.google.com/patent/US20200306048A1/en,https://patentimages.storage.googleapis.com/20/fb/cd/003c6df834571b/US20200306048A1-20201001-D00000.png
US-9135374-B2,Surface modified unit cell lattice structures for optimized secure freeform fabrication ,"Howmedica Osteonics Corp., The University Of Liverpool","Eric Jones, Christopher J. Sutcliffe, Joe Robinson, Dan Jones, Lewis Mullen",2012-04-06,2012-04-06,2015-09-15,2015-09-15,https://patents.google.com/patent/US9135374B2/en,https://patentimages.storage.googleapis.com/ed/f1/b6/b1e91a11f30be5/US09135374-20150915-D00000.png
US-9456901-B2,Laser-produced porous structure ,"Howmedica Osteonics Corp., The University Of Liverpool","Eric Jones, Christopher J. Sutcliffe, Robin Stamp",2004-12-30,2010-07-29,2016-10-04,2016-10-04,https://patents.google.com/patent/US9456901B2/en,https://patentimages.storage.googleapis.com/cb/aa/4c/5790e19073b305/US09456901-20161004-D00000.png
US-10181618-B2,Method of preparing a porous carbon material ,"Agency For Science, Technology And Research, The University Of Liverpool","Aled Deakin Roberts, Suxi Wang, Haifei Zhang, Xu Li",2014-07-29,2015-07-29,2019-01-15,2019-01-15,https://patents.google.com/patent/US10181618B2/en,https://patentimages.storage.googleapis.com/1b/05/36/b0a7ada868b395/US10181618-20190115-D00000.png
US-11532760-B2,Device for in-situ fabrication process monitoring and feedback control of an electron beam additive manufacturing process ,"Howmedica Osteonics Corp., The University Of Liverpool","Christopher J. Sutcliffe, Rebecca Helen GARRARD, Eric Jones, Lewis Mullen, Hay Wong",2017-05-22,2018-05-21,2022-12-20,2022-12-20,https://patents.google.com/patent/US11532760B2/en,https://patentimages.storage.googleapis.com/90/26/34/251253272c6051/US11532760-20221220-D00000.png
US-2021162731-A1,Laser-Produced Porous Surface ,"Howmedica Osteonics Corp., The University Of Liverpool","William O'Neill, Christopher J. Sutcliffe, Eric Jones, Robin Stamp",2002-11-08,2021-02-16,2021-06-03,,https://patents.google.com/patent/US20210162731A1/en,https://patentimages.storage.googleapis.com/06/c9/0d/7ee251c2c2092d/US20210162731A1-20210603-D00000.png
US-10689297-B2,Multiferroic materials ,The University Of Liverpool,"Matthew J. Rosseinsky, Pranab Mandal, Jonathan Alaria, John Claridge, Michael Pitcher",2015-03-16,2016-03-16,2020-06-23,2020-06-23,https://patents.google.com/patent/US10689297B2/en,https://patentimages.storage.googleapis.com/ce/cc/48/52913e60f24bec/US10689297-20200623-D00001.png
US-2017240422-A1,Two-dimensional carbon nitride material and method of preparation ,The University Of Liverpool,"Andrew I. Cooper, Michael J. BOJDYS",2014-08-21,2014-08-21,2017-08-24,,https://patents.google.com/patent/US20170240422A1/en,https://patentimages.storage.googleapis.com/d6/41/be/4f5d764c539643/US20170240422A1-20170824-D00000.png
US-11518760-B2,"Anti-Wolbachia pyrido[2,3-d]pyrimidine compounds ","Liverpool School Of Tropical Medicine, The University Of Liverpool, Eisai R&D Management Co., Ltd.","Stephen A. Ward, Mark J. Taylor, Paul M. O'Neill, Weiqian David Hong, Farid Benayoud",2017-01-17,2018-01-17,2022-12-06,2022-12-06,https://patents.google.com/patent/US11518760B2/en,
CN-106485215-A,Face occlusion detection method based on depth convolutional neural networks ,西交利物浦大学,"张百灵, 夏翌彰, 钱荣强, 颜诗洋",2016-09-29,2016-09-29,2017-03-08,,https://patents.google.com/patent/CN106485215A/en,
US-2013135314-A1,Analysis method ,Liverpool John Moores University,"John Haggerty, David Lamb",2009-09-10,2010-09-08,2013-05-30,,https://patents.google.com/patent/US20130135314A1/en,https://patentimages.storage.googleapis.com/13/47/40/5282142e007735/US20130135314A1-20130530-D00000.png
US-9254183-B2,Dental implant ,The University Of Liverpool,"Lewis Mullen, Christopher Sutcliffe",2009-06-17,2010-06-09,2016-02-09,2016-02-09,https://patents.google.com/patent/US9254183B2/en,https://patentimages.storage.googleapis.com/17/87/cd/2cfe72029acb18/US09254183-20160209-D00000.png
US-10338010-B2,Methods and apparatuses for analysing fluid samples ,Liverpool John Moores University,"Ahmed Al-Shamma'a, Alex Mason, Olga Korostynska",2012-10-23,2019-01-14,2019-07-02,2019-07-02,https://patents.google.com/patent/US10338010B2/en,https://patentimages.storage.googleapis.com/58/4b/c0/7d70cadbe20032/US10338010-20190702-D00000.png
CN-107330451-A,Clothes attribute retrieval method based on depth convolutional neural networks ,西交利物浦大学,"张百灵, 夏翌彰, 武芳宇, 吕文进",2017-06-16,2017-06-16,2017-11-07,,https://patents.google.com/patent/CN107330451A/en,
CN-110997186-A,Additive manufacturing assembly and method ,利物浦大学,"凯特·布兰克, 保罗·R·乔克, 克里斯托弗·J·萨克利夫",2017-08-01,2018-08-01,2020-04-10,,https://patents.google.com/patent/CN110997186A/en,
AU-2017305636-A1,Analysing energy/utility usage ,Liverpool John Moores University,"Carl CHALMERS, Paul FERGUS, William Hurst, Michael Mackay",2016-08-01,2017-07-31,2019-03-07,,https://patents.google.com/patent/AU2017305636A1/en,
EP-3966180-A1,Biocement and self-healing bioconcrete compositions ,Liverpool John Moores University,"Ana Margarida Armada BRAS, Hazha Bushir MOHAMMED, Ismini NAKOUTI",2019-05-10,2020-05-06,2022-03-16,,https://patents.google.com/patent/EP3966180A1/en,
