search URL:,https://patents.google.com/?assignee=Univ+Manchester&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2018187262-A1,Method for diagnosing a neurodegenerative disease ,"The University Of Manchester, National Institute On Aging, University College Cardiff Consultants Limited, Vu University Medical Centre Amsterdam, Ucl Business Plc, Hospital District Of Helsinki And Uusimaa","Stuart Pickering-Brown, Bryan Traynor, Andrew B. Singleton, Huw Morris, Peter Heutink, John Hardy, Pentti Tienari",2011-08-31,2017-12-29,2018-07-05,,https://patents.google.com/patent/US20180187262A1/en,https://patentimages.storage.googleapis.com/50/40/bd/166ae9635db4cf/US20180187262A1-20180705-D00001.png
US-9486541-B2,Detecting and treating dementia ,"Mayo Foundation For Medical Education And Research, Vib Vzw, Universteit Antwerpen, The University Of British Columbia, The University Of Manchester","Michael L. Hutton, Matthew Charles Baker, Jennifer Mae Gass, Rosa Rademakers, Jason Eriksen, Stuart M. Pickering-Brown, Ian Reid Alexander Mackenzie, Howard Feldman, Samir Kumar-Singh, Christine Van Broeckhoven, Marc Cruts, Ashley Diane Cannon",2006-05-30,2013-07-01,2016-11-08,2016-11-08,https://patents.google.com/patent/US9486541B2/en,https://patentimages.storage.googleapis.com/a4/13/a0/fac8dc71bc7d25/US09486541-20161108-D00001.png
US-2018185476-A1,Methods and pharmaceutical compositions for inhibiting lymphocyte proliferation in a subject in need thereof ,"Inserm (Institut National De La Sante Et De La Recherche Medicale), Fondation Imagine, Universite Paris Descartes, Assistance Publique-Hopitaux De Paris (Aphp), The University Of Manchester","Sylvain LATOUR, Alain Fischer, Emmanuel Martin, Peter ARKWRIGHT",2013-04-18,2018-01-03,2018-07-05,,https://patents.google.com/patent/US20180185476A1/en,https://patentimages.storage.googleapis.com/98/32/7a/2151f4e1645d2e/US20180185476A1-20180705-D00001.png
US-9656872-B2,Production of graphene ,The University Of Manchester,"Robert Angus William Dryfe, Ian Anthony Kinloch",2011-03-10,2012-03-09,2017-05-23,2017-05-23,https://patents.google.com/patent/US9656872B2/en,https://patentimages.storage.googleapis.com/5d/36/5f/97c0fe70e6e820/US09656872-20170523-D00001.png
EP-2893491-B1,Image processing apparatus and method for fitting a deformable shape model to an image using random forest regression voting ,The University of Manchester,"Timothy COOTES, Claudia LINDNER, Mircea Ionita",2012-09-06,2013-09-03,2016-05-18,2016-05-18,https://patents.google.com/patent/EP2893491B1/en,https://patentimages.storage.googleapis.com/a8/f5/48/beeea1daa7a940/imgf0001.png
CA-2961293-C,"Proton conducting membrane comprising monolithic 2d material and ionomer, a process for preparing same and use of same in fuel cell and hydrogen gas sensor ","The University Of Manchester, Marcelo LOZADA, Andre K. Geim","Marcelo LOZADA, Andre K. Geim",2014-09-18,2015-09-15,2023-02-28,2023-02-28,https://patents.google.com/patent/CA2961293C/en,
US-9548364-B2,Structures and methods relating to graphene ,The University Of Manchester,"Andre Geim, Kostya Novoselov, Roman Gorbachev, Leonid Ponomarenko",2011-03-22,2012-03-22,2017-01-17,2017-01-17,https://patents.google.com/patent/US9548364B2/en,https://patentimages.storage.googleapis.com/f4/57/5b/99b8a266027ec3/US09548364-20170117-D00000.png
US-10144987-B2,Sensors ,The University Of Manchester,"Anthony Joseph Peyton, Wuliang Yin, Stephen John Dickinson",2011-04-27,2016-06-09,2018-12-04,2018-12-04,https://patents.google.com/patent/US10144987B2/en,https://patentimages.storage.googleapis.com/af/e4/a1/618624829388b9/US10144987-20181204-D00000.png
US-10421875-B2,Exfoliation ,The University Of Manchester,"Cinzia Casiraghi, Huafeng YANG",2014-01-31,2015-01-30,2019-09-24,2019-09-24,https://patents.google.com/patent/US10421875B2/en,https://patentimages.storage.googleapis.com/90/a8/f0/f2dc545787ad57/US10421875-20190924-D00000.png
EP-2580158-B1,Functionalised graphene ,The University Of Manchester,"Andre Geim, Rahul Raveendran-Nair, Kostya Novoselov",2010-06-10,2011-06-10,2018-09-19,2018-09-19,https://patents.google.com/patent/EP2580158B1/en,https://patentimages.storage.googleapis.com/46/7a/f4/39c37bf6c615ce/imgf0001.png
US-10583407-B2,Reduced graphene oxide barrier materials ,The University Of Manchester,"Rahul Raveendran-Nair, Yang Su, Andre Geim",2014-03-28,2015-03-26,2020-03-10,2020-03-10,https://patents.google.com/patent/US10583407B2/en,https://patentimages.storage.googleapis.com/30/75/6d/d5c3674ba1a488/US10583407-20200310-D00000.png
US-9318591-B2,Transistor device and materials for making ,The University Of Manchester,"Andre Geim, Konstantin Novoselov, Roman Gorbachev, Leonid Ponomarenko, Liam Britnell",2011-03-22,2012-03-22,2016-04-19,2016-04-19,https://patents.google.com/patent/US9318591B2/en,https://patentimages.storage.googleapis.com/cc/00/d8/4fad0fb793fc2a/US09318591-20160419-D00000.png
AU-2014351617-B2,Water purification ,The University Of Manchester,"Andre Geim, Rakesh K. JOSHI, Rahul Raveendran-Nair",2013-11-21,2014-11-20,2019-01-31,2019-01-31,https://patents.google.com/patent/AU2014351617B2/en,
US-10950774-B2,Thermoelectric materials and devices comprising graphene ,The University Of Manchester,"Robert FREER, Colin Norman, Yue Lin, Deepanshu SRIVASTAVA, Ian Kinloch",2013-02-14,2014-02-14,2021-03-16,2021-03-16,https://patents.google.com/patent/US10950774B2/en,https://patentimages.storage.googleapis.com/0a/fb/bc/0e4f824893846d/US10950774-20210316-D00000.png
US-9506156-B2,Production of graphene ,The University Of Manchester,"Robert Angus William Dryfe, Ian Anthony Kinloch, Amr M. Abdelkader",2012-03-09,2013-03-08,2016-11-29,2016-11-29,https://patents.google.com/patent/US9506156B2/en,https://patentimages.storage.googleapis.com/c8/1a/35/a64ea89f31f9b4/US09506156-20161129-D00001.png
US-9844758-B2,Separation of water using a membrane ,The University Of Manchester,"Rahul Nair, Peter Budd, Andre Geim",2012-08-15,2013-08-14,2017-12-19,2017-12-19,https://patents.google.com/patent/US9844758B2/en,https://patentimages.storage.googleapis.com/c6/07/5e/c7af11e618ba9b/US09844758-20171219-D00000.png
US-11583930-B2,Apparatus for and process of additive manufacturing ,The University Of Manchester,"Li Lin, Wei Chao, Zhang Xiaoji",2017-04-26,2018-04-26,2023-02-21,2023-02-21,https://patents.google.com/patent/US11583930B2/en,https://patentimages.storage.googleapis.com/08/ed/df/30ffc2e0084836/US11583930-20230221-D00013.png
EP-3071520-B1,Production of graphene oxide ,The University Of Manchester,"Amr ABDELKADER, Ian Kinloch, Robert DRYFE",2013-11-20,2014-11-20,2019-12-25,2019-12-25,https://patents.google.com/patent/EP3071520B1/en,https://patentimages.storage.googleapis.com/e4/12/a8/fe2c6b71b32a2a/imgf0001.png
US-10926228-B2,Graphene membrane ,The University Of Manchester,"Marcelo LOZADA, Andre K. GEIM",2015-07-28,2016-07-26,2021-02-23,2021-02-23,https://patents.google.com/patent/US10926228B2/en,https://patentimages.storage.googleapis.com/07/11/fa/ee08b6c512db23/US10926228-20210223-D00000.png
US-2017179314-A1,Photovoltaic cells ,The University Of Manchester,"Konstantin Novoselov, Liam Britnell",2012-03-22,2016-12-02,2017-06-22,,https://patents.google.com/patent/US20170179314A1/en,https://patentimages.storage.googleapis.com/8f/8d/d7/cd6d29310f603d/US20170179314A1-20170622-D00000.png
US-10459128-B2,Liquid crystal device and method of manufacture ,The University Of Manchester,"Harry Edward Milton, Sarabjot Kaur, John Clifford Jones, Helen Frances Gleeson, Philip Bruce Morgan, John Clamp",2013-08-01,2014-07-30,2019-10-29,2019-10-29,https://patents.google.com/patent/US10459128B2/en,https://patentimages.storage.googleapis.com/c8/1a/d4/10ceda59ad4e79/US10459128-20191029-D00000.png
EP-3414646-B1,Improvements in image formation ,The University of Manchester,"Robert James LUCAS, Annette Elizabeth ALLEN",2016-02-09,2017-02-09,2022-04-06,2022-04-06,https://patents.google.com/patent/EP3414646B1/en,https://patentimages.storage.googleapis.com/e2/e8/f4/5334e609bd9217/imgf0001.png
EP-3030693-B1,Production of graphene and graphane ,The University Of Manchester,"Robert Angus William DRYFE, Ian Anthony Kinloch, Amr M. ABDELKADER",2013-08-06,2014-08-06,2020-05-13,2020-05-13,https://patents.google.com/patent/EP3030693B1/en,https://patentimages.storage.googleapis.com/c3/03/70/b345d917653625/imgf0001.png
US-2018251377-A1,Aerogels ,The University Of Manchester,"Brian Derby, Ian Kinloch, Mark BISSETT, Gabriel CASANO CARNICER, Yue Lin",2015-10-08,2016-10-07,2018-09-06,,https://patents.google.com/patent/US20180251377A1/en,https://patentimages.storage.googleapis.com/f9/78/e1/4efb8b21cf9c5c/US20180251377A1-20180906-D00000.png
EP-2526050-B1,Graphene polymer composite ,The University Of Manchester,"Ian Anthony Kinloch, Robert Joseph Young, Konstantin Sergeevich Novoselov",2010-01-18,2011-01-18,2014-10-01,2014-10-01,https://patents.google.com/patent/EP2526050B1/en,https://patentimages.storage.googleapis.com/dd/d0/1c/1079f56141d2ac/imgf0001.png
US-8056732-B2,Microporous polymer material ,The University Of Manchester,"Neil B. McKeown, Peter M. Budd, Kadhum Msayib, Bader Ghanem",2003-07-26,2010-02-19,2011-11-15,2011-11-15,https://patents.google.com/patent/US8056732B2/en,https://patentimages.storage.googleapis.com/fb/41/e2/df33aa8b919cb6/US08056732-20111115-D00000.png
EP-2846896-B1,Metal-organic frameworks (mof) for gas capture ,The University of Manchester,"Martin Schroder, Sihai Yang",2012-03-27,2013-03-27,2019-04-24,2019-04-24,https://patents.google.com/patent/EP2846896B1/en,https://patentimages.storage.googleapis.com/0d/d5/3b/c8774915e83f66/imgf0001.png
US-10092645-B2,Methods of treatment with antagonists against PD-1 and PD-L1 in combination with radiation therapy ,Medimmune Limited,"Ross STEWART, Michelle Morrow, Robert Wilkinson, Edmund Poon, Simon Dovedi, Tim Illidge",2014-06-17,2015-06-16,2018-10-09,2018-10-09,https://patents.google.com/patent/US10092645B2/en,https://patentimages.storage.googleapis.com/59/d9/25/e416ac33bc9f8b/US10092645-20181009-D00001.png
CA-2908812-C,Probiotic bacteria ,"The University Of Manchester, Catherine O'neill, Andrew McBAIN, Skinbiotix Limited, Skinbiotherapeutics Plc","Catherine O'neill, Andrew McBAIN",2012-04-13,2013-03-15,2022-04-12,2022-04-12,https://patents.google.com/patent/CA2908812C/en,
US-10345490-B2,Plasmonic structures and devices ,The University Of Manchester,"Andre Konstantin Geim, Vasyl Grigorievich Kravets, Alexander Nikolaevich Grigorenko",2014-05-16,2015-05-14,2019-07-09,2019-07-09,https://patents.google.com/patent/US10345490B2/en,https://patentimages.storage.googleapis.com/53/c8/c3/d2902ef8dbad09/US10345490-20190709-D00000.png
US-9592042-B2,Surgical device and methods ,Central Manchester University Hospitals Nhs Foundation Trust,Augustine Titus,2010-04-13,2011-04-08,2017-03-14,2017-03-14,https://patents.google.com/patent/US9592042B2/en,https://patentimages.storage.googleapis.com/87/7b/fc/1f45d4e8ee95ed/US09592042-20170314-D00000.png
AU-2014351619-B2,Osmosis ,The University Of Manchester,"Andre Geim, Rakesh K. JOSHI, Rahul Raveendran-Nair",2013-11-21,2014-11-20,2019-01-17,2019-01-17,https://patents.google.com/patent/AU2014351619B2/en,
US-8612188-B2,Wave modelling ,The University Of Manchester,Fumie Costen,2010-07-12,2011-07-11,2013-12-17,2013-12-17,https://patents.google.com/patent/US8612188B2/en,https://patentimages.storage.googleapis.com/b9/05/8b/2f51677b10896e/US08612188-20131217-D00000.png
US-9598798-B2,Method and apparatus for weaving a three-dimensional fabric ,The Universtiy Of Manchester,"Prasad Potluri, Dhavalsinh Jetavat, Sandeep Sharma",2012-05-30,2013-05-30,2017-03-21,2017-03-21,https://patents.google.com/patent/US9598798B2/en,https://patentimages.storage.googleapis.com/19/af/5a/6edd149777a95f/US09598798-20170321-D00000.png
EP-2707487-B1,Riboswitches ,The University Of Manchester,"Neil Dixon, Jason Micklefield",2011-05-10,2012-05-10,2017-10-04,2017-10-04,https://patents.google.com/patent/EP2707487B1/en,https://patentimages.storage.googleapis.com/9a/2f/41/6c3236a5779827/imgf0001.png
US-10251884-B2,Treatment of cancer and benign proliferative disorders ,The University Of Manchester,"Ian Hampson, Lynne Hampson",2013-10-23,2017-09-05,2019-04-09,2019-04-09,https://patents.google.com/patent/US10251884B2/en,https://patentimages.storage.googleapis.com/b3/04/33/d0e8f035b6edd7/US10251884-20190409-D00001.png
AU-2016222482-B2,Graphene Composites ,The University Of Manchester,"Lei Gong, Ian Kinloch, Robert Young",2012-01-31,2016-09-02,2017-10-26,2017-10-26,https://patents.google.com/patent/AU2016222482B2/en,
US-2021330812-A1,Treatment of retinal degeneration using gene therapy ,The University Of Manchester,"Robert Lucas, Paul Bishop, Jasmina Cehajic-Kapetanovic",2014-02-25,2021-01-19,2021-10-28,,https://patents.google.com/patent/US20210330812A1/en,https://patentimages.storage.googleapis.com/fc/64/35/4bd172be5a0f37/US20210330812A1-20211028-D00001.png
US-2018154316-A1,Water purification ,"The University Of Manchester, Bgt Materials Ltd","Rahul Raveendran NAIR, Vasu Siddeswara KALANGI",2015-05-28,2016-05-27,2018-06-07,,https://patents.google.com/patent/US20180154316A1/en,https://patentimages.storage.googleapis.com/f0/fb/27/1a229aeb1911ec/US20180154316A1-20180607-D00000.png
EP-2550496-B1,Refrigeration process ,The University Of Manchester,"Jin-Kuk Kim, Xuesong Zheng",2010-03-25,2011-03-25,2017-06-14,2017-06-14,https://patents.google.com/patent/EP2550496B1/en,https://patentimages.storage.googleapis.com/93/99/97/c479141e24e5d7/imgf0001.png
US-2017049549-A1,Textured surfaces for breast implants ,The University Of Manchester,"Ardeshir Bayat, Ernie Hill, Daniel Kyle, Antonios Oikonomou",2014-02-17,2015-02-16,2017-02-23,,https://patents.google.com/patent/US20170049549A1/en,https://patentimages.storage.googleapis.com/59/72/5c/0d58147cfe3992/US20170049549A1-20170223-D00000.png
US-2016299884-A1,Transforming natural language requirement descriptions into analysis models ,The University Of Manchester,"Erol-Valeriu CHIOASCA, Keletso Joel LETSHOLO, Liping Zhao",2013-11-11,2014-11-11,2016-10-13,,https://patents.google.com/patent/US20160299884A1/en,https://patentimages.storage.googleapis.com/34/f5/9c/f6e53096873498/US20160299884A1-20161013-D00000.png
EP-3384068-B1,Electrochemical exfoliation of 2d materials ,The University Of Manchester,"Ian Kinloch, Robert DRYFE, Amr ABDELKADER",2015-11-30,2016-11-30,2020-09-16,2020-09-16,https://patents.google.com/patent/EP3384068B1/en,https://patentimages.storage.googleapis.com/bd/41/e5/3f73c2ef937d6b/imgf0001.png
US-11598779-B2,Detection of cancer biomarkers using nanoparticles ,The University Of Manchester,"Kostas Kostarelos, Marilena Hadjidemetriou",2016-09-06,2017-09-06,2023-03-07,2023-03-07,https://patents.google.com/patent/US11598779B2/en,https://patentimages.storage.googleapis.com/07/8b/18/26d68925cbf85f/US11598779-20230307-D00006.png
US-8947312-B2,Wide band array antenna ,The University Of Manchester,"Anthony Keith Brown, Yongwei Zhang",2009-03-31,2010-03-31,2015-02-03,2015-02-03,https://patents.google.com/patent/US8947312B2/en,https://patentimages.storage.googleapis.com/91/7e/41/0f5cee5e562d2f/US08947312-20150203-D00000.png
US-9770529-B2,Tissue repair scaffold ,The University Of Manchester,"Sandra Downes, Lucy Ann Bosworth",2008-12-12,2011-06-13,2017-09-26,2017-09-26,https://patents.google.com/patent/US9770529B2/en,https://patentimages.storage.googleapis.com/cf/be/df/c10fd917651245/US09770529-20170926-D00000.png
US-2018258117-A1,2d materials ,The University Of Manchester,"Paul O'Brien, Nicky Savjani, John (Jack) R. Brent",2015-09-16,2016-09-15,2018-09-13,,https://patents.google.com/patent/US20180258117A1/en,https://patentimages.storage.googleapis.com/12/4c/f1/c572032f9e642b/US20180258117A1-20180913-D00000.png
US-11180367-B2,Thin film material transfer method ,The University Of Manchester,"Aravind Vijayaraghavan, Christian Berger",2017-03-28,2018-03-21,2021-11-23,2021-11-23,https://patents.google.com/patent/US11180367B2/en,https://patentimages.storage.googleapis.com/a8/2d/7b/9fdcc2cea7f7e4/US11180367-20211123-D00000.png
US-10961127-B2,1T-phase transition metal dichalcogenide nanosheets ,The University Of Manchester,"Robert Dryfe, Andinet Ejigu, Ian Kinloch",2017-01-23,2018-01-23,2021-03-30,2021-03-30,https://patents.google.com/patent/US10961127B2/en,https://patentimages.storage.googleapis.com/cd/96/73/548c02aed7cf64/US10961127-20210330-D00000.png
US-10173898-B2,Functionalized graphene ,"Christopher BLANFORD, Sabine Flintsch, Mirja WEHNER","Christopher BLANFORD, Mirja WEHNER, Sabine Flitsch",2014-05-09,2015-05-11,2019-01-08,2019-01-08,https://patents.google.com/patent/US10173898B2/en,https://patentimages.storage.googleapis.com/3e/10/22/198f5b9d5dc5d6/US10173898-20190108-D00000.png
CA-2827600-C,Microgel compositions ,"The University Of Manchester, Brian Saunders, Amir Hossein Milani, Ruixue Liu, Anthony Freemont, Gelexir Healthcare Limited, Gelmetix Limited","Brian Saunders, Amir Hossein Milani, Ruixue Liu, Anthony Freemont",2010-02-19,2011-02-18,2018-04-24,2018-04-24,https://patents.google.com/patent/CA2827600C/en,
US-2012256786-A1,Detection of Objects ,Manchester Metropolitan University,"Nicholas Bowring, David Andrews, Nacer Ddine Rezgui, Stuart Harmer",2009-09-17,2010-09-17,2012-10-11,,https://patents.google.com/patent/US20120256786A1/en,https://patentimages.storage.googleapis.com/b6/7c/cc/74970ce130ce52/US20120256786A1-20121011-D00000.png
US-2016115601-A1,Electrochemical process for production of graphene ,The University Of Manchester,"Robert Angus William Dryfe, Amr Mohamed Abdelkader, Matej Velicky, Briony Megan Setterfield-Price, Alexander Rakowski",2013-05-30,2014-05-30,2016-04-28,,https://patents.google.com/patent/US20160115601A1/en,https://patentimages.storage.googleapis.com/91/de/4f/79ed7dca96eb3c/US20160115601A1-20160428-D00000.png
CA-2771695-C,"Support towers, insulating cross-arms and insulating members for high voltage power networks ","The University Of Manchester, Ian Cotton, Simon M. Rowland, David Chambers, Nicholas Weatherby, Matthew Thorne, Md Nor Ramdon Bin Baharom, Epl Composite Solutions Limited, Arago Technology Limited, Hubbell Power Systems, Inc.","Ian Cotton, Simon M. Rowland, David Chambers, Nicholas Weatherby, Matthew Thorne, Md Nor Ramdon Bin Baharom",2009-08-21,2010-08-20,2016-11-01,2016-11-01,https://patents.google.com/patent/CA2771695C/en,
US-9101464-B2,Artificial eyes and manufacture thereof ,The Manchester Metropolitan University,"Lewis Green, Thomas George Fripp, Lesley Elizabeth Gill",2011-01-05,2012-01-05,2015-08-11,2015-08-11,https://patents.google.com/patent/US9101464B2/en,https://patentimages.storage.googleapis.com/f8/4a/57/7155b7e184ce49/US09101464-20150811-D00000.png
JP-2021006908-A,Electron beam resist composition ,"ザ・ユニバーシティ・オブ・マンチェスターＴｈｅ Ｕｎｉｖｅｒｓｉｔｙ Ｏｆ Ｍａｎｃｈｅｓｔｅｒ, Univ Of Manchester, ザ・ユニバーシティ・オブ・マンチェスター","ルイス，スコット, Lewis Scott, ウィンペニー，リチャード, Winpenny Richard, イェイツ，スティーヴン, Yeates Stephen",2014-08-06,2020-09-04,2021-01-21,,https://patents.google.com/patent/JP2021006908A/en,
JP-2021002045-A,Secondary electron generating composition ,"ザ・ユニバーシティ・オブ・マンチェスターＴｈｅ Ｕｎｉｖｅｒｓｉｔｙ Ｏｆ Ｍａｎｃｈｅｓｔｅｒ, Univ Of Manchester, ザ・ユニバーシティ・オブ・マンチェスター","ルイス，スコット, Lewis Scott, イェイツ，スティーヴン, Yeates Stephen, ウィンペニー，リチャード, Winpenny Richard",2014-03-25,2020-08-26,2021-01-07,,https://patents.google.com/patent/JP2021002045A/en,
EP-2533775-A1,Carbonic anhydrase inhibitors ,"Universita' Degli Studi di Firenze, Universitetet I Oslo, The University Of Manchester","Peter Ebbesen, Claudiu T. Supuran, Andrea Scozzafava, Erik Olai Pettersen, Kaye Williams, Ludwig Dubois, Philippe Lambin",2010-02-12,2011-02-14,2012-12-19,,https://patents.google.com/patent/EP2533775A1/en,
JP-2022184876-A,photoresist composition ,"ザ・ユニバーシティ・オブ・マンチェスター, Univ Of Manchester","レウィス スコット, Lewis Scott, ウィンペニー リチャード, Winpenny Richard, イェテス ステファン, Yeates Stephen, フェルナンデス アントニオ, Antonio Fernandez",2015-09-30,2022-09-06,2022-12-13,,https://patents.google.com/patent/JP2022184876A/en,https://patentimages.storage.googleapis.com/62/0b/79/784dbf3fd07cd8/2022184876000009.png
US-2013316404-A1,Covalently linked interleukin-10 ,"The University Of Manchester, Technische Universität Dresden","Axel Roers, Sebastian Lanvermann, Werner Müller",2010-11-26,2011-11-25,2013-11-28,,https://patents.google.com/patent/US20130316404A1/en,https://patentimages.storage.googleapis.com/d9/b7/50/c60d003bcd1b15/US20130316404A1-20131128-D00001.png
