search URL:,https://patents.google.com/?assignee=Univ+Nottingham&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2020139432-A1,Additive Manufacturing ,The University Of Nottingham,"Adam Clare, Andrew Kennedy",2013-09-16,2020-01-06,2020-05-07,,https://patents.google.com/patent/US20200139432A1/en,https://patentimages.storage.googleapis.com/f5/0b/bb/0710eb110185c7/US20200139432A1-20200507-D00001.png
AU-2015353618-B2,Methods for reactive three-dimensional printing by inkjet printing ,"Ppg Industries Ohio, Inc., The University Of Nottingham","David R. Fenn, Richard J.M. HAGUE, Yinfeng HE, Le MA, Kurt G. Olson, Reza M. ROCK, Christopher John TUCK, Ricky Darren WILDMAN",2014-11-24,2015-11-24,2018-03-29,2018-03-29,https://patents.google.com/patent/AU2015353618B2/en,
US-9593132-B2,Metal-organic frameworks (MOF) for gas capture ,The University Of Nottingham,"Martin Schroder, Sihai Yang",2012-03-27,2013-03-27,2017-03-14,2017-03-14,https://patents.google.com/patent/US9593132B2/en,https://patentimages.storage.googleapis.com/7e/a3/93/a2537e9b7419c4/US09593132-20170314-D00000.png
US-11269072-B2,Land deformation measurement ,The University Of Nottingham,Andrew Sowter,2017-06-15,2018-06-13,2022-03-08,2022-03-08,https://patents.google.com/patent/US11269072B2/en,https://patentimages.storage.googleapis.com/11/fe/37/b94286e54f7f8e/US11269072-20220308-D00000.png
US-11103150-B2,Photoplethysmography ,The University Of Nottingham,"John Crowe, Mark Grubb, Barrie Hayes-Gill, Nicolas Miles",2006-04-11,2014-05-14,2021-08-31,2021-08-31,https://patents.google.com/patent/US11103150B2/en,https://patentimages.storage.googleapis.com/e9/61/61/15f8e2197445a9/US11103150-20210831-D00000.png
US-10111995-B2,Electroactive actuators ,"The Nottingham Trent University, Nottingham University Hospitals Nhs Trust","Philip Breedon, Fergal Coulter, David Richens",2013-06-13,2014-06-12,2018-10-30,2018-10-30,https://patents.google.com/patent/US10111995B2/en,https://patentimages.storage.googleapis.com/ee/c9/6a/679622ff1f74d5/US10111995-20181030-D00000.png
US-2018185065-A1,Improvements relating to bone anchors ,"Nottingham University Hospitals Nhs Trust, The University Of Nottingham","Donal Stewart MCNALLY, Bronek Maximilian BOSZCZYK",2015-07-02,2016-06-30,2018-07-05,,https://patents.google.com/patent/US20180185065A1/en,https://patentimages.storage.googleapis.com/03/e2/9c/e1676d01f476e8/US20180185065A1-20180705-D00000.png
EP-2976001-B1,Measurement of tissue structures ,"The University of Nottingham, Royal Holloway University Of London","Ioan Notingher, Kenny Kong, Christopher ROWLANDS, Hywel Williams, Iain LEACH, Sandeep Varma, William Perkins, Alexey KOLOYDENKO",2013-03-21,2014-03-21,2020-11-11,2020-11-11,https://patents.google.com/patent/EP2976001B1/en,https://patentimages.storage.googleapis.com/c2/ba/36/83ffd94cfeeb64/imgf0001.png
US-2017354813-A1,Medical devices and methods of making medical devices ,University Of Nottingham,Roger Bayston,2004-09-23,2017-06-23,2017-12-14,,https://patents.google.com/patent/US20170354813A1/en,https://patentimages.storage.googleapis.com/b9/d6/97/6629b55f9204d2/US20170354813A1-20171214-D00001.png
US-2018296733-A1,Novel Polymers Which Resist Bacterial Attachment ,"The University Of Nottingham, Massachusetts Institute Of Technology","Paul Williams, Morgan Russell Alexander, Martyn Christopher Davies, Robert Langer, Daniel Griffith Anderson",2011-05-04,2018-05-24,2018-10-18,,https://patents.google.com/patent/US20180296733A1/en,https://patentimages.storage.googleapis.com/0b/28/72/3f892259e3781f/US20180296733A1-20181018-D00001.png
