search URL:,https://patents.google.com/?assignee=Univ+Oxford&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-2022140595-A,Optoelectronic devices with organometal perovskites with mixed anions ,"オックスフォード ユニヴァーシティ イノヴェーション リミテッド, Oxford Univ Innovation Ltd","スネイス、ヘンリー, Snaith Henry, リー、マイケル, Michael Lee, 拓郎 村上, Takuo Murakami",2012-05-18,2022-07-29,2022-09-26,,https://patents.google.com/patent/JP2022140595A/en,https://patentimages.storage.googleapis.com/e2/3d/19/a1005102cb6beb/2022140595000004.png
JP-2019091908-A,Photovoltaic device comprising metal halide perovskite and passivating agent ,"オックスフォード ユニヴァーシティ イノヴェーション リミテッド, Oxford Univ Innovation Ltd, オックスフォード  ユニヴァーシティ  イノヴェーション  リミテッド","ジェイ． スナイス，ヘンリー, J Snaith Henry, ジェイ． スナイス，ヘンリー, アバテ，アントニオ, Abate Antonio, ケー ノエル，ナキタ, K Noel Nakita, ケー ノエル，ナキタ",2013-12-17,2019-01-23,2019-06-13,,https://patents.google.com/patent/JP2019091908A/en,https://patentimages.storage.googleapis.com/c6/c8/a6/7d39c369571f4b/2019091908-13.png
JP-2020074485-A,Optoelectronic device ,"オックスフォード ユニヴァーシティ イノヴェーション リミテッド, Oxford Univ Innovation Ltd, オックスフォード  ユニヴァーシティ  イノヴェーション  リミテッド","スナイス、ヘンリー、ジェイムズ, James Snaith Henry, クロスランド、エドワード、ジェイムズ、ウィリアム, James William Crossland Edward, ヘイ、アンドリュー, Hey Andrew, ボール、ジェイムズ, Ball James, リー、マイケル, Michael Lee, ドカンポ、パブロ, Docampo Pablo",2012-09-18,2020-02-10,2020-05-14,,https://patents.google.com/patent/JP2020074485A/en,
US-9089515-B2,Long chain N-alkyl compounds and oxa-derivatives thereof ,"Thomas Jefferson University, The Chancellor, Masters And Scholars Of The University Of Oxford, United Therapeutics Corporation","Nicole Zitzmann, Terry D. Butters, Frances M. Platt, Gary S. Jacob, Donald H. Picker, Sandra Carrouee, George W. J. Fleet, Raymond A. Dwek, David Durantel, Anand Mehta, Timothy M. Block",1999-08-10,2011-03-07,2015-07-28,2015-07-28,https://patents.google.com/patent/US9089515B2/en,https://patentimages.storage.googleapis.com/ab/5f/86/9c80048a590892/US09089515-20150728-D00001.png
JP-2020023503-A,Exosomes for delivery of biotherapeutics ,"オックスフォード ユニヴァーシティ イノヴェーション リミテッド, Oxford Univ Innovation Ltd, オックスフォード  ユニヴァーシティ  イノヴェーション  リミテッド","マシュー ウッド，, Wood Matthew, マシュー ウッド，, サミラ ラックハル−リトルトン，, Lakhal-Littleton Samira, サミラ ラックハル−リトルトン，, アンダローシ， サミル エル, El Andaloussi Samir, アンダローシ，  サミル エル",2011-12-07,2019-09-17,2020-02-13,,https://patents.google.com/patent/JP2020023503A/en,
US-9945950-B2,Method for localizing a vehicle equipped with two lidar systems ,Oxford University Innovation Limited,"Paul Michael Newman, Ian Alan Baldwin",2012-04-02,2013-04-02,2018-04-17,2018-04-17,https://patents.google.com/patent/US9945950B2/en,https://patentimages.storage.googleapis.com/8e/81/90/b4b17ccbe4cf55/US09945950-20180417-D00000.png
US-11534499-B2,Exosomes comprising therapeutic polypeptides ,"Evox Therapeutics Ltd., Oxford University Innovation Limited","Justin Hean, Imre Mager, Matthew Wood, Samir El Andaloussi, Oscar WIKLANDER, Joel NORDIN",2016-05-25,2017-05-25,2022-12-27,2022-12-27,https://patents.google.com/patent/US11534499B2/en,https://patentimages.storage.googleapis.com/69/17/39/f34d7b1ed0e536/US11534499-20221227-D00001.png
US-9170334-B2,Localising transportable apparatus ,The Chancellor Masters And Scholars Of The University Of Oxford,"Ian Alan Baldwin, Paul Michael Newman",2011-09-30,2012-09-26,2015-10-27,2015-10-27,https://patents.google.com/patent/US9170334B2/en,https://patentimages.storage.googleapis.com/33/4f/d0/44d6cb8906eb74/US09170334-20151027-D00000.png
US-9297899-B2,Determining extrinsic calibration parameters for a sensor ,The Chancellor Masters And Scholars Of The University Of Oxford,"Paul Michael Newman, William Paul Maddern, Alastair Robin Harrison, Mark Christopher Sheehan",2011-09-30,2012-09-27,2016-03-29,2016-03-29,https://patents.google.com/patent/US9297899B2/en,https://patentimages.storage.googleapis.com/b0/3f/46/16f93274b16e5a/US09297899-20160329-D00000.png
US-9546993-B2,Method of detecting objects ,Oxford University Innovation Limited,"Borivoj Vojnovic, Paul R. BARBER, Iestyn Pope, Paul James Smith, Rachel Jane Errington",2007-01-22,2015-11-13,2017-01-17,2017-01-17,https://patents.google.com/patent/US9546993B2/en,https://patentimages.storage.googleapis.com/04/fb/b4/302128c8838982/US09546993-20170117-D00000.png
