search URL:,https://patents.google.com/?assignee=Univ+Sheffield&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8432030-B2,Power electronic package having two substrates with multiple semiconductor chips and electronic components ,"Denso Corporation, University Of Cambridge, The University Of Sheffield","Rajesh Kumar Malhan, C Mark JOHNSON, Cyril Buttay, Jeremy Rashid, Florin Udrea",2006-08-29,2011-06-29,2013-04-30,2013-04-30,https://patents.google.com/patent/US8432030B2/en,https://patentimages.storage.googleapis.com/8e/52/84/628545dba833be/US08432030-20130430-D00000.png
US-9087889-B2,Semiconductor devices with 2DEG and 2DHG ,The University Of Sheffield,"Akira Nakajima, Sankara Narayanan Ekkanath Madathil",2010-07-28,2011-06-07,2015-07-21,2015-07-21,https://patents.google.com/patent/US9087889B2/en,https://patentimages.storage.googleapis.com/41/77/27/b836db5e78ea30/US09087889-20150721-D00000.png
EP-2587528-B1,Semiconductor device ,"The University Of Sheffield, Powdec K.k.","Akira Nakajima, Sankara Narayanan Ekkanath Madathil, Yasunobu Sumida, Hiroji Kawai",2010-06-24,2011-06-21,2016-03-30,2016-03-30,https://patents.google.com/patent/EP2587528B1/en,https://patentimages.storage.googleapis.com/e1/fa/d0/336f77cdcfa0f2/imgf0001.png
US-2018000822-A1,Use of RNAI Inhibiting PARP Activity for the Manufacture of a Medicament for the Treatment of Cancer ,The University Of Sheffield,Thomas Helleday,2003-07-25,2017-07-14,2018-01-04,,https://patents.google.com/patent/US20180000822A1/en,https://patentimages.storage.googleapis.com/94/25/df/c64def7432ad9e/US20180000822A1-20180104-D00001.png
US-10520446-B2,Polymer materials ,"Smith & Nephew Plc, University Of Sheffield","John Kenneth Hicks, Stephen Rimmer, Dorothy Mcculloch, Richard Hoskins",2014-07-10,2015-07-03,2019-12-31,2019-12-31,https://patents.google.com/patent/US10520446B2/en,https://patentimages.storage.googleapis.com/f5/fc/65/8e227ca5b82a4d/US10520446-20191231-D00001.png
US-2014283368-A1,Adaptive design of fixture for thin-walled shell/cylindrical components ,The University Of Sheffield,Zunmin Geng,2007-03-06,2014-03-24,2014-09-25,,https://patents.google.com/patent/US20140283368A1/en,https://patentimages.storage.googleapis.com/4b/e9/54/3fd7d983e3ed73/US20140283368A1-20140925-D00000.png
CA-2749020-C,"Plasma microreactor apparatus, sterilisation unit and analyser ","The University Of Sheffield, William Bauer Jay ZIMMERMAN, Jaime Humberto Lozano Parada, Perlemax Ltd","William Bauer Jay ZIMMERMAN, Jaime Humberto Lozano Parada",2009-01-06,2010-01-06,2019-06-25,2019-06-25,https://patents.google.com/patent/CA2749020C/en,
US-2011023611-A1,Self-healing composite material ,The University Of Sheffield,"Frank Jones, Simon A. Hayes",2004-01-09,2010-09-02,2011-02-03,,https://patents.google.com/patent/US20110023611A1/en,https://patentimages.storage.googleapis.com/f1/3a/6c/3ed16837b52e3c/US20110023611A1-20110203-D00001.png
US-9526815-B2,Composite hydrogel-clay particles ,Sheffield Hallam University,"Victoria L. Boyes, Chris Sammon, Christine Lemaitre, Chris Breen",2011-08-23,2012-08-21,2016-12-27,2016-12-27,https://patents.google.com/patent/US9526815B2/en,https://patentimages.storage.googleapis.com/c9/63/c0/50e2352c2bb066/US09526815-20161227-D00001.png
US-2017037259-A1,Electrically conducting pedot sol-gel derived coating ,Sheffield Hallam University,Heming Wang,2014-04-14,2015-04-14,2017-02-09,,https://patents.google.com/patent/US20170037259A1/en,https://patentimages.storage.googleapis.com/b8/a2/4b/bba05fe44ef58b/US20170037259A1-20170209-D00001.png
EP-3262835-B1,Image data compression and decompression using minimize size matrix algorithm ,Sheffield Hallam University,"Marcos Rodrigues, Mohammed SIDDEQ",2015-02-27,2016-02-26,2019-11-20,2019-11-20,https://patents.google.com/patent/EP3262835B1/en,https://patentimages.storage.googleapis.com/14/67/15/35e28779e88590/imgf0001.png
JP-2011224565-A,Recovering metals from soil ,"Usa Government, アメリカ合衆国, Univ Of Maryland, メリーランド大学, Univ Of Sheffield, シェッフィールド大学","Rufus L Chaney, チャニー，ルーフス，エル．, Jay Scott Angle, アンゴー，ジェイ，スコット, Yin-Ming Li, リー，イン−ミング, Alan J M Baker, ベイカー，アラン，ジェイ．，エム．",1998-11-10,2011-05-12,2011-11-10,,https://patents.google.com/patent/JP2011224565A/en,
GB-2516725-B,Neck Orthosis ,"Univ Sheffield, Univ Sheffield Hallam, Sheffield Teaching Hospitals","Alexander Heathcliff Reed, Joseph Langley, Andrew Stanton, Nicola Heron, Christopher Mcdermott",2013-05-09,2014-05-09,2015-10-28,2015-10-28,https://patents.google.com/patent/GB2516725B/en,
EP-2545090-B1,Raft aqueous polymerization of block polymers ,The University Of Sheffield,"Steven P. Armes, Yuting Li",2010-03-10,2011-03-08,2018-07-11,2018-07-11,https://patents.google.com/patent/EP2545090B1/en,https://patentimages.storage.googleapis.com/39/eb/26/fa7610f88a9ced/imgf0001.png
US-10986881-B2,Brassiere with inflatable bladder ,Sheffield Hallam University,"Andrew Lee STANTON, Alexander H. REED, Heidi PROBST",2016-06-21,2017-06-20,2021-04-27,2021-04-27,https://patents.google.com/patent/US10986881B2/en,https://patentimages.storage.googleapis.com/6f/20/ec/1eca218da54ea8/US10986881-20210427-D00000.png
JP-2012044991-A,Antigenic polypeptide ,"Univ Of Sheffield, ユニヴァーシティー  オヴ  シェフィールド, Biosynexus Inc, バイオシネクサス  インコーポレイテッド","Simon Foster, フォスター サイモン, Philip Mcdowell, マックドウェル フィリップ, Kirsty Brummell, ブラメル カースティー, Simon Clarke, クラーク サイモン",2000-06-20,2011-09-07,2012-03-08,,https://patents.google.com/patent/JP2012044991A/en,
WO-2012065117-A3,Oral cancer point of care diagnostics ,"William Marsh Rice University, University Of Texas Health Science Center, University Of Sheffield","John T. Mcdevitt, Pierre N. Floriano, Nicolaos Christodoulides, Martin Thornhill, Spencer Redding, Nadarajah Vigneswaran, Craig Murdoch, Paul Speight",2010-11-12,2011-11-11,2014-04-17,,https://patents.google.com/patent/WO2012065117A3/en,
JP-2021184755-A,Oncolytic herpes simplex virus-infected cells ,"ウイルツ・バイオロジクス・リミテッド, Virttu Biologics Ltd, ザ・ユニバーシティ・オブ・シェフィールド, Univ Of Sheffield","コナー ジョー, Conner Joe, マザナ ムニッタ, Muthana Munitta, ルイス クレア・エリザベス, Elizabeth Lewis Claire",2015-03-13,2021-08-31,2021-12-09,,https://patents.google.com/patent/JP2021184755A/en,https://patentimages.storage.googleapis.com/24/b5/f0/8a9b70e6dc5064/2021184755-12.png
US-9520230-B2,Production method of rare earth magnet ,"Toyota Jidosha Kabushiki Kaisha, Centre National De La Recherche Scientifique, Leibniz Institute For Solid State And Materials Research Dresden, University Of Sheffield","Noritsugu Sakuma, Hidefumi Kishimoto, Akira Kato, Tetsuya Shoji, Dominique Givord, Nora Dempsey, Thomas George Woodcock, Oliver Gutfleisch, Gino Hrkac, Thomas Schrefl",2010-10-25,2011-05-13,2016-12-13,2016-12-13,https://patents.google.com/patent/US9520230B2/en,https://patentimages.storage.googleapis.com/f4/a2/51/1036bb2bc46809/US09520230-20161213-D00000.png
CN-110612106-A,Wound healing medicine ,"谢菲尔德大学, 巴基斯坦信息技术学院","M·亚尔, S·麦克尼尔",2017-03-07,2018-03-07,2019-12-24,,https://patents.google.com/patent/CN110612106A/en,
