search URL:,https://patents.google.com/?assignee=Univ+Southampton&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-2020016891-A,Hollow-core optical fibers ,"ユニバーシティ、オブ、サウサンプトンＵｎｉｖｅｒｓｉｔｙ Ｏｆ Ｓｏｕｔｈａｍｐｔｏｎ, Univ Of Southampton, ユニバーシティ、オブ、サウサンプトン","ポレティ、フランチェスコ, Poletti Francesco, アボコハミス モウサヴィ、セイエドモハマド, Abokhamis Mousavi Seyedmohammad, アボコハミス モウサヴィ、セイエドモハマド",2014-06-06,2019-09-05,2020-01-30,,https://patents.google.com/patent/JP2020016891A/en,
US-9578440-B2,"Method for controlling a speaker array to provide spatialized, localized, and binaural virtual surround sound ","The Regents Of The University Of California, University Of Southampton","Peter Otto, Suketu Kamdar, Toshiro Yamada, Filippo M. Fazi",2010-11-15,2011-11-15,2017-02-21,2017-02-21,https://patents.google.com/patent/US9578440B2/en,https://patentimages.storage.googleapis.com/76/5d/e8/2478b0ebaa1e74/US09578440-20170221-D00000.png
US-9029823-B2,"Phase change memory devices and methods comprising gallium, lanthanide and chalcogenide compounds ",University Of South Hampton,"Daniel William Hewak, Richard J. Curry, Arshad Khawar Mairaj, Robert E. Simpson",2005-12-20,2013-12-03,2015-05-12,2015-05-12,https://patents.google.com/patent/US9029823B2/en,https://patentimages.storage.googleapis.com/28/0f/28/c9d1254472080b/US09029823-20150512-D00000.png
US-9547187-B2,Electro-optical device comprising a ridge waveguide and a PN junction and method of manufacturing said device ,University Of Southampton,"David Thomson, Frederic Gardes, Graham Reed",2010-01-22,2015-01-02,2017-01-17,2017-01-17,https://patents.google.com/patent/US9547187B2/en,https://patentimages.storage.googleapis.com/fe/d8/a3/506a2eefdd2a7d/US09547187-20170117-D00000.png
US-10642942-B2,Method of mapping images of human disease and of designing or selecting a medical device using a surrogate model ,Neil W. BRESSLOFF,Neil W. BRESSLOFF,2014-02-14,2015-02-13,2020-05-05,2020-05-05,https://patents.google.com/patent/US10642942B2/en,https://patentimages.storage.googleapis.com/fe/53/b4/1348814e697adf/US10642942-20200505-D00000.png
US-2021346498-A1,Combined use of fc gamma riib (cd32b) and cd20 specific antibodies ,University Of Southampton,"Mark Cragg, Martin Glennie, Ali Roghanian, Stephen Beers, Peter Johnson, Sean Lim, Björn Frendéus, Ingrid Teige",2010-08-20,2021-06-25,2021-11-11,,https://patents.google.com/patent/US20210346498A1/en,https://patentimages.storage.googleapis.com/8c/27/98/ad87c650b666a9/US20210346498A1-20211111-D00001.png
US-10538764-B2,Reducing intron retention ,University Of Southampton,"Igor Vorechovsky, Jana Kralovicova",2014-06-16,2017-06-12,2020-01-21,2020-01-21,https://patents.google.com/patent/US10538764B2/en,https://patentimages.storage.googleapis.com/06/60/bf/784b73e83b02a8/US10538764-20200121-D00001.png
US-11173230-B2,Polymer-clay composite and organoclay ,University Of Southampton,"Richard Oreffo, Jonathan Dawson, David Gibbs, Jons Hilborn, Dmitri Ossipov",2014-04-24,2019-02-12,2021-11-16,2021-11-16,https://patents.google.com/patent/US11173230B2/en,https://patentimages.storage.googleapis.com/65/98/d8/ed9bc3a23bfb25/US11173230-20211116-D00000.png
US-11059898-B2,Modified antibodies containing modified IGG2 domains which elicit agonist or antagonistic properties and use thereof ,Cancer Research Technology Limited,"Martin J. Glennie, Ann White",2014-03-24,2015-03-24,2021-07-13,2021-07-13,https://patents.google.com/patent/US11059898B2/en,https://patentimages.storage.googleapis.com/39/6d/23/885a235033fb65/US11059898-20210713-D00001.png
US-9700258-B2,Apparatus for sensing and measuring pressure and shear components of a force at an interface between two surfaces ,University Of Southampton,Liudi Jiang,2012-10-31,2013-10-31,2017-07-11,2017-07-11,https://patents.google.com/patent/US9700258B2/en,https://patentimages.storage.googleapis.com/dd/cf/94/7cc7c9934ad034/US09700258-20170711-D00000.png
US-11215751-B2,Antiresonant hollow core preforms and optical fibres and methods of fabrication ,University Of Southampton,"Francesco Poletti, Gregory Teofil JASION, Natalie WHEELER, Thomas David BRADLEY, Mubassira B Syed Nawazuddin, John Hayes",2017-09-13,2018-09-11,2022-01-04,2022-01-04,https://patents.google.com/patent/US11215751B2/en,https://patentimages.storage.googleapis.com/6a/03/82/722e808b40906b/US11215751-20220104-D00000.png
EP-2396818-B1,Optical device with non-radiative energy transfer ,University Of Southampton,"Martin David Brian Charlton, Pavlos Lagoudakis, Soontorn Chanyawadee",2009-02-16,2010-02-16,2020-08-19,2020-08-19,https://patents.google.com/patent/EP2396818B1/en,https://patentimages.storage.googleapis.com/84/7d/68/fe6021ed417bad/imgf0001.png
US-9627839-B2,Optical fiber lasers ,University Of Southampton,"William Andrew Clarkson, Rafal Cieslak",2011-01-24,2011-05-13,2017-04-18,2017-04-18,https://patents.google.com/patent/US9627839B2/en,https://patentimages.storage.googleapis.com/fa/6d/3e/5f5712c30861c1/US09627839-20170418-D00000.png
US-2020247898-A1,Human immune therapies using a cd27 agonist alone or in combination with other immune modulators ,University Of Southampton,"Martin John Glennie, Alison Louise Tutt, Aymen AL-SHARNKHANI",2006-10-20,2020-02-05,2020-08-06,,https://patents.google.com/patent/US20200247898A1/en,https://patentimages.storage.googleapis.com/87/5b/10/17146b59a2708e/US20200247898A1-20200806-D00001.png
US-10941405-B2,Modulation of gene expression and screening for deregulated protein expression ,University Of Southampton,"Igor Vorechovsky, Jana Kralovicova",2015-10-09,2018-12-07,2021-03-09,2021-03-09,https://patents.google.com/patent/US10941405B2/en,https://patentimages.storage.googleapis.com/8d/5a/94/49ff67280d7e97/US10941405-20210309-D00001.png
US-8846883-B2,Oligonucleotide ligation ,University Of Southhampton,"Tom Brown, Afaf Helmy El-Sagheer",2011-08-16,2012-03-01,2014-09-30,2014-09-30,https://patents.google.com/patent/US8846883B2/en,https://patentimages.storage.googleapis.com/98/11/f5/fd328a338f669e/US08846883-20140930-D00000.png
US-9343638-B2,Electro-optic PN junction modulator formed with a self-aligned process ,University Of Southampton,"Frederic Gardes, David Thomson, Graham Reed",2010-02-17,2011-02-17,2016-05-17,2016-05-17,https://patents.google.com/patent/US9343638B2/en,https://patentimages.storage.googleapis.com/fc/e7/12/0c4e4140535a9c/US09343638-20160517-D00001.png
US-9069192-B2,Optical signal processing ,University Of Southampton,"Joseph Kakande, Francesca Parmigiani, Periklis Petropoulos, David John Richardson, Radan Slavik",2010-09-19,2011-09-16,2015-06-30,2015-06-30,https://patents.google.com/patent/US9069192B2/en,https://patentimages.storage.googleapis.com/c8/8b/f7/fa33dc7648ac7e/US09069192-20150630-D00000.png
US-8717659-B2,Tunable metamaterials and related devices ,University Of Southampton,"Nikolay Ivanovich Zheludev, Eric Plum, Jun-Yu Ou",2011-06-24,2011-06-24,2014-05-06,2014-05-06,https://patents.google.com/patent/US8717659B2/en,https://patentimages.storage.googleapis.com/84/bf/54/3465d2251f1354/US08717659-20140506-D00000.png
EP-2470310-B1,Cleaning apparatus and method. ,University Of Southampton,"Timothy Grant Leighton, Christopher James Bradshaw Vian, Peter Robert Birkin",2009-08-26,2010-08-26,2016-01-06,2016-01-06,https://patents.google.com/patent/EP2470310B1/en,https://patentimages.storage.googleapis.com/51/cf/d5/d00a5ac7f6300b/imgf0001.png
EP-2705393-B1,Space variant polarization converter ,University Of Southampton,"Martynas BERESNA, Peter Kazansky",2011-05-03,2012-05-03,2019-11-27,2019-11-27,https://patents.google.com/patent/EP2705393B1/en,https://patentimages.storage.googleapis.com/7b/b3/4f/c5e9a6782c559f/imgf0001.png
US-9494741-B2,Apparatus comprising at least one optical device optically coupled to at least one waveguide on an optical chip ,University Of Southampton,"Frederic Yannick Gardes, David John Thomson, Graham Trevor Reed, Harold Meng Hoon Chong, Scott Ashley Reynolds",2012-12-04,2013-12-03,2016-11-15,2016-11-15,https://patents.google.com/patent/US9494741B2/en,https://patentimages.storage.googleapis.com/54/ce/21/12ebb5c23bcfed/US09494741-20161115-D00000.png
US-2019224008-A1,A frame for an implantable medical device and a method of manufacturing a frame for an implantable medical device ,University Of Southampton,"Neil W. BRESSLOFF, Jonathan Bailey",2016-10-03,2017-10-03,2019-07-25,,https://patents.google.com/patent/US20190224008A1/en,https://patentimages.storage.googleapis.com/64/d4/e9/ac5326f2c99044/US20190224008A1-20190725-D00000.png
US-9594262-B2,"Optical devices, systems and methods ",University Of Southampton,"Nikolay Ivanovich Zheludev, Kevin Francis MacDonald, Jianfa Zhang, David John Richardson",2012-03-26,2013-03-12,2017-03-14,2017-03-14,https://patents.google.com/patent/US9594262B2/en,https://patentimages.storage.googleapis.com/42/6c/f1/5f3696eecf8301/US09594262-20170314-D00000.png
US-2020078401-A1,Compositions for cancer treatment and methods and uses for cancer treatment and prognosis ,"La Jolla Institute For Allergy And Immunology, University Of Southampton","Pandurangan Vijayanand, Christian OTTENSMEIER, Anusha Preethi GANESAN, James Clarke, Tilman SANCHEZ-ELSNER",2016-12-07,2017-12-07,2020-03-12,,https://patents.google.com/patent/US20200078401A1/en,https://patentimages.storage.googleapis.com/41/88/ed/567d123502f86d/US20200078401A1-20200312-D00000.png
EP-3047318-B1,Hollow-core photonic bandgap fibers ,University Of Southampton,"Eric Rodrigue Numkam FOKOUA, Francesco Poletti, David John Richardson",2013-09-20,2014-09-19,2020-07-15,2020-07-15,https://patents.google.com/patent/EP3047318B1/en,https://patentimages.storage.googleapis.com/6e/e8/a9/8fba74d10e3fff/imgf0001.png
WO-2017199026-A1,Electrode ,University Of Southampton,"Kai Yang, Christopher Thomas FREEMAN",2016-05-17,2017-05-17,2017-11-23,,https://patents.google.com/patent/WO2017199026A1/en,
EP-3430823-B1,Sound reproduction system ,University Of Southampton,"Filippo Maria Fazi, Marcos Felipe SIMÓN GÁLVEZ",2016-03-14,2017-03-14,2021-08-18,2021-08-18,https://patents.google.com/patent/EP3430823B1/en,https://patentimages.storage.googleapis.com/c8/b9/91/dcf5fbd8ff0d12/imgf0001.png
US-2020156987-A1,Method for fabricating an optical fibre preform ,University Of Southampton,"Natalie WHEELER, Peter SHARDLOW, Francesco Poletti",2017-07-05,2018-07-04,2020-05-21,,https://patents.google.com/patent/US20200156987A1/en,https://patentimages.storage.googleapis.com/31/df/2e/e68ee3ba4cf91d/US20200156987A1-20200521-D00000.png
