"","name","cbprofile","totalfunding","totalfundingcurrency","ipostatus","lastfundingtype","employees","industries","headquarters","description","transactionname","tnamelink","founders","website","companytype","email","revenue","yearfounded","lastfunding","lastfundingcurrency","industrygroup","status","lastfundingdate"
"1","TerraPay","https://www.crunchbase.com/organization/terrapay",161500000,"USD","Private","Series B","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/terrapay","Financial Services, FinTech, Mobile Payments","London, England, United Kingdom","TerraPay, a mobile-first international payment network, has been founded with the vision to send money to any mobile.    TerraPay interconnects financial services providers -- mobile wallet service providers, money transfer operators, banks, and payment platforms -- to create ""one network"" for secure and seamless transnational movement of funds. The network facilitates a broad set of transactions, including interpersonal transfers, e-payments, and government disbursements.    TerraPay is platform-agnostic and supports standard open APIs for integration with any mobile wallet provider. Through a single connection, partners gain access to a global payment network, enabling service up-scaling while minimizing Opex and Capex investments. As a fully regulated financial intermediary services network, TerraPay offers services beyond its principal core transaction, routing, and processing functions and assumes end-to-end responsibility for regulatory compliance, foreign exchange management, and fund settlement.","—",NA,"Akbar Hussain, Ambar Sur, Ani Sane, Ram Sundaram","https://terrapay.com","For Profit","hr@terrapay.com","—","2014",1e+08,"USD","Financial Services, Mobile, Payments, Software","Active",2023-04-04
"2","Thought Machine","https://www.crunchbase.com/organization/thoughtmachine",562754986,"USD","Private","Series D","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/thoughtmachine","Banking, Enterprise Software, Financial Services, FinTech, IT Infrastructure","London, England, United Kingdom","Thought Machine is a Fintech company that builds cloud-native technology to revolutionize core banking.        Its mission is to cure one of the banking industry's primary problems: its reliance on outdated IT infrastructure. Nearly every bank is stuck on a legacy IT platform, which cripples their ability to innovate and give their customers the type of service they deserve.        The company provides a solution to this is Vault: a complete retail banking platform that is capable of being configured easily to suit the needs of any bank. They have built Vault from the ground up as a cloud-native, microservice API architecture platform. Thought Machine has a deep culture of engineering excellence, and they believe it is this which delivers a solution compelling enough to engender a seismic shift in the banking industry.","—",NA,"Paul Taylor","https://www.thoughtmachine.net","For Profit","press@thoughtmachine.net","$1M to $10M","2014",1.6e+08,"USD","Financial Services, Information Technology, Lending and Investments, Software","Active",2022-05-18
"3","DICE","https://www.crunchbase.com/organization/dice",134800000,"USD","Private","Series C","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/dice","Events, Media and Entertainment, Music, Ticketing","London, England, United Kingdom","DICE was founded in London in 2014, DICE helps fans discover and buy tickets to live shows and streams all over the world. Available in the UK, US, France, Italy, Spain, India and Australia, and accessible to fans globally through its live stream offering, DICE is on a mission to get people out more.","—",NA,"Phil Hutcheon","https://dice.fm/","For Profit","help@dice.fm","$1M to $10M","2014",1.22e+08,"USD","Events, Media and Entertainment, Music and Audio","Active",2021-09-27
"4","Lendable","https://www.crunchbase.com/organization/lendable",1611457994,"USD","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/lendable","Banking, Financial Services, FinTech, Payments","London, England, United Kingdom","Lendable is a lending platform. When you borrow money, it comes straight from an investor. Unlike banks, who hand out loans from piles of cash they look after on behalf of savers. Their platform is super-fast (you’ll see in a moment), and makes lending as hassle- free as possible. It’s a matter of a few clicks and you get your quote. Unlike banks, who require paperwork and run expensive branch networks.","—",NA,"Jakob Schwarz, Martin Kissinger, Paul Pamment, Victoria van Lennep","https://www.lendable.co.uk","For Profit","contact@lendable.co.uk","—","2014",2.1e+08,"GBP","Financial Services, Lending and Investments, Payments","Active",2022-03-10
"5","Yoti","https://www.crunchbase.com/organization/yoti",2.6e+07,"GBP","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/yoti","Biometrics, E-Signature, Identity Management, Information Technology, Software","London, England, United Kingdom","Yoti is a digital identity technology company that makes it easier for people to prove their identity by verifying identities and trusted credentials both online and in person. It offers verification solutions all over the world, including identity verification, age verification, document eSigning, access management, and authentication, as well as leading facial age estimation.         Yoti's ID Verification Services are ISO/IEC 27001:2013 certified, and its technical and organizational security processes are ISAE 3000 (SOC 2) Type 2 certified.","—",NA,"Duncan Francis, Noel Hayden, Robin Tombs","https://www.yoti.com","For Profit","hello@yoti.com","—","2014",1e+07,"GBP","Biotechnology, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Active",2023-03-09
"6","Bink","https://www.crunchbase.com/organization/bink",34477317,"USD","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/bink","FinTech, Mobile Apps, Mobile Payments","Ascot, Windsor and Maidenhead, United Kingdom","Bink develops a mobile application that links card payments to loyalty schemes. It allows consumers to register their debit or credit cards and link them to various loyalty schemes. They offer card linking through your app and website. Their payment-linked solution allows retailers to instantly recognize and reward customers when they shop, driving deeper insights and lasting connections.","—",NA,"Greg Gormley, Lee Clarke","https://www.bink.com","For Profit","retail@bink.com","—","2014",9e+06,"GBP","Apps, Financial Services, Mobile, Payments, Software","Active",2023-03-28
"7","Wirex","https://www.crunchbase.com/organization/wirex-limited",27768774,"USD","Private","Series B","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/wirex-limited","Apps, Blockchain, Cryptocurrency, Financial Services, FinTech, Personal Finance","London, England, United Kingdom","Wirex is a worldwide digital payment platform and regulated institution that has forged new rules in the digital payments space. In 2015, the firm developed the world’s first crypto-enabled payment card that gives users the ability to seamlessly spend crypto and traditional currencies in real life.         Wirex was created in 2014 by CEOs and co-founders Pavel Matveev and Dmitry Lazarichev, who identified the need to open up the esoteric world of cryptocurrencies and make digital money accessible for everyone. With the core aim of making it as easy as possible to use digital assets in everyday life, Wirex provides a trusted and cost-effective service for crypto and traditional currency transactions by incorporating the next generation of payments infrastructure integrated with cryptocurrency blockchains.         With over 5 million customers across 130 countries, the company offers secure accounts that allow customers to easily store, buy and exchange multiple currencies instantly at the best live rates on one centralised mobile app. Quick and simple crypto transfer options are available, as well as the freedom to spend 150+ traditional and cryptocurrencies in more than 80 million locations around the world using the Wirex card.         Wirex continues to develop the product in line with market developments, whilst adhering to regional regulations and securing appropriate licensing where it exists. A proven industry pioneer, Wirex launched their own native utility token, WXT, and introduced the world’s first crypto reward programme, Cryptoback™, which earns cardholders up to 8% back in WXT for every transaction they make.         To reflect the growth of the metaverse, throughout 2021, the company has expanded their product to enable mainstream access to DeFi. Starting with the launch of their popular X-Accounts feature, offering unprecedented levels of interest, Wirex has continued to add to their DeFi arsenal with the release of the non-custodial Wirex Wallet and a partnership with Nereus, a decentralised liquidity market.          Wirex is based in London, with offices in Singapore, Kyiv, Dallas, Dublin and Atlanta. With over $5bn worth of transactions processed already and rapid expansion into new territories, including the US, Wirex is uniquely placed to support and promote the mass adoption of a cashless society through creative solutions.","—",NA,"Dmitry Lazarichev, Georgy Sokolov, Pavel Matveev","https://wirexapp.com","For Profit","company@wirexapp.com","—","2014",1.5e+07,"GBP","Apps, Financial Services, Other, Payments, Software","Active",2021-12-10
"8","Behavox","https://www.crunchbase.com/organization/behavox",121400000,"USD","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/behavox","Artificial Intelligence, Big Data, Data Visualization, Machine Learning, Software","London, England, United Kingdom","Behavox is an enterprise platform that unifies all types of data into a single data lake, allowing users to query the data and apply machine learning to identify capital markets misconduct and insider threats.        Separate Behavox installations form the network defence that aggregates misconduct detection algorithms. The network then uses machine learning and AI to optimise detection algorithms and suggest new ones. This innovation enables the “brains” to the system to continuously improve and evolve.        Complex, high-load and sophisticated engineering is at the core of all the products that Behavox develops to enable deployment at the largest institutions in financial services. They are taking cutting-edge academic research and applying it to enterprise problems that require complex backend engineering with large-scale production footprint.","—",NA,"Alexander Glasman, Erkin Adylov, Kiryl Trembovolski, Roman Zelov, Slav Slavinski","https://www.behavox.com/","For Profit","ldn@behavox.com","$1M to $10M","2014",1e+08,"USD","Artificial Intelligence, Data and Analytics, Design, Information Technology, Science and Engineering, Software","Active",2020-02-24
"9","Privitar","https://www.crunchbase.com/organization/privitar",150457300,"USD","Private","Series C","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/privitar","Big Data, Cyber Security, Enterprise Software, Privacy, SaaS, Software","London, England, United Kingdom","Privitar is an enterprise software company with a global client-base across North America, Europe, and Asia. The company is the development and adoption of privacy engineering technology enabling its customers to innovate and leverage data with an uncompromising approach to data privacy. Its software is designed to allow clients to analyze potentially sensitive data while respecting customers’ privacy and confidentiality, resulting in the ability to leverage large, sensitive data sets while ensuring compliance with regulations (such as GDPR, CPRA and HIPAA) and ethical data principles.Privitar was founded in 2014 and is based in London, UK.","—",NA,"Gerard Buggy, Jason du Preez, John Taysom","http://www.privitar.com","For Profit","info@privitar.com","$1M to $10M","2014",7e+06,"USD","Data and Analytics, Information Technology, Privacy and Security, Software","Active",2020-06-23
"10","ClearScore","https://www.crunchbase.com/organization/clearscore",2e+08,"USD","Private","Private Equity","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/clearscore","Credit, Financial Services, FinTech","London, England, United Kingdom","ClearScore is a financial technology company that provides credit scoring services and a marketplace. It provides access to financial data, including credit reports and scores, and open banking data. The company's business is dedicated to helping its users improve their financial well-being.","—",NA,"Dan Cobley, Justin Basini, Nigel Morris","https://www.clearscore.com/","For Profit","privacy@clearscore.com","—","2014",2e+08,"USD","Financial Services, Lending and Investments","Active",2021-06-25
