"index","propertyName1","propertyName10","propertyName10_link","propertyName11","propertyName11_link","propertyName12","propertyName13","propertyName14","propertyName15","propertyName15_link","propertyName16","propertyName17","propertyName17_link","propertyName18","propertyName18_link","propertyName19","propertyName1_link","propertyName2","propertyName20","propertyName20_link","propertyName2_link","propertyName3","propertyName4","propertyName4_link","propertyName5","propertyName5_link","propertyName6","propertyName6_link","propertyName7","propertyName7_link","propertyName8","propertyName9","propertyName9_link","timestamp","timestampString","uid","url","url_uid"
1,"1.  TerraPay","Akbar Hussain, Ambar Sur, Ani Sane, Ram Sundaram","https://www.crunchbase.com/person/akbar-hussain-35b3","terrapay.com","https://terrapay.com","For Profit","hr@terrapay.com","TerraPay, a mobile-first international payment network, has been founded with the vision to send money to any mobile.    TerraPay interconnects financial services providers -- mobile wallet service providers, money transfer operators, banks, and payment platforms -- to create ""one network"" for secure and seamless transnational movement of funds. The network facilitates a broad set of transactions, including interpersonal transfers, e-payments, and government disbursements.    TerraPay is platform-agnostic and supports standard open APIs for integration with any mobile wallet provider. Through a single connection, partners gain access to a global payment network, enabling service up-scaling while minimizing Opex and Capex investments. As a fully regulated financial intermediary services network, TerraPay offers services beyond its principal core transaction, routing, and processing functions and assumes end-to-end responsibility for regulatory compliance, foreign exchange management, and fund settlement.","—",,"2014","$100,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/terrapay","Financial Services, Mobile, Payments, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/terrapay","$161,500,000","Apr 4, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/terrapay","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/terrapay","Private","Series B","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/terrapay","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/terrapay","Financial Services, FinTech, Mobile Payments","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/financial-services","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","TerraPay is a mobile-first payments service that allows anyone, anywhere, to send money to a mobile number instantly.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","OBLuNJgnIwA0XUp3yRys","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
2,"2.  Thought Machine","Paul Taylor","https://www.crunchbase.com/person/paul-taylor","www.thoughtmachine.net","https://www.thoughtmachine.net","For Profit","press@thoughtmachine.net","Thought Machine is a Fintech company that builds cloud-native technology to revolutionize core banking.        Its mission is to cure one of the banking industry's primary problems: its reliance on outdated IT infrastructure. Nearly every bank is stuck on a legacy IT platform, which cripples their ability to innovate and give their customers the type of service they deserve.        The company provides a solution to this is Vault: a complete retail banking platform that is capable of being configured easily to suit the needs of any bank. They have built Vault from the ground up as a cloud-native, microservice API architecture platform. Thought Machine has a deep culture of engineering excellence, and they believe it is this which delivers a solution compelling enough to engender a seismic shift in the banking industry.","$1M to $10M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","2014","$160,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/thoughtmachine","Financial Services, Information Technology, Lending and Investments, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/thoughtmachine","$562,754,986","May 18, 2022","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/thoughtmachine","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/thoughtmachine","Private","Series D","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/thoughtmachine","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/thoughtmachine","Banking, Enterprise Software, Financial Services, FinTech, IT Infrastructure","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/banking","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Thought Machine is a Fintech company that builds cloud-native technology to revolutionize core banking.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","C1qINhDQUVuajvuiBEcB","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
3,"3.  DICE","Phil Hutcheon","https://www.crunchbase.com/person/phil-hutcheon-2","dice.fm/","https://dice.fm/","For Profit","help@dice.fm","DICE was founded in London in 2014, DICE helps fans discover and buy tickets to live shows and streams all over the world. Available in the UK, US, France, Italy, Spain, India and Australia, and accessible to fans globally through its live stream offering, DICE is on a mission to get people out more.","$1M to $10M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","2014","$122,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/dice","Events, Media and Entertainment, Music and Audio","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/events-7a2a","Active","https://www.crunchbase.com/organization/dice","$134,800,000","Sep 27, 2021","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/dice","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/dice","Private","Series C","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/dice","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/dice","Events, Media and Entertainment, Music, Ticketing","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/events","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","DICE is a curated platform that connects fans to live shows.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","XaTL3kSX0M0vHHyfO5D5","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
4,"4.  Lendable","Jakob Schwarz, Martin Kissinger, Paul Pamment, Victoria van Lennep","https://www.crunchbase.com/person/jakob-schwarz","www.lendable.co.uk","https://www.lendable.co.uk","For Profit","contact@lendable.co.uk","Lendable is a lending platform. When you borrow money, it comes straight from an investor. Unlike banks, who hand out loans from piles of cash they look after on behalf of savers. Their platform is super-fast (you’ll see in a moment), and makes lending as hassle- free as possible. It’s a matter of a few clicks and you get your quote. Unlike banks, who require paperwork and run expensive branch networks.","—",,"2014","£210,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/lendable","Financial Services, Lending and Investments, Payments","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/lendable","$1,611,457,994","Mar 10, 2022","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/lendable","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/lendable","Private","Venture - Series Unknown","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/lendable","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/lendable","Banking, Financial Services, FinTech, Payments","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/banking","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Lendable is a peer-to-peer lending platform that provides instant paperless loans.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","7QAtFUmYqFT19KsfTbpL","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
5,"5.  Yoti","Duncan Francis, Noel Hayden, Robin Tombs","https://www.crunchbase.com/person/duncan-francis","www.yoti.com","https://www.yoti.com","For Profit","hello@yoti.com","Yoti is a digital identity technology company that makes it easier for people to prove their identity by verifying identities and trusted credentials both online and in person. It offers verification solutions all over the world, including identity verification, age verification, document eSigning, access management, and authentication, as well as leading facial age estimation.         Yoti's ID Verification Services are ISO/IEC 27001:2013 certified, and its technical and organizational security processes are ISAE 3000 (SOC 2) Type 2 certified.","—",,"Apr 1, 2014","£10,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/yoti","Biotechnology, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/biotechnology-0400","Active","https://www.crunchbase.com/organization/yoti","£26,000,000","Mar 9, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/yoti","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/yoti","Private","Venture - Series Unknown","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/yoti","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/yoti","Biometrics, E-Signature, Identity Management, Information Technology, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/biometrics","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Yoti is a digital identity platform that provides secure identity verification, online and in person.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","MugRm7aZGg4ye9TPXSUP","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
6,"6.  Bink","Greg Gormley, Lee Clarke","https://www.crunchbase.com/person/greg-gormley","www.bink.com","https://www.bink.com","For Profit","retail@bink.com","Bink develops a mobile application that links card payments to loyalty schemes. It allows consumers to register their debit or credit cards and link them to various loyalty schemes. They offer card linking through your app and website. Their payment-linked solution allows retailers to instantly recognize and reward customers when they shop, driving deeper insights and lasting connections.","—",,"2014","£9,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/bink","Apps, Financial Services, Mobile, Payments, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/apps-2683","Active","https://www.crunchbase.com/organization/bink","$34,477,317","Mar 28, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/bink","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/bink","Private","Venture - Series Unknown","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/bink","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/bink","FinTech, Mobile Apps, Mobile Payments","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/fintech-e067","Ascot, Windsor and Maidenhead, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/ascot-windsor-and-maidenhead","Bink offers loyalty and payment solutions for businesses and consumers.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","SbnYyMWnt5anWZ73jOH4","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
7,"7.  Wirex","Dmitry Lazarichev, Georgy Sokolov, Pavel Matveev","https://www.crunchbase.com/person/dmitry-lazarichev","wirexapp.com","https://wirexapp.com","For Profit","company@wirexapp.com","Wirex is a worldwide digital payment platform and regulated institution that has forged new rules in the digital payments space. In 2015, the firm developed the world’s first crypto-enabled payment card that gives users the ability to seamlessly spend crypto and traditional currencies in real life.         Wirex was created in 2014 by CEOs and co-founders Pavel Matveev and Dmitry Lazarichev, who identified the need to open up the esoteric world of cryptocurrencies and make digital money accessible for everyone. With the core aim of making it as easy as possible to use digital assets in everyday life, Wirex provides a trusted and cost-effective service for crypto and traditional currency transactions by incorporating the next generation of payments infrastructure integrated with cryptocurrency blockchains.         With over 5 million customers across 130 countries, the company offers secure accounts that allow customers to easily store, buy and exchange multiple currencies instantly at the best live rates on one centralised mobile app. Quick and simple crypto transfer options are available, as well as the freedom to spend 150+ traditional and cryptocurrencies in more than 80 million locations around the world using the Wirex card.         Wirex continues to develop the product in line with market developments, whilst adhering to regional regulations and securing appropriate licensing where it exists. A proven industry pioneer, Wirex launched their own native utility token, WXT, and introduced the world’s first crypto reward programme, Cryptoback™, which earns cardholders up to 8% back in WXT for every transaction they make.         To reflect the growth of the metaverse, throughout 2021, the company has expanded their product to enable mainstream access to DeFi. Starting with the launch of their popular X-Accounts feature, offering unprecedented levels of interest, Wirex has continued to add to their DeFi arsenal with the release of the non-custodial Wirex Wallet and a partnership with Nereus, a decentralised liquidity market.          Wirex is based in London, with offices in Singapore, Kyiv, Dallas, Dublin and Atlanta. With over $5bn worth of transactions processed already and rapid expansion into new territories, including the US, Wirex is uniquely placed to support and promote the mass adoption of a cashless society through creative solutions.","—",,"Dec 1, 2014","£15,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/wirex-limited","Apps, Financial Services, Other, Payments, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/apps-2683","Active","https://www.crunchbase.com/organization/wirex-limited","$27,768,774","Dec 10, 2021","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/wirex-limited","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/wirex-limited","Private","Series B","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/wirex-limited","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/wirex-limited","Apps, Blockchain, Cryptocurrency, Financial Services, FinTech, Personal Finance","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/apps","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Wirex is a digital payment platform that aims to make crypto and traditional currencies equal and accessible to everyone.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","nYEKvgWLGvq1ZnxwzLWr","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
8,"8.  Behavox","Alexander Glasman, Erkin Adylov, Kiryl Trembovolski, Roman Zelov, Slav Slavinski","https://www.crunchbase.com/person/alex-glasman","www.behavox.com/","https://www.behavox.com/","For Profit","ldn@behavox.com","Behavox is an enterprise platform that unifies all types of data into a single data lake, allowing users to query the data and apply machine learning to identify capital markets misconduct and insider threats.        Separate Behavox installations form the network defence that aggregates misconduct detection algorithms. The network then uses machine learning and AI to optimise detection algorithms and suggest new ones. This innovation enables the “brains” to the system to continuously improve and evolve.        Complex, high-load and sophisticated engineering is at the core of all the products that Behavox develops to enable deployment at the largest institutions in financial services. They are taking cutting-edge academic research and applying it to enterprise problems that require complex backend engineering with large-scale production footprint.","$1M to $10M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","Jun 2, 2014","$100,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/behavox","Artificial Intelligence, Data and Analytics, Design, Information Technology, Science and Engineering, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551","Active","https://www.crunchbase.com/organization/behavox","$121,400,000","Feb 24, 2020","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/behavox","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/behavox","Private","Venture - Series Unknown","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/behavox","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/behavox","Artificial Intelligence, Big Data, Data Visualization, Machine Learning, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Behavox is an AI-driven platform that enables you to aggregate, analyze, and act on your entire organization’s data.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","VIdP0OPmVLdkrBf7nNVC","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
9,"9.  Privitar","Gerard Buggy, Jason du Preez, John Taysom","https://www.crunchbase.com/person/gerard-buggy","www.privitar.com","http://www.privitar.com","For Profit","info@privitar.com","Privitar is an enterprise software company with a global client-base across North America, Europe, and Asia. The company is the development and adoption of privacy engineering technology enabling its customers to innovate and leverage data with an uncompromising approach to data privacy. Its software is designed to allow clients to analyze potentially sensitive data while respecting customers’ privacy and confidentiality, resulting in the ability to leverage large, sensitive data sets while ensuring compliance with regulations (such as GDPR, CPRA and HIPAA) and ethical data principles.Privitar was founded in 2014 and is based in London, UK.","$1M to $10M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","Nov 15, 2014","$7,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/privitar","Data and Analytics, Information Technology, Privacy and Security, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics","Active","https://www.crunchbase.com/organization/privitar","$150,457,300","Jun 23, 2020","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/privitar","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/privitar","Private","Series C","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/privitar","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/privitar","Big Data, Cyber Security, Enterprise Software, Privacy, SaaS, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/big-data","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Privitar offers a data privacy platform that protect their customers’ sensitive personal data and to deliver comprehensive data privacy.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","rWMVah3gF6EcqzuZfR7P","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
10,"10.  ClearScore","Dan Cobley, Justin Basini, Nigel Morris","https://www.crunchbase.com/person/dan-cobley","www.clearscore.com/","https://www.clearscore.com/","For Profit","privacy@clearscore.com","ClearScore is a financial technology company that provides credit scoring services and a marketplace. It provides access to financial data, including credit reports and scores, and open banking data. The company's business is dedicated to helping its users improve their financial well-being.","—",,"2014","$200,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/clearscore","Financial Services, Lending and Investments","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/clearscore","$200,000,000","Jun 25, 2021","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/clearscore","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/clearscore","Private","Private Equity","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/clearscore","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/clearscore","Credit, Financial Services, FinTech","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/credit","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","ClearScore is a financial technology company that provides credit scoring services and a marketplace.","—",,1681292005469,"Wed, 12 Apr 2023 09:33:25 GMT","qnr7HRT5Zu5rcNfWdtuU","https://www.crunchbase.com/search/organization.companies/b5026de0afcda8b38e9fbb759187ca45","1"
