"index","propertyName1","propertyName10","propertyName10_link","propertyName11","propertyName11_link","propertyName12","propertyName13","propertyName14","propertyName15","propertyName15_link","propertyName16","propertyName17","propertyName17_link","propertyName18","propertyName18_link","propertyName19","propertyName1_link","propertyName2","propertyName20","propertyName20_link","propertyName2_link","propertyName3","propertyName4","propertyName4_link","propertyName5","propertyName5_link","propertyName6","propertyName6_link","propertyName7","propertyName7_link","propertyName8","propertyName9","propertyName9_link","timestamp","timestampString","uid","url","url_uid"
1,"1.  Griffin","Allen Rohner, David Jarvis","https://www.crunchbase.com/person/allen-rohner","griffin.sh","https://griffin.sh","For Profit","hello@griffin.sh","Griffin is a banking-as-a-service provider that helps companies build and launch financial services products. Its platform is an OS for embedded finance, an all-in-one solution that will break down barriers to entry for fintech by reducing cost, time to market, and the hassles of securing a banking partner. The platform also enables global brands with complex payment needs to enhance the customer experience with embedded finance.","—",,"2016","—",,"Financial Services, Lending and Investments","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/griffin-3","£22,140,000","Mar 27, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/griffin-3","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/griffin-3","Private","Series A","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/griffin-3","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/griffin-3","Banking, Finance, Financial Services, FinTech","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/banking","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Griffin is a banking-as-a-service provider that helps companies build and launch financial services products.","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","t7Zlyp4N6mK6cc0zErrg","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
2,"2.  Pismo","Daniela Binatti, Juliana Motta, Marcelo Parise, Ricardo Josua","https://www.crunchbase.com/person/daniela-binatti","pismo.io","https://pismo.io","For Profit","marketing@pismo.io","Pismo is a technology company providing an all-in-one processing platform for banking, payments, and financial markets infrastructure. Large banks, marketplaces, and fintech already use our cloud-native microservices platform. Pismo clients are launching next-generation solutions while migrating their legacy systems onto the most advanced platform in the market. Pismo cloud-based platform empowers teams to build fast and companies to launch rapidly, scaling as they grow to have a broader audience while keeping high security and availability standards.","—",,"Dec 1, 2016","$108,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/pismo","Financial Services, Internet Services, Lending and Investments, Payments, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/pismo","$118,000,000","Oct 19, 2021","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/pismo","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/pismo","Private","Series B","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/pismo","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/pismo","Banking, Cloud Computing, FinTech, PaaS, Payments, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/banking","Bristol, Bristol, City of, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/bristol-bristol,-city-of","Next-gen banking and payments at hyperscale.","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","XDgMSHhaKyg0CQX1YmYK","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
3,"3.  Graphcore","Nigel Toon, Simon Knowles","https://www.crunchbase.com/person/nigel-toon","www.graphcore.ai/","https://www.graphcore.ai/","For Profit","info@graphcore.ai","Graphcore is a startup that develops a microprocessor designed for AI and machine learning applications. It has created a new processor, the Intelligence Processing Unit (IPU) for artificial intelligence. The IPU’s unique architecture means developers can run current machine learning models orders of magnitude faster.         The company was founded in 2016 and is headquartered in Bristol, United Kingdom.","$1M to $10M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","2016","$222,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/graphcore","Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551","Active","https://www.crunchbase.com/organization/graphcore","$682,000,000","Dec 29, 2020","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/graphcore","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/graphcore","Private","Series E","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/graphcore","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/graphcore","Artificial Intelligence, Machine Learning, Semiconductor","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence","Bristol, Bristol, City of, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/bristol-bristol,-city-of","Graphcore develops a microprocessor designed for AI and machine learning applications.","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","8XVau3c8VVOxEOzEIVhz","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
4,"4.  APEXX","Peter Keenan, Rodney Bain, Toreson Lloyd","https://www.crunchbase.com/person/peter-keenan","apexx.global","https://apexx.global","For Profit","apexx@apexx.global","Apexx provides a Payments-as-a-Service platform, integrating acquirers, gateways, shopping carts, and alternative payment methods into a single integration. APEXX consults its enterprise level customers to consolidate their payment service provider relationships, and display all their reporting and transactional data in a single interface.","—",,"2016","$25,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/apexx-fintech","Financial Services, Payments","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/apexx-fintech","$37,000,000","Mar 13, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/apexx-fintech","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/apexx-fintech","Private","Series B","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/apexx-fintech","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/apexx-fintech","Finance, FinTech, Payments","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/finance","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","APEXX consolidates global payment providers into a single integration point, optimising the cost of complex payment ecosystems.","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","LHHG6GQgqPsmAb8hTpsB","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
5,"5.  Builder.ai","Sachin Dev Duggal, Saurabh Dhoot","https://www.crunchbase.com/person/sachin-dev-duggal","www.builder.ai","http://www.builder.ai","For Profit","—","Builder.ai is an AI-powered software designed to help build and operate software projects. Its platform and human-assisted AI helps enterprises, small businesses, and entrepreneurs to build, run, and scale their software without requiring technical expertise and any lines of code.        The company was founded in 2012 and is based in San Francisco, California.","—",,"2016","$100,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/builderai","Artificial Intelligence, Data and Analytics, Science and Engineering, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551","Active","https://www.crunchbase.com/organization/builderai","$195,000,000","Mar 30, 2022","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/builderai","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/builderai","Private","Series C","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/builderai","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/builderai","Artificial Intelligence, Developer Tools, Machine Learning, Software, Software Engineering","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Builder.ai develops an AI-powered platform designed to help build and operate software projects.","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","1tHMJYmYcvqMMUn53U9J","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
6,"6.  Quantexa","Imam Hoque, Vishal Marria","https://www.crunchbase.com/person/imam-hoque","www.quantexa.com","http://www.quantexa.com","For Profit","info@quantexa.com","Quantexa is a global data and analytics software company pioneering Contextual Decision Intelligence that empowers organisations to make trusted operational decisions by making data meaningful. Using the latest advancements in big data and AI, Quantexa's platform uncovers hidden risk and new opportunities by providing a contextual, connected view of internal and external data in a single place.","—",,"2016","$129,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/quantexa","Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551","Active","https://www.crunchbase.com/organization/quantexa","$370,000,000","Apr 3, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/quantexa","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/quantexa","Private","Series E","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/quantexa","501-1000","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/quantexa","Analytics, Artificial Intelligence, Big Data, Compliance, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/analytics","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Quantexa is a global data and analytics software company pioneering Contextual Decision Intelligence.","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","ZmlLEUETkjveuIBE5AFE","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
7,"7.  Flo Health","Andrew Kovzel, Dmitry Gurski, Max Scrobov, Yuri Gurski","https://www.crunchbase.com/person/andrew-kovzel","flo.health","https://flo.health","For Profit","info@flo.health","Flo Health is a developer of Flo, a fast-growing AI-driven women’s health product that supports girls and women at every stage of their reproductive cycle (start of menstruation, cycle prediction, preparation for conception, pregnancy, early motherhood, and menopause).        Flo prioritizes safety and keeps a sharp focus on being the most trusted digital source for women's health information. It intensively uses Data Science and AI to deliver the most personalized content and services available. Flo is currently available in 20 languages on iOS and Android. 60% of users are located in the US and Europe.        At the end of 2019, Flo became the most popular app in the Health&Fitness category on the AppStore.","$1M to $10M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","2016","$50,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/owhealth","Artificial Intelligence, Community and Lifestyle, Data and Analytics, Health Care, Mobile, Science and Engineering, Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551","Active","https://www.crunchbase.com/organization/owhealth","$75,500,000","Sep 9, 2021","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/owhealth","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/owhealth","Private","Series B","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/owhealth","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/owhealth","Artificial Intelligence, Health Care, mHealth, Wellness, Women's","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/artificial-intelligence","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Flo is an AI-powered women’s health app that supports women at every stage of their reproductive cycle.","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","ROXhFjn6qlr1vCj3SUUB","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
8,"8.  Future Planet Capital","Douglas Hansen-Luke","https://www.crunchbase.com/person/douglas-hansen-luke","futureplanetcapital.com","https://futureplanetcapital.com","For Profit","info@futureplanetcapital.com","Future Planet Capital is the global impact-led venture capital firm built to back growth companies from the world's top universities and research ecosystems. The group manages $380m for institutional investors and has invested in over 300 companies, with 60 successful exits. It's portfolio is built around breakthrough technologies solving global challenges in Climate, Health, Education, Sustainable Growth and Climate Change.","Less than $1M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00000000","2016","£2,783,565","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/future-planet-capital","Financial Services, Lending and Investments","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/future-planet-capital","£4,324,545","Nov 28, 2021","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/future-planet-capital","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/future-planet-capital","Private","Series A","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/future-planet-capital","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/future-planet-capital","Impact Investing, Venture Capital","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/impact-investing","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Future Planet is an impact-led venture capital firm that invests in technology and life science companies from leading research centres","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","qH74vHI0vOB1L9CH40j1","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
9,"9.  Railsr","Clive Mitchell, Nigel Verdon","https://www.crunchbase.com/person/clive-mitchell","www.railsr.com/","https://www.railsr.com/","For Profit","press@railsbank.com","Pioneering embedded finance. Powering amazing experiences.        Working in FinTech since the 1990s, our founders gained valuable experience of building successful companies and identifying new opportunities. In 2016 they created Railsbank, assembled a talented team and began building our world-class platform. Together we are committed to realising our ambition of embedding financial services for brands who want to build deeper engagement with their customers.        Railsbank was founded in 2015 by Nigel Verdon and Clive Mitchell and is based in London, England.","$10M to $50M","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000","2016","$26,000,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/railsbank","Financial Services, Lending and Investments, Payments","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6","Active","https://www.crunchbase.com/organization/railsbank","$187,327,327","Oct 4, 2022","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/railsbank","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/railsbank","Private","Series C","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/railsbank","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/railsbank","Banking, Credit Cards, Financial Services, FinTech","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/banking","London, England, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/london-england","Railsbank is a platform and financial services, enabling banks, businesses and brands to define the future of consumer and SME finance.","Railsr acquired by D Squared Capital","https://www.crunchbase.com/acquisition/d-squared-capital-9b78-acquires-railsbank--e3f0011a",1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","gNwQdLgVANHU5Y164CIO","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
10,"10.  Hectare","Andrew Huxham, Daniel Luff, Jamie McInnes","https://www.crunchbase.com/person/andrew-huxham","www.wearehectare.com","https://www.wearehectare.com","For Profit","hello@wearehectare.com","Smarter agriculture for everyone.         Hectare is dedicated to farming industry success. Everything we create is rooted in agricultural expertise and designed to make life easier for the people who keep the industry moving.        Our Inventory, Trading, Market Insights and Logistics solutions each stand alone, but are at their best when used together.","—",,"Jan 1, 2016","£16,500,000","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/hectare-agritech","Agriculture and Farming","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/agriculture-and-farming","Active","https://www.crunchbase.com/organization/hectare-agritech","$49,811,188","Mar 1, 2023","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/hectare-agritech","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/hectare-agritech","Private","Series A","https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/hectare-agritech","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/hectare-agritech","Agriculture, AgTech, Farming","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/agriculture","Rowlands Castle, Hampshire, United Kingdom","https://www.crunchbase.com/search/organizations/field/organization.companies/location_identifiers/rowlands-castle-hampshire","Connecting the critical parts of the food supply chain. So crops, livestock & customers are looked after through sustainable agriculture.","—",,1681292864065,"Wed, 12 Apr 2023 09:47:44 GMT","yotcxr68qfmpShDfuMpm","https://www.crunchbase.com/search/organization.companies/4bdee9fed7484cf669474f9ba04419e5","1"
