Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
Envisics,https://www.crunchbase.com/organization/envisics,100000000,USD,100000000,Private,Series C,51-100,"Augmented Reality, Automotive, Information Technology, Software, Transportation","Milton Keynes, Milton Keynes, United Kingdom",Envisics is a holographic technologies company focused on augmented reality head-up displays (AR-HUDs) and automotive sensor systems.,,,Jamieson Christmas,http://www.envisics.com,For Profit,contactus@envisics.com,https://www.linkedin.com/company/envisics-limited,"ENVISICS branded technology harnesses the power of holography and laser-based light sources to provide the highest possible image quality. The advancement of ENVISICS branded technology has the opportunity to transform automotive displays and revolutionize the in-car experience. In partnership with the world's leading automakers and tier-one suppliers, Envisics is making the future of holographic technology a reality for smarter and safer vehicles",$1M to $10M,2018-01-01,day,50000000,USD,50000000,"Hardware, Information Technology, Software, Transportation",Active,2023-03-09,,,,,
HelloSelf,https://www.crunchbase.com/organization/helloself,31253341,USD,31253341,Private,Series B,51-100,"Health Care, Personal Health, Wellness","London, England, United Kingdom",HelloSelf is a health and wellness platform that provides its users with digital access to therapists.,,,Charles Wells,https://helloself.com,For Profit,hello@helloself.com,https://www.linkedin.com/company/helloself,"HelloSelf provides online counselling and life coaching services to help people cope with stress. The company's services include elements such as stress, anxiety, and confidence testing using professionally proven procedures, allowing patients to schedule appointments with psychologists and therapists at their leisure. HelloSelf was established in 2018 in London, England by Charles Wells.",,2018-01-01,year,20000000,USD,20000000,Health Care,Active,2023-03-14,,,,,
Colendi,https://www.crunchbase.com/organization/colendi,40530000,USD,40530000,Private,Series A,101-250,"Banking, Finance, Financial Services, FinTech","London, England, United Kingdom","Colendi provides embedded fintech services that democratize banking services for consumers, merchants, and financial institutions.",,,Bulent Tekmen,https://www.colendi.com,For Profit,info@colendi.com,https://www.linkedin.com/company/colendi,"Colendi is a multifunctional banking as a service platform that democratizes banking services for consumers, merchants, and financial institutions to overcome the limitations associated with legacy banking. Colendi is moving forward with the goal of solving a chronic financial problem that directly affects more than three billion people who do not have bank accounts and more than five billion people who cannot get loans.",$1M to $10M,2018-01-01,year,38000000,USD,38000000,"Financial Services, Lending and Investments",Active,2021-09-14,,,,,
Coincover,https://www.crunchbase.com/organization/digital-asset-services,41592068,USD,41592068,Private,Series B,51-100,"Blockchain, Cryptocurrency, Financial Services, FinTech, InsurTech","Cardiff, Cardiff, United Kingdom",Coincover is a cryptocurrency insurance-backed technology that helps protect digital assets from hacks and human error.,,,"Adam Smith, David Janczewski",http://www.coincover.com,For Profit,hello@coincover.com,https://www.linkedin.com/company/coincoverglobal,"Coincover is a cryptocurrency insurance-backed technology that helps protect digital assets from hacks and human error. Protection provides safety against the loss or theft of crypto assets, and fraudulent transactions. Coincover Protection provides end-users unparalleled safety against the loss or theft of crypto assets, and fraudulent transactions, ensuring assets are both safe and accessible. Coincover Protect delivers through a key combination of technology solutions Cryptocurrency Theft cover: protecting end-users against cryptocurrency theft from phishing, hacking and cyber attacks to criminal extortion. If the worst does happen, Coincover will retrieve the value of crypto funds fast. With no deductible, the full value of crypto is returned. Deposit Protection Guarantee: protection for end-user cryptocurrency deposits against lost access; including password, device and key loss as well as through business failure. Funds are guaranteed to always be accessible. Transaction Checker: real time transaction monitoring for crypto assets to ensure genuine transactions. Coincover identifies, investigates and flags any suspicious transactions in real time so end-users never need worry about theft of crypto funds.",,2018-05-01,month,30000000,USD,30000000,"Financial Services, Other, Payments, Software",Active,2023-02-09,,,,,
Metomic,https://www.crunchbase.com/organization/metomic,25684138,USD,25684138,Private,Series A,11-50,"Developer APIs, Information Services, Information Technology, Privacy, Software","London, England, United Kingdom",Metomic is data loss prevention software for the SaaS platform that detects and secures sensitive data in apps.,,,"Benjamin van Enckevort, Richard Vibert",https://metomic.io,For Profit,hello@metomic.io,https://www.linkedin.com/company/metomic,"Metomic is a developer of a data privacy platform that provides the privacy-by-design infrastructure of the internet. They offer solutions for data discovery, data loss prevention, access controls, human firewalls, and insider threats. It also includes product features such as secure access control, data transfer, risk detection and prevention, and integration.",Less than $1M,2018-01-01,year,18920000,EUR,20065414,"Information Technology, Privacy and Security, Software",Active,2023-02-22,,,,,
Bite Investments,https://www.crunchbase.com/organization/bite-investments,19300000,USD,19300000,Private,Seed,51-100,"Asset Management, Financial Services, FinTech, Wealth Management","London, England, United Kingdom",Bite is a global FinTech company that provides software-as-a-service to asset managers and enhances connectivity to investors.,,,"Henry Talbot-Ponsonby, William Rudebeck",https://www.biteinvestments.com/,For Profit,enquiries@biteinvestments.com,https://www.linkedin.com/company/bite-alternativeinvestments,"Bite is a global financial technology platform built to expand access to alternative investments and private market strategies. Bite also works with advisors, asset and wealth managers, private banks, and fund managers that are looking to digitize their operations, providing private market technology strategies including turnkey white labeling options and bespoke technology solutions.",,2018-11-01,month,,,,Financial Services,Active,2022-12-09,,,,,
VEED,https://www.crunchbase.com/organization/veed-3a95,35000000,USD,35000000,Private,Series A,51-100,"Media and Entertainment, Social Media, Video, Video Editing","Benfleet, Essex, United Kingdom",VEED.IO is an online video editing platform that makes creating videos.,,,"Sabba Keynejad, Timur Mamedov",https://www.veed.io,For Profit,hello@veed.io,https://www.linkedin.com/company/veedhq,"Veed is a video editor designed to make producing short-form video content simple. It is an easy way to create stunning videos, add subtitles, and grow an audience. It was founded in 2017 and is headquartered in London, England.",,2018-01-01,year,35000000,USD,35000000,"Content and Publishing, Internet Services, Media and Entertainment, Video",Active,2022-02-03,,,,,
V7,https://www.crunchbase.com/organization/v7,43000000,USD,43000000,Private,Series A,101-250,"Artificial Intelligence, Image Recognition, Machine Learning, Software","London, England, United Kingdom",V7 is an AI data engine to assist clients in managing datasets.,,,"Alberto Rizzoli, Simon Edwardsson",https://www.v7labs.com,For Profit,,https://www.linkedin.com/company/v7labs,"V7 allows vision AI to learn continuously from training data with minimal human supervision.  The company specializes in the areas of healthcare, life sciences, manufacturing, autonomous driving, and agri-tech. V7 Darwin launched at CVPR 2019 by Alberto Rizzoli and Simon Edwardsson in Long Beach, CA.",Less than $1M,2018-08-01,month,33000000,USD,33000000,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Active,2022-11-28,,,,,
THIS,https://www.crunchbase.com/organization/this-co,46565456,USD,46565456,Private,Series B,51-100,"Food and Beverage, Food Processing, Organic, Organic Food","London, England, United Kingdom",THIS is a plant-based product brand that provides alternative meat products.,,,"Andy Shovel, Pete Sharman",http://www.this.co,For Profit,Shout@this.co,https://www.linkedin.com/company/thisisntmeat/,"THIS is a plant-based meat brand that provides alternative meat products for meat lovers. The company's products are made of plant-based ingredients that are fortified with vitamin B12 and iron, enabling meat lovers to get the real feel of having meat-based products and satisfy their tastes without killing animals.",,2018-10-01,month,10000000,GBP,11827055,"Food and Beverage, Sustainability",Active,2023-03-07,,,,,
Hokodo,https://www.crunchbase.com/organization/hokodo,56887331,USD,56887331,Private,Series B,51-100,"B2B, E-Commerce, Financial Services, FinTech, Payments","London, England, United Kingdom","Hokodo is a provider of buy now, pay later solutions for e-commerce and B2B merchants.",,,"Louis Carbonnier, Richard Thornton, Sami Ben Hatit",https://www.hokodo.co,For Profit,contact@hokodo.co,https://www.linkedin.com/company/hokodo,"Hokodo is a pan-European provider of B2B Buy Now, Pay Later solutions enabling businesses to buy, sell and do more. The company's easy-to-integrate digital platform streamlines the entire order-to-cash process, allowing merchants to make credit decisions in real-time, be protected against bad debt, and get access to working capital finance options. Hokodo was founded in 2018 and is based in London, England.",,2018-01-01,year,40000000,USD,40000000,"Commerce and Shopping, Financial Services, Other, Payments",Active,2022-06-23,,,,,
