Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names,Number of Investors,Organization Description,Organization Industries
Seed Round - Kluster,https://www.crunchbase.com/funding_round/kluster-intelligence-seed--f99f2130,"London, England, United Kingdom, Europe",Kluster,https://www.crunchbase.com/organization/kluster-intelligence,Seed,1000000,USD,1000000,2020-04-30,"Datainsight.io, James Isilay, Newable Private Investing, SuperSeed Ventures",4,"Kluster offers data-driven sales analytics and forecasting solutions, helping B2B SaaS companies optimize their sales process.","Analytics, Artificial Intelligence, Machine Learning, Predictive Analytics, SaaS, Sales, Sales Automation"
Seed Round - IRIS Audio Technologies,https://www.crunchbase.com/funding_round/iris-listen-well-seed--5b27b1af,"London, England, United Kingdom, Europe",IRIS Audio Technologies,https://www.crunchbase.com/organization/iris-listen-well,Seed,2700000,EUR,3015075,2020-03-27,"Ojjeh Family Fund, Roger Taylor, TAG",3,IRIS Listen Well is bringing back living sound and enabling the world to Listen Well.,"Artificial Intelligence, Audio, Enterprise Software, Music, SaaS, Software, Wellness"
Seed Round - Sano Genetics,https://www.crunchbase.com/funding_round/heterogeneous-seed--6b35b4ff,"Cambridge, Cambridgeshire, United Kingdom, Europe",Sano Genetics,https://www.crunchbase.com/organization/heterogeneous,Seed,2500000,GBP,3435000,2021-01-26,"Episode 1, January Ventures, Paul Wicks, Seedcamp, University of Cambridge Enterprise",5,Sano Genetics is a personalised medicine research platform with data privacy and transparency at its core.,"Biotechnology, Health Care, Information Technology, Marketplace, Real Time"
Seed Round - Above Surveying Ltd,https://www.crunchbase.com/funding_round/above-surveying-ltd-seed--3a541f4d,"Colchester, Essex, United Kingdom, Europe",Above Surveying Ltd,https://www.crunchbase.com/organization/above-surveying-ltd,Seed,800000,GBP,1045200,2020-01-10,Anglia Capital Group,1,Above Surveying is the solar industry’s leading aerial solar inspection and data analysis company.,"Asset Management, Drones, Renewable Energy, Solar"
Seed Round - Axis Spine Technologies,https://www.crunchbase.com/funding_round/axis-spine-technologies-seed--b7e21ece,"Saint Albans, Hertford, United Kingdom, Europe",Axis Spine Technologies,https://www.crunchbase.com/organization/axis-spine-technologies,Seed,2200000,GBP,3007539,2021-01-27,"ACF Investors, Mercia Asset Management PLC",2,Axis Spine Technologies is a Medical Equipment Manufacturing Company.,"Manufacturing, Medical"
Seed Round - Mootral,https://www.crunchbase.com/funding_round/mootral-seed--3aae3a24,"Abertillery, Blaenau Gwent, United Kingdom, Europe",Mootral,https://www.crunchbase.com/organization/mootral,Seed,3000000,USD,3000000,2020-08-14,"FJ Labs, Lowercarbon Capital, Pario Ventures, Spacecadet Ventures",4,Mootral is an AgriTech company tackling two of the biggest crises of the world: climate change and antimicrobial resistance (AMR).,"AgTech, Animal Feed, Biotechnology"
Seed Round - Harbr,https://www.crunchbase.com/funding_round/harbr-seed--005ba8d2,"London, England, United Kingdom, Europe",Harbr,https://www.crunchbase.com/organization/harbr,Seed,6100000,USD,6100000,2020-06-06,"Acequia Capital (AceCap), BACKED VC, boldstart ventures, Crane Venture Partners, Julian Levy, Mike Chalfen, Ridgeline, Seedcamp",8,Harbr is a cloud-based data commerce company.,"Cloud Computing, Enterprise Software, Information Services, Information Technology, Software"
Seed Round - Coinfirm,https://www.crunchbase.com/funding_round/coinfirm-seed--59f36633,"London, England, United Kingdom, Europe",Coinfirm,https://www.crunchbase.com/organization/coinfirm,Seed,4000000,USD,4000000,2020-01-30,"Alfabeat, Bird Capital, Blockchain Valley Ventures, Gauss Ventures, NKB Ventures",5,Coinfirm is the global leader in blockchain analytics and investigations solutions.,"Bitcoin, Blockchain, Compliance, Financial Services, FinTech"
Seed Round - Phlo,https://www.crunchbase.com/funding_round/phlo-7035-seed--0e9c8800,"London, England, United Kingdom, Europe",Phlo,https://www.crunchbase.com/organization/phlo-7035,Seed,3000000,USD,3000000,2021-09-22,Mario Grigorov,1,"Phlo is a digital pharmacy that provides secure, real-time, same-day prescription delivery.","Health Care, Internet, Medical, Pharmaceutical"
Seed Round - Axis Spine Technologies,https://www.crunchbase.com/funding_round/axis-spine-technologies-seed--74013677,"Saint Albans, Hertford, United Kingdom, Europe",Axis Spine Technologies,https://www.crunchbase.com/organization/axis-spine-technologies,Seed,830000,GBP,966950,2020-03-21,Mercia Asset Management PLC,1,Axis Spine Technologies is a Medical Equipment Manufacturing Company.,"Manufacturing, Medical"
