Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names,Number of Investors,Organization Description,Organization Industries
Series A - Landytech,https://www.crunchbase.com/funding_round/landytech-series-a--4a83e0b5,"London, England, United Kingdom, Europe",Landytech,https://www.crunchbase.com/organization/landytech,Series A,6000000,USD,6000000,2021-11-10,"Adelie, Greenwood Way Capital",2,"Landytech offers software based investment reporting solutions to asset managers, family offices, and fiduciaries.","Software, Web Apps"
Seed Round - Simba Sleep,https://www.crunchbase.com/funding_round/simba-sleep-seed--62441685,"London, England, United Kingdom, Europe",Simba Sleep,https://www.crunchbase.com/organization/simba-sleep,Seed,,,,2016-03-01,"Angel Investment Network, Monte Carlo Capital, Squadron Venture Media",3,Simba Sleep is an e-commerce company that offers a variety of mattresses.,"CRM, Customer Service, E-Commerce, Mobile, Retail"
Series A - Teya,https://www.crunchbase.com/funding_round/saltpay-series-a--ec3f830e,"London, England, United Kingdom, Europe",Teya,https://www.crunchbase.com/organization/saltpay,Series A,70000000,USD,70000000,2020-01-10,"LTS Investments, Madrone Capital Partners, Ribbit Capital",3,"Teya builds tools for SMBs to unlock hassle-free payments, better business management, new and returning customers, all on fair terms.","Financial Services, FinTech, Information Technology"
Series A - Dropit Shopping,https://www.crunchbase.com/funding_round/dropit-shopping-series-a--1b78bbed,"London, England, United Kingdom, Europe",Dropit Shopping,https://www.crunchbase.com/organization/dropit-shopping,Series A,12500000,USD,12500000,2016-01-01,"Axentia, Sugarbee, Tiga Investments",3,"Dropit provides a digital handsfree shopping solution for malls and central shopping districts, delivering bags from store to door.","Brand Marketing, Lifestyle, Logistics, Marketing, Rental, Retail, Retail Technology, Shopping, Shopping Mall"
Series A - Envelop Risk,https://www.crunchbase.com/funding_round/envelop-risk-analytics-series-a--5bdd380f,"Bristol, Bristol, City of, United Kingdom, Europe",Envelop Risk,https://www.crunchbase.com/organization/envelop-risk-analytics,Series A,6000000,USD,6000000,2020-05-14,"Alpha Intelligence Capital, BlackPine, Capikris Foundation, Integra Partners, MS Amlin, Pascal Christian Weinberger, Victor Pancic",7,Envelop Risk is a global specialty cyber and emerging risk underwriting firm.,"Cyber Security, Information Technology"
Series A - Seldon,https://www.crunchbase.com/funding_round/seldon-series-a--2be87a13,"London, England, United Kingdom, Europe",Seldon,https://www.crunchbase.com/organization/seldon,Series A,7100000,GBP,9412089,2020-11-17,"AlbionVC, Amadeus Capital Partners, Cambridge Innovation Capital, Chris Adelsbach, Global Brain Corporation, Techstars",6,Seldon is a machine learning deployment platform.,"Artificial Intelligence, Machine Learning, Open Source"
Series A - Simba Sleep,https://www.crunchbase.com/funding_round/simba-sleep-series-a--b34d36fa,"London, England, United Kingdom, Europe",Simba Sleep,https://www.crunchbase.com/organization/simba-sleep,Series A,,,,2017-08-01,Monte Carlo Capital,1,Simba Sleep is an e-commerce company that offers a variety of mattresses.,"CRM, Customer Service, E-Commerce, Mobile, Retail"
Series A - Stokly,https://www.crunchbase.com/funding_round/stokly-series-a--abeb33a3,"Hereford, Herefordshire, United Kingdom, Europe",Stokly,https://www.crunchbase.com/organization/stokly,Series A,,,,2021-06-21,Future Planet Capital,1,Stokly provides a solution for large and small retailers.,"E-Commerce, Retail"
Seed Round - Railsr,https://www.crunchbase.com/funding_round/railsbank-seed--d97bf63a,"London, England, United Kingdom, Europe",Railsr,https://www.crunchbase.com/organization/railsbank,Seed,2168000,GBP,3035148,2018-02-20,"Cameron Parry, First Equity Private Clients, Tally Central Ltd",3,Railsr is a fintech company that offers banking and wallet components.,"Banking, Credit Cards, Financial Services, FinTech"
Seed Round - Skin + Me,https://www.crunchbase.com/funding_round/gleam-6d46-seed--35630f65,"London, England, United Kingdom, Europe",Skin + Me,https://www.crunchbase.com/organization/gleam-6d46,Seed,8000000,GBP,9940531,2019-09-16,"Charlotte Lawrence, JamJar Investments",2,Skin + Me is a D2C brand providing personalized skin treatments for feel-great skin.,"Health Care, Pharmaceutical, Therapeutics"
Seed Round - Open for Vintage,https://www.crunchbase.com/funding_round/open-for-vintage-seed--f001be02,"London, England, United Kingdom, Europe",Open for Vintage,https://www.crunchbase.com/organization/open-for-vintage,Seed,596402,GBP,814810,2021-09-20,,,The trusted destination in luxury re-sale,"E-Commerce, Fashion, Retail"
Series A - Flock,https://www.crunchbase.com/funding_round/flockcover-series-a--b4b3b9e5,"London, England, United Kingdom, Europe",Flock,https://www.crunchbase.com/organization/flockcover,Series A,17000000,USD,17000000,2021-07-29,"Anthemis Group, Dig Ventures, Social Capital",3,London-based insurtech building the world's first fully digital insurance company for connected and autonomous commercial vehicles,"Artificial Intelligence, Automotive, Autonomous Vehicles, Big Data, FinTech, Fleet Management, Insurance, InsurTech, Software"
Series A - Ori Biotech,https://www.crunchbase.com/funding_round/ori-biotech-series-a--8769aa6d,"London, England, United Kingdom, Europe",Ori Biotech,https://www.crunchbase.com/organization/ori-biotech,Series A,30000000,USD,30000000,2020-10-14,"Amadeus Capital Partners, Delin Ventures, Kindred Capital, Northpond Ventures, Octopus Ventures",5,Ori Biotech is a developer of a manufacturing platform used to help patients get access to lifesaving treatments.,"Biotechnology, Industrial Automation, Manufacturing, Therapeutics"
