"","id","title","assignee","author","prioritydate","filingdate","publicationdate","grantdate","link","representativelink","city"
"1","US-2017143632-A1","Process for the production of particles","The University Of Bath","Robert Price, Joerg Sebastian KAERGER",2003-02-21,2016-10-23,2017-05-25,NA,"https://patents.google.com/patent/US20170143632A1/en","https://patentimages.storage.googleapis.com/c9/39/33/b384036f3dd989/US20170143632A1-20170525-D00001.png","Bath"
"2","US-2016091448-A1","Apparatus and method for measuring electromagnetic properties","The University Of Bath","Manuchehr Soleimani",2013-05-13,2014-05-13,2016-03-31,NA,"https://patents.google.com/patent/US20160091448A1/en","https://patentimages.storage.googleapis.com/13/71/31/a53623c36adfcf/US20160091448A1-20160331-D00000.png","Bath"
"3","US-2021361822-A1","Functional wound dressing","Paul Hartmann Ag, University Of Bath","Markus Kettel, Andrew Tobias Jenkins, Naing Tun Thet",2018-05-14,2019-05-13,2021-11-25,NA,"https://patents.google.com/patent/US20210361822A1/en","https://patentimages.storage.googleapis.com/90/5c/9d/52feb6eeeecf53/US20210361822A1-20211125-D00000.png","Bath"
"4","WO-2016097751-A1","Method of cas9 mediated genome engineering","The University Of Bath","Anthony Perry, Toru Suzuki, Maki Asami",2014-12-18,2015-12-18,2016-06-23,NA,"https://patents.google.com/patent/WO2016097751A1/en",NA,"Bath"
"5","JP-2015172089-A","Orvinol and thevinol derivatives useful in the treatment of drug and alcohol abuse","ザ ユニバーシティ オブ バース, Univ Of Bath, ザ  ユニバーシティ  オブ  バース","ルイス、ジョン, Lewis John, ハズバンズ，スティーブン, Husbands Stephen",2011-07-08,2015-07-06,2015-10-01,NA,"https://patents.google.com/patent/JP2015172089A/en",NA,"Bath"
"6","US-2017342025-A1","Antimicrobial compounds, compositions and methods","The University Of Bath, Swansea University","Barry Victor Lloyd Potter, Wolfgang DOHLE, Xiangdong Su, John Normanton, Edward Dudley, Yamni Nigam",2014-12-31,2015-12-29,2017-11-30,NA,"https://patents.google.com/patent/US20170342025A1/en",NA,"Bath"
"7","CN-110431554-A","Generating object to be fabricated indicates","巴斯大学","V·多基亚, J·弗林, W·艾辛克",2017-01-12,2018-01-09,2019-11-08,NA,"https://patents.google.com/patent/CN110431554A/en",NA,"Bath"
"8","CN-109075725-A","Device and method for producing electricl energy","巴斯大学","丹尼尔·扎贝克, 克里斯托弗·R·鲍恩, 文森特·阿耶尔, 伊夫·贝尔坦, 西里尔·罗密斯坦特",2016-02-12,2017-02-10,2018-12-21,NA,"https://patents.google.com/patent/CN109075725A/en",NA,"Bath"
"9","CN-110691637-A","Air filter","巴斯大学","S·P·佩雷拉, B·D·克里滕登, O·卡慕斯, 周阳明, R·吉",2017-04-18,2018-04-18,2020-01-14,NA,"https://patents.google.com/patent/CN110691637A/en","https://patentimages.storage.googleapis.com/78/cf/76/a6a760dc2f0ba3/HDA0002295022270000051.png","Bath"
"10","CN-109414227-A","Multiplexing for non-invasive monitoring substance is percutaneously extracted and detection device and its application method","巴斯大学","理查德·盖伊, 阿德利娜·伊利耶, 卢卡·利帕尼, 弗洛里安特·东梅内, 伯特兰·吉尔伯特·罗格·雅克·杜邦",2016-04-26,2017-04-26,2019-03-01,NA,"https://patents.google.com/patent/CN109414227A/en",NA,"Bath"
