Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
Hometree,https://www.crunchbase.com/organization/hometree-2,77854684,USD,77854684,Private,Series B,101-250,"Customer Service, Energy Efficiency, Home Improvement, Home Services","London, England, United Kingdom",Hometree Group is a residential energy services company on a mission to help millions of people decarbonise their homes,,,Simon Phelan,https://www.hometree.co.uk/group/,For Profit,customer@hometree.co.uk,https://www.linkedin.com/company/hometree-uk/,"Hometree Group is a residential energy services company offering UK homeowners products and services that make it easier for them to install, manage and finance renewable energy hardware in their homes. Hometree offers comprehensive home emergency insurance and maintenance cover, plus energy-efficient heating installations along with affordable financing plans. Hometree helps homeowners across the full lifecycle of sustainable home improvements - from the point of hardware installation, to how the projects get financed, to in-life repair and maintenance.",,2016-01-01,year,46000000,USD,46000000,"Energy, Other, Professional Services, Real Estate, Sustainability",Active,2022-12-30,,,,,
Cleo,https://www.crunchbase.com/organization/cleo-ai,137500000,USD,137500000,Private,Series C,101-250,"Artificial Intelligence, Finance, Financial Services, FinTech","London, England, United Kingdom",Cleo turns your complicated financial life into a conversation – the same kind you’d have with a friend.,,,Barnaby Hussey-Yeo,https://www.meetcleo.com/,For Profit,team@meetcleo.com,https://www.linkedin.com/company/cleo-ai,"Cleo’s the AI that’s fighting for the world’s financial health. She provides radically personalized advice and products which help you in ways your bank never could. From your first paycheck to your first mortgage, Cleo grows with you to become the only relationship you need between you and your money. Currently, Cleo is one of the fastest growing companies in the world, 100% YoY growth and $50m ARR.",,2016-01-01,day,80000000,USD,80000000,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",Active,2022-06-16,,,,,
Kluster,https://www.crunchbase.com/organization/kluster-intelligence,6000000,USD,6000000,Private,Series A,11-50,"Analytics, Artificial Intelligence, Machine Learning, Predictive Analytics, SaaS, Sales, Sales Automation","London, England, United Kingdom","Kluster offers data-driven sales analytics and forecasting solutions, helping B2B SaaS companies optimize their sales process.",,,"Daniel Thompson, Rory Brown",http://www.kluster.com,For Profit,,https://www.linkedin.com/company/kluster-intelligence,"Kluster is at the forefront of predictive sales analytics. Harnessing the advanced modeling technology available, they give partners the tools to close more opportunities and forecast more accurately than ever before. Businesses have been tirelessly logging data on their CRMs for years. Kluster Intelligence turns this data into actionable insights specifically geared towards commercial gain. Intelligent reporting: comprehensive, flexible, pre-built reporting specifically for salespeople. Opportunity Management: Prioritise the right opportunities, identify those at risk, and continually monitor the top-level pipeline. Predictive Forecasting: Utilise sophisticated machine learning to produce live and accurate sales forecasts.",Less than $1M,2016-08-01,day,5000000,USD,5000000,"Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",Active,2023-04-25,,,,,
Seatfrog,https://www.crunchbase.com/organization/seatfrog,23152625,USD,23152625,Private,Venture - Series Unknown,101-250,"Air Transportation, Information Technology, Mobile","London, England, United Kingdom","Seatfrog offers a mobile platform for users to upgrade train seats through auctions, enhancing their travel experience.",,,"Ben Ient, Dirk Stewart, Iain Griffin",http://www.seatfrog.com,For Profit,info@seatfrog.com,https://www.linkedin.com/company/seatfrog,"Seatfrog is the next generation of merchandising technology for airlines. A mobile first, customer centric auction platform for upgrades on the day of departure, selling seats guaranteed to otherwise fly empty.   Airlines can now use Seatfrog's mobile platform to increase ancillary revenue by targeting passengers within 48hrs of their flight, during the peak period of engagement for ancillaries. With in-app payments and boarding passes reissued direct to mobile in one transaction, Seatfrog eliminates friction and improves passenger experience.",,2016-01-01,year,6000000,GBP,7460320,"Information Technology, Mobile, Transportation",Active,2023-04-25,,,,,
Griffin,https://www.crunchbase.com/organization/griffin-3,22140000,GBP,27726276,Private,Series A,51-100,"Banking, Finance, Financial Services, FinTech","London, England, United Kingdom",Griffin is a banking-as-a-service provider that helps companies build and launch financial services products.,,,"Allen Rohner, David Jarvis",https://griffin.sh,For Profit,hello@griffin.sh,https://www.linkedin.com/company/griffinplatform/,"Griffin is a banking-as-a-service provider that helps companies build and launch financial services products. Its platform is an OS for embedded finance, an all-in-one solution that will break down barriers to entry for fintech by reducing cost, time to market, and the hassles of securing a banking partner. The platform also enables global brands with complex payment needs to enhance the customer experience with embedded finance.",,2016-01-01,year,,,,"Financial Services, Lending and Investments",Active,2023-03-27,,,,,
Radix,https://www.crunchbase.com/organization/radix-91c2,16000000,USD,16000000,Private,Venture - Series Unknown,11-50,"Blockchain, Cryptocurrency, Database, Finance","London, England, United Kingdom",Radix is a stack of decentralized networks that builds without the constant threat of exploits and hacks.,,,Dan Hughes,https://www.radixdlt.com,For Profit,hello@radixdlt.com,http://www.linkedin.com/company/radixdlt,"Radix is a developer of decentralized finance protocol designed to provide access, liquidity, and programmability to any asset. Their product protocol for building decentralized applications, tokens, and coins features a vertically integrated approach focused on making on- or off-ramping as simple as possible, along with functionality to create and access liquidity pools through an application programming interface, enabling clients to create, transfer, and store digital assets and applications.",$1M to $10M,2016-01-01,year,10000000,USD,10000000,"Data and Analytics, Financial Services, Other, Payments, Software",Active,2023-03-23,,,,,
Florence,https://www.crunchbase.com/organization/florence,45269736,USD,45269736,Private,Non-equity Assistance,51-100,"Health Care, Marketplace, Nursing and Residential Care, Recruiting","London, England, United Kingdom",Florence is an online marketplace that connects vacant care home shifts to local nurses and carers looking for extra work,,,"Charles Armitage, Dan Blake",https://www.florence.co.uk,For Profit,hello@florence.co.uk,https://www.linkedin.com/company/weareflorence/,"Florence is an online marketplace that connects vacant care home shifts to local nurses and carers looking for extra work.  Our online platform takes an intelligent approach to managing the healthcare staffing crisis. Florence is built with the needs of nurses and healthcare providers at the forefront. It operates as a marketplace that cuts out the middleman and empowers healthcare operators to find the right staff with the right skills at the right time.  The company was founded in 2016 and is headquartered in London, England.",,2016-10-01,month,,,,"Commerce and Shopping, Health Care, Professional Services",Active,2023-03-27,,,,,
Proximie,https://www.crunchbase.com/organization/proximie,118000000,USD,118000000,Private,Non-equity Assistance,101-250,"Augmented Reality, Collaboration, Health Care, Medical","London, England, United Kingdom",Proximie is a health technology platform that enables surgeons to virtually attend operating theaters to visually guide complex surgeries.,,,Nadine Haram,http://www.proximie.com/,For Profit,customersupport@proximie.com,https://www.linkedin.com/company/proximie/,"Proximie is a health technology platform that enables surgeons to virtually attend operating theaters to visually guide complex surgeries. Proximie combines human expertise with the power of augmented reality, artificial intelligence, and machine learning to allow a surgeon to remotely watch an operation and use their hands to demonstrate things to the surgeon conducting the operation, who sees the remote surgeon on a screen. This platform aims to democratize access to the most up-to-date and skilled knowledge on surgery practice, by helping surgeons advise each other from different parts of the world. The company was founded by Nadine Hachach-Haram in 2016 and is headquartered in London, England.",Less than $1M,2016-01-01,year,,,,"Hardware, Health Care, Other, Software",Active,2023-03-27,,,,,
Perlego,https://www.crunchbase.com/organization/perlego,65712721,USD,65712721,Private,Venture - Series Unknown,51-100,"EBooks, EdTech, Education, Publishing, Subscription Service","London, England, United Kingdom",Perlego is an online library that provides students with unlimited access to academic titles with built-in learning tools.,,,"Gauthier Van Malderen, Matthew Davis",http://www.perlego.com,For Profit,help@perlego.com,https://www.linkedin.com/company/perlego.com,"Perlego is an online library subscription service for textbooks and non-fiction titles. Having partnered with over 3,000 publishers, it gives its users unlimited access to over 650,000 eBooks and publications via an affordable monthly subscription. It aims to make learning accessible to all.  It was founded in 2016 and is headquartered in London, England.",,2016-01-01,year,,,,"Content and Publishing, Education, Media and Entertainment, Other, Software",Active,2023-04-24,,,,,
APEXX,https://www.crunchbase.com/organization/apexx-fintech,37000000,USD,37000000,Private,Series B,11-50,"Finance, FinTech, Payments","London, England, United Kingdom","APEXX consolidates global payment providers into a single integration point, optimising the cost of complex payment ecosystems.",,,"Peter Keenan, Rodney Bain, Toreson Lloyd",https://apexx.global,For Profit,apexx@apexx.global,https://www.linkedin.com/company/apexxglobal,"Apexx provides a Payments-as-a-Service platform, integrating acquirers, gateways, shopping carts, and alternative payment methods into a single integration. APEXX consults its enterprise level customers to consolidate their payment service provider relationships, and display all their reporting and transactional data in a single interface.",,2016-01-01,year,25000000,USD,25000000,"Financial Services, Payments",Active,2023-03-13,,,,,
